['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Superman Batman', '12', '$2.95', 'DC ', '139,508']
['2', 'Astonishing X-Men', '5', '$2.99', 'Marvel', '131,544']
['3', 'Identity Crisis', '4', '$3.95', 'DC ', '128,830']
['4', 'Superman', '209', '$2.50', 'DC ', '116,820']
['5', 'Ultimate X-Men', '51', '$2.25', 'Marvel', '94,959']
['6', 'Uncanny X-Men', '448', '$2.25', 'Marvel', '94,703']
['7', 'Ultimate Spider-Man', '65', '$2.25', 'Marvel', '94,169']
['8', 'Uncanny X-Men', '449', '$2.25', 'Marvel', '93,834']
['9', 'Avengers', '502 (#87)', '$2.25', 'Marvel', '93,100']
['10', 'Avengers', '501 (#86)', '$2.25', 'Marvel', '91,049']
['11', 'X-Men', '161', '$2.25', 'Marvel', '90,586']
['12', 'X-Men', '162', '$2.25', 'Marvel', '89,873']
['13', 'Ultimate Fantastic Four', '11', '$2.25', 'Marvel', '87,615']
['14', 'Amazing Spider-Man', '512', '$2.25', 'Marvel', '87,231']
['15', 'Ultimate Nightmare', '2', '$2.25', 'Marvel', '87,216']
['16', 'X-Men End Bk 1 Dreamers &\nDemons', '3', '$2.99', 'Marvel', '83,997']
['17', 'Wolverine End', '5', '$2.99', 'Marvel', '79,573']
['18', 'Marvel Knights Spider-Man', '6', '$2.99', 'Marvel', '71,488']
['19', 'Batman', '632', '$2.25', 'DC ', '71,232']
['20', 'Wolverine', '19', '$2.25', 'Marvel', '65,042']
['21', 'Teen Titans', '16', '$2.50', 'DC ', '64,173']
['22', 'Teen Titans', '15', '$2.50', 'DC ', '63,133']
['23', 'JLA', '105', '$2.25', 'DC ', '60,832']
['24', 'Strange', '1', '$3.50', 'Marvel', '59,970']
['25', 'JLA', '106', '$2.25', 'DC ', '59,835']
['26', 'Daredevil', '65 Annv Sp', '$3.99', 'Marvel', '56,544']
['27', 'Ultimate Elektra', '2', '$2.25', 'Marvel', '54,293']
['28', 'Excalibur', '5', '$2.99', 'Marvel', '53,773']
['29', 'Daredevil', '64', '$2.99', 'Marvel', '52,256']
['30', 'Spectacular Spider-Man', '19', '$2.25', 'Marvel', '51,871']
['31', 'X-Force', '2', '$2.99', 'Marvel', '50,988']
['32', 'Fantastic Four', '518', '$2.99', 'Marvel', '48,936']
['33', 'Detective Comics', '798', '$2.95', 'DC ', '48,780']
['34', 'New X-Men', '5', '$2.99', 'Marvel', '48,523']
['35', 'Gambit', '1', '$2.99', 'Marvel', '46,992']
['36', 'Conan', '8', '$2.99', 'Dark Horse', '46,336']
['37', 'Nightcrawler', '1', '$2.99', 'Marvel', '45,489']
['38', 'Robin', '130', '$2.25', 'DC ', '45,403']
['39', 'Batman Gotham Knights', '57', '$2.50', 'DC ', '44,912']
['40', 'Venom Vs Carnage', '3', '$2.99', 'Marvel', '44,862']
['41', 'Wanted', '5', '$2.99', 'Image', '44,641']
['42', 'Hulk & Thing Hard Knocks', '1', '$3.50', 'Marvel', '44,299']
['43', 'Flash', '214', '$2.25', 'DC ', '44,121']
['44', 'Nightwing', '97', '$2.25', 'DC ', '44,036']
['45', 'Punisher', '11', '$2.99', 'Marvel', '44,036']
['46', 'Action Comics', '819', '$2.50', 'DC ', '42,383']
['47', 'Justice League Elite', '3', '$2.50', 'DC ', '42,319']
['48', 'Outsiders', '15', '$2.50', 'DC ', '42,184']
['49', 'Green Lantern', '181', '$2.25', 'DC ', '41,528']
['50', 'JSA', '65', '$2.50', 'DC ', '41,457']
['51', 'Outsiders', '16', '$2.50', 'DC ', '41,372']
['52', 'Batman Legends of the Dark Knight', '183', '$2.50', 'DC ', '41,172']
['53', 'Catwoman When in Rome', '1', '$3.50', 'DC ', '40,203']
['54', 'Gambit', '2', '$2.99', 'Marvel', '40,011']
['55', 'Batgirl', '56', '$2.50', 'DC ', '39,491']
