['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Uncanny X-Men', '341', '$1.95', 'Marvel', '190,955']
['2', 'X-Men', '61', '$1.95', 'Marvel', '187,537']
['3', 'Wolverine', '110', '$1.95', 'Marvel', '160,075']
['4', 'Fantastic Four', '4', '$1.95', 'Marvel', '153,255']
['5', 'Spawn', '57', '$1.95', 'Image', '153,051']
['6', 'Curse of the Spawn', '4', '$1.95', 'Image', '133,491']
['7', 'Iron Man', '4', '$1.95', 'Marvel', '133,364']
['8', 'Spawn The Impaler', '3', '$2.95', 'Image', '125,198']
['9', 'Generation X', '24', '$1.95', 'Marvel', '123,244']
['10', 'Onslaught Epilogue', '', '$2.95', 'Marvel', '122,804']
['11', 'Avengers', '4', '$1.95', 'Marvel', '118,622']
['12', 'X-Man', '24', '$1.95', 'Marvel', '117,830']
['13', 'Captain America', '4', '$1.95', 'Marvel', '117,733']
['14', 'X-Force', '63', '$1.95', 'Marvel', '113,173']
['15', 'Gen13', '16', '$2.50', 'Image', '111,548']
['16', 'X-Factor', '131', '$1.95', 'Marvel', '107,806']
['17', 'Cable', '40', '$1.95', 'Marvel', '106,340']
['18', 'Magneto', '4', '$1.95', 'Marvel', '93,705']
['19', 'Amazing Spider-Man', '420', '$1.50', 'Marvel', '92,153']
['20', 'Excalibur', '106', '$1.95', 'Marvel', '90,566']
['21', 'Gen13 Bootleg', '2', '$2.50', 'Image', '89,619']
['22', 'DC/Marvel: All Access', '4', '$2.95', 'DC', '88,851']
['23', 'Incredible Hulk', '450', '$2.95', 'Marvel', '84,239']
['24', 'Deadpool', '2', '$1.95', 'Marvel', '81,871']
['25', 'Spider-Man', '77', '$1.95', 'Marvel', '81,166']
['26', 'Spectacular Spider-Man', '243', '$1.50', 'Marvel', '75,468']
['27', 'JLA', '2', '$1.95', 'DC', '74,517']
['28', 'X.S.E.', '4', '$1.95', 'Marvel', '72,355']
['29', 'Sensational Spider-Man', '13', '$1.95', 'Marvel', '72,312']
['30', 'Mystique & Sabretooth', '3', '$1.95', 'Marvel', '71,468']
['31', 'Tales of the Age of Apocalypse\nOversized', '1', '$5.95', 'Marvel', '70,570']
['32', 'Ballistic/Wolverine', '', '$2.95', 'Top Cow', '69,779']
['33', 'Darkness', '2', '$2.50', 'Top Cow', '69,499']
['34', 'Domino', '2', '$1.95', 'Marvel', '67,916']
['35', 'X-Files', '25', '$2.95', 'Topps', '66,062']
['36', 'Batman', '539', '$1.95', 'DC', '65,092']
['37', 'Dawn', '5', '$2.95', 'Sirius', '63,211']
['38', 'Daredevil/Shi', '', '$2.95', 'Marvel', '62,468']
['39', 'Ghost Rider/Cyblade', '', '$2.95', 'Marvel', '61,356']
['40', 'Weapon Zero/Silver Surfer', '', '$2.95', 'Top Cow', '60,497']
['41', 'Elektra', '4', '$1.95', 'Marvel', '60,475']
['42', 'Supergirl', '6', '$1.95', 'DC', '59,872']
['43', 'Shi/Daredevil', '', '$2.95', 'Crusade', '59,755']
['44', 'Ghost Rider/Ballistic', '', '$2.95', 'Marvel', '59,570']
['45', 'Detective Comics', '706', '$1.95', 'DC', '59,429']
['46', 'Lady Death: The Crucible', '2', '$2.95', 'Chaos', '59,338']
['47', 'Logan: Shadow Society', '', '$5.95', 'Marvel', '58,720']
['48', 'Superman', '120', '$1.95', 'DC', '58,127']
['49', 'Catwoman/Vampirella: Furies', '', '$4.95', 'DC', '56,448']
['50', 'Gen13 Zine', '1', '$1.95', 'Image', '56,389']
['51', 'Spider-Man: Hobgoblin Lives', '2', '$2.50', 'Marvel', '56,334']
