['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Amazing Spider-Man', '666', '$3.99', 'Marvel', '135,568']
['2', 'Captain America', '1', '$3.99', 'Marvel', '96,926']
['3', 'Fear Itself', '4', '$3.99', 'Marvel', '93,435']
['4', 'Flashpoint', '3', '$3.99', 'DC', '86,007']
['5', 'Green Lantern', '67', '$2.99', 'DC', '74,521']
['6', 'Daredevil', '1', '$3.99', 'Marvel', '64,866']
['7', 'Batman The Dark Knight', '3', '$2.99', 'DC', '62,792']
['8', 'Avengers', '15', '$3.99', 'Marvel', '62,580']
['9', 'War of The Green Lanterns Aftermath', '1', '$3.99', 'DC', '61,166']
['10', 'Green Lantern Corps', '61', '$2.99', 'DC', '60,836']
['11', 'X-Men Schism', '1', '$4.99', 'Marvel', '58,326']
['12', 'New Avengers', '14', '$3.99', 'Marvel', '58,306']
['13', 'Green Lantern Corps', '62', '$2.99', 'DC', '57,928']
['14', 'Batman The Dark Knight', '4', '$2.99', 'DC', '57,333']
['15', 'Uncanny X-Men', '540', '$3.99', 'Marvel', '57,206']
['16', 'Amazing Spider-Man', '665', '$3.99', 'Marvel', '56,948']
['17', 'Uncanny X-Men', '541', '$3.99', 'Marvel', '55,856']
['18', 'FF', '6', '$2.99', 'Marvel', '55,601']
['19', 'Uncanny X-Force', '12', '$3.99', 'Marvel', '55,413']
['20', 'Batman And Robin', '25', '$2.99', 'DC', '55,172']
['21', 'FF', '7', '$2.99', 'Marvel', '54,022']
['22', 'Batman', '712', '$2.99', 'DC', '51,385']
['23', 'Captain America And Bucky', '620', '$2.99', 'Marvel', '51,187']
['24', 'Ultimate Comics Fallout', '1', '$3.99', 'Marvel', '49,084']
['25', 'Green Lantern Emerald Warriors', '12', '$2.99', 'DC', '48,087']
['26', 'Secret Avengers', '15', '$3.99', 'Marvel', '46,712']
['27', 'Ultimate Comics Fallout', '2', '$3.99', 'Marvel', '45,371']
['28', 'X-Men Schism', '2', '$3.99', 'Marvel', '45,152']
['29', 'X-Men', '14', '$3.99', 'Marvel', '45,150']
['30', 'Mighty Thor', '4', '$3.99', 'Marvel', '44,586']
['31', 'Ultimate Comics Fallout', '3', '$3.99', 'Marvel', '44,492']
['32', 'Justice League of America', '59', '$2.99', 'DC', '43,545']
['33', 'X-Men', '15', '$3.99', 'Marvel', '43,038']
['34', 'Ultimate Avengers Vs New Ultimates', '6', '$3.99', 'Marvel', '42,760']
['35', 'Wolverine', '12', '$3.99', 'Marvel', '42,110']
['36', 'X-Men Legacy', '252', '$2.99', 'Marvel', '41,365']
['37', 'Ghost Rider', '1', '$3.99', 'Marvel', '41,308']
['38', 'Brightest Day Aftermath Search for\nSwamp Thing', '2', '$2.99', 'DC', '41,257']
['39', 'Invincible Iron Man', '506', '$3.99', 'Marvel', '41,052']
['40', 'Flashpoint Batman Knight of\nVengeance', '2', '$2.99', 'DC', '40,760']
['41', 'Action Comics', '903', '$2.99', 'DC', '40,205']
['42', 'Fear Itself Uncanny X-Force', '1', '$2.99', 'Marvel', '39,605']
['43', 'Detective Comics', '879', '$2.99', 'DC', '39,185']
['44', 'Detective Comics', '880', '$2.99', 'DC', '38,585']
['45', 'Superman', '713', '$2.99', 'DC', '36,646']
['46', 'Astonishing X-Men', '40', '$3.99', 'Marvel', '35,593']
['47', 'Venom', '5', '$2.99', 'Marvel', '35,102']
['48', 'Flashpoint Abin Sur The Green\nLantern', '2', '$2.99', 'DC', '34,698']
['49', 'Journey Into Mystery', '625', '$2.99', 'Marvel', '33,781']
['50', 'Moon Knight', '3', '$3.99', 'Marvel', '33,768']
['51', 'Walking Dead', '87', '$2.99', 'Image', '32,126']
['52', 'Flashpoint Hal Jordan', '2', '$2.99', 'DC', '31,329']
['53', 'Flashpoint Project Superman', '2', '$2.99', 'DC', '31,017']
['54', 'Fear Itself Wolverine', '1', '$2.99', 'Marvel', '30,584']
['55', 'Flashpoint Wonder Woman And The\nFuries', '2', '$2.99', 'DC', '30,484']
['56', 'Hulk', '37', '$2.99', 'Marvel', '30,318']
['57', 'Flashpoint Emperor Aquaman', '2', '$2.99', 'DC', '30,288']
['58', 'Fear Itself FF', '1', '$2.99', 'Marvel', '30,165']
['59', 'Wonder Woman', '613', '$2.99', 'DC', '29,720']
['60', 'Flashpoint The World of Flashpoint', '2', '$2.99', 'DC', '29,552']
['61', 'Hulk', '36', '$2.99', 'Marvel', '28,651']
['62', 'Incredible Hulks', '632', '$2.99', 'Marvel', '28,518']
['63', 'Booster Gold', '46', '$2.99', 'DC', '28,397']
['64', 'New Mutants', '27', '$2.99', 'Marvel', '27,963']
['65', 'Thunderbolts', '160', '$2.99', 'Marvel', '27,810']
['66', 'Fear Itself Spider-Man', '3', '$2.99', 'Marvel', '27,499']
['67', 'Flashpoint Kid Flash Lost', '2', '$2.99', 'DC', '27,450']
['68', 'Red Robin', '25', '$2.99', 'DC', '27,390']
['69', 'Deadpool', '40', '$2.99', 'Marvel', '27,303']
['70', 'Incredible Hulks', '633', '$2.99', 'Marvel', '27,216']
['71', 'Birds of Prey', '14', '$2.99', 'DC', '27,102']
['72', 'Alpha Flight', '2', '$2.99', 'Marvel', '26,862']
['73', 'Superman Batman', '86', '$2.99', 'DC', '26,530']
['74', 'Justice Society of America', '53', '$2.99', 'DC', '26,516']
['75', 'Flashpoint Citizen Cold', '2', '$2.99', 'DC', '26,354']
['76', 'Flashpoint Deadman And The Flying\nGraysons', '2', '$2.99', 'DC', '26,177']
['77', 'New Mutants', '28', '$2.99', 'Marvel', '26,130']
['78', 'Batman Gates of Gotham', '3', '$2.99', 'DC', '25,995']
['79', 'Vengeance', '1', '$3.99', 'Marvel', '25,873']
['80', 'Flashpoint Secret Seven', '2', '$2.99', 'DC', '25,745']
['81', 'Flashpoint Deathstroke The Curse of\nRavager', '2', '$2.99', 'DC', '25,584']
['82', 'Green Arrow', '14', '$2.99', 'DC', '25,568']
['83', 'Avengers Academy', '16', '$2.99', 'Marvel', '25,379']
['84', 'Flashpoint Lois Lane And The\nResistance', '2', '$2.99', 'DC', '24,970']
['85', 'X-Factor', '222', '$2.99', 'Marvel', '24,794']
['86', 'X-23', '12', '$2.99', 'Marvel', '24,605']
['87', 'Fear Itself Deadpool', '2', '$2.99', 'Marvel', '24,543']
['88', 'Flashpoint Legion of Doom', '2', '$2.99', 'DC', '24,288']
['89', 'Flashpoint Frankenstein Creatures\nof Unknown', '2', '$2.99', 'DC', '23,900']
['90', 'Daken Dark Wolverine', '11', '$2.99', 'Marvel', '23,207']
['91', 'Teen Titans', '98', '$2.99', 'DC', '23,138']
['92', 'Teen Titans', '97', '$2.99', 'DC', '23,095']
['93', 'Batman Beyond', '7', '$2.99', 'DC', '22,945']
['94', 'Flashpoint The Outsider', '2', '$2.99', 'DC', '22,945']
['95', 'Secret Warriors', '28', '$2.99', 'Marvel', '22,688']
['96', 'Batgirl', '23', '$2.99', 'DC', '22,619']
['97', 'Black Panther Man Without', '521', '$2.99', 'Marvel', '22,163']
['98', 'Superboy', '9', '$2.99', 'DC', '22,102']
['99', 'Fear Itself Home Front', '4', '$3.99', 'Marvel', '22,058']
['100', 'Legion of Super Heroes', '15', '$2.99', 'DC', '21,788']
['101', 'Gotham City Sirens', '25', '$2.99', 'DC', '20,780']
['102', 'Fear Itself Worthy', '1', '$3.99', 'Marvel', '20,780']
['103', 'Lady Mechanika', '2', '$2.99', 'Aspen', '20,760']
['104', 'Wolverine Best There Is', '8', '$3.99', 'Marvel', '20,393']
['105', 'Iron Man 2.0', '7', '$2.99', 'Marvel', '20,390']
['106', 'Adventure Comics', '528', '$2.99', 'DC', '20,111']
['107', 'Supergirl', '66', '$2.99', 'DC', '20,001']
['108', 'Red Skull', '1', '$2.99', 'Marvel', '19,973']
['109', 'Heroes For Hire', '9', '$2.99', 'Marvel', '19,676']
['110', 'Secret Six', '35', '$2.99', 'DC', '19,283']
['111', 'Wolverine And Deadpool Decoy', '1', '$3.99', 'Marvel', '19,025']
['112', 'Fear Itself Youth In Revolt', '3', '$2.99', 'Marvel', '18,735']
['113', 'Titans', '37', '$2.99', 'DC', '18,613']
