['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Blackest Night*', '5', '$3.99', 'DC', '144,868']
['2', 'Green Lantern', '48', '$2.99', 'DC', '100,325']
['3', 'Captain America Reborn', '4', '$3.99', 'Marvel', '96,526']
['4', 'Batman And Robin', '6', '$2.99', 'DC', '95,646']
['5', 'Justice League of America*', '39', '$3.99', 'DC', '89,335']
['6', 'Adventure Comics*', '4', '$3.99', 'DC', '85,106']
['7', 'Green Lantern Corps', '42', '$2.99', 'DC', '80,354']
['8', 'New Avengers', '59', '$3.99', 'Marvel', '74,345']
['9', 'Flash Rebirth', '5', '$2.99', 'DC', '73,841']
['10', 'Dark Avengers', '11', '$3.99', 'Marvel', '72,192']
['11', 'Uncanny X-Men', '517', '$2.99', 'Marvel', '69,525']
['12', 'Batman', '693', '$2.99', 'DC', '68,951']
['13', 'Amazing Spider-Man', '612', '$3.99', 'Marvel', '68,427']
['14', 'Amazing Spider-Man', '613', '$2.99', 'Marvel', '64,669']
['15', 'Amazing Spider-Man', '611', '$2.99', 'Marvel', '64,484']
['16', 'Astonishing X-Men', '32', '$2.99', 'Marvel', '62,125']
['17', 'Amazing Spider-Man', '610', '$2.99', 'Marvel', '61,142']
['18', 'Ultimate Comics Avengers', '4', '$3.99', 'Marvel', '58,996']
['19', 'Booster Gold*', '26', '$3.99', 'DC', '57,096']
['20', 'Dark Reign List\nAmazing Spider-Man One-Shot', '$3.99', 'Marvel', '56,188']
['21', 'Invincible Iron Man', '20', '$3.99', 'Marvel', '55,135']
['22', 'Detective Comics', '859', '$3.99', 'DC', '54,367']
['23', 'X-Force', '21', '$2.99', 'Marvel', '53,942']
['24', 'Doom Patrol*', '4', '$3.99', 'DC', '53,723']
['25', 'Thor Giant Size Finale', '1', '$3.99', 'Marvel', '53,541']
['26', 'Hulk', '17', '$3.99', 'Marvel', '52,629']
['27', 'Justice League Cry For Justice', '5', '$3.99', 'DC', '52,376']
['28', 'Dark Wolverine', '80', '$2.99', 'Marvel', '52,370']
['29', 'Superman Batman', '66', '$2.99', 'DC', '52,119']
['30', 'Rebels*', '10', '$3.99', 'DC', '51,076']
['31', 'Outsiders*', '24', '$3.99', 'DC', '50,894']
['32', 'X-Men Legacy', '229', '$2.99', 'Marvel', '50,766']
['33', 'Dark X-Men', '1', '$3.99', 'Marvel', '50,144']
['34', 'Mighty Avengers', '31', '$2.99', 'Marvel', '49,457']
['35', 'Buffy the Vampire Slayer', '30', '$2.99', 'Dark Horse', '49,132']
['36', 'Ultimate Comics Spider-Man', '4', '$3.99', 'Marvel', '49,083']
['37', 'Deadpool', '17', '$2.99', 'Marvel', '46,743']
['38', 'Teen Titans', '77', '$3.99', 'DC', '46,218']
['39', 'Superman Secret Origin', '3', '$3.99', 'DC', '45,008']
['40', 'Batman Widening Gyre', '3', '$2.99', 'DC', '43,316']
['41', 'Justice Society of America', '33', '$2.99', 'DC', '43,198']
['42', 'Image United', '1', '$3.99', 'Image', '42,846']
['43', 'Red Robin', '6', '$2.99', 'DC', '42,389']
['44', 'Incredible Hulk', '604', '$3.99', 'Marvel', '40,633']
['45', 'Daredevil', '502', '$2.99', 'Marvel', '40,335']
['46', 'Deadpool Team-Up', '899', '$2.99', 'Marvel', '39,566']
['47', 'Fantastic Four', '573', '$2.99', 'Marvel', '39,415']
['48', 'Wolverine Origins', '42', '$2.99', 'Marvel', '37,886']
['49', 'Deadpool Merc With A Mouth', '5', '$2.99', 'Marvel', '37,764']
['50', 'Wolverine Weapon X', '7', '$3.99', 'Marvel', '36,091']
['51', 'Superman World of New Krypton', '9', '$2.99', 'DC', '35,270']
['52', 'Batgirl', '4', '$2.99', 'DC', '34,681']
['53', 'Superman', '694', '$2.99', 'DC', '34,414']
['54', 'Action Comics', '883', '$3.99', 'DC', '33,371']
['55', 'New Mutants', '7', '$2.99', 'Marvel', '33,313']
['56', 'Batman Doc Savage Special', '1', '$4.99', 'DC', '32,621']
['57', 'Dark Tower Fall of Gilead', '6', '$3.99', 'Marvel', '32,516']
['58', 'Spider-Woman', '3', '$2.99', 'Marvel', '32,422']
['59', 'Batman Streets of Gotham', '6', '$3.99', 'DC', '32,288']
['60', 'Web of Spider-Man', '2', '$3.99', 'Marvel', '32,078']
['61', 'Secret Warriors', '10', '$2.99', 'Marvel', '31,552']
['62', 'Thunderbolts', '138', '$2.99', 'Marvel', '31,224']
['63', 'Gotham City Sirens', '6', '$2.99', 'DC', '30,976']
['64', 'Black Widow Deadly Origin', '1', '$3.99', 'Marvel', '29,338']
['65', 'Cable', '20', '$2.99', 'Marvel', '29,231']
['66', 'Supergirl', '47', '$2.99', 'DC', '29,146']
['67', 'Punisher Max', '1', '$3.99', 'Marvel', '29,106']
['68', 'Avengers Initiative', '30', '$2.99', 'Marvel', '28,675']
['69', 'Haunt', '2', '$2.99', 'Image', '28,241']
['70', 'Realm of Kings', '', '$3.99', 'Marvel', '28,168']
['71', 'Justice Society of America 80 Page\nGiant', '1', '$5.99', 'DC', '27,892']
['72', 'Titans', '19', '$2.99', 'DC', '27,086']
['73', 'Worlds Finest', '2', '$2.99', 'DC', '26,554']
['74', 'Wonder Woman', '38', '$2.99', 'DC', '26,253']
['75', 'Psylocke', '1', '$3.99', 'Marvel', '26,132']
['76', 'Archie', '603', '$2.50', 'Archie', '25,787']
['77', 'Stand Soul Survivors', '2', '$3.99', 'Marvel', '25,588']
['78', 'Assault On New Olympus', '', '$3.99', 'Marvel', '25,546']
['79', 'Marvelous Land of Oz', '1', '$3.99', 'Marvel', '25,326']
['80', 'Dr Horrible One Shot', '', '$3.50', 'Dark Horse', '25,314']
['81', 'X-Men Vs Agents of Atlas', '2', '$3.99', 'Marvel', '25,210']
['82', 'Incredible Hercules', '138', '$3.99', 'Marvel', '25,104']
['83', 'Punisher', '11', '$2.99', 'Marvel', '24,978']
['84', 'Walking Dead', '67', '$2.99', 'Image', '24,655']
['85', 'Realm of Kings Inhumans', '1', '$3.99', 'Marvel', '24,202']
['86', 'Marvel Zombies Evil Evolution', '', '$4.99', 'Marvel', '23,740']
['87', 'Boys', '36', '$2.99', 'Dynamic', '23,460']
['88', 'Realm of Kings Imperial Guard', '1', '$3.99', 'Marvel', '23,439']
['89', 'Strange', '1', '$3.99', 'Marvel', '23,351']
['90', 'Vengeance of Moon Knight', '3', '$2.99', 'Marvel', '23,348']
['91', 'Secret Six', '15', '$2.99', 'DC', '23,179']
['92', 'Guardians of the Galaxy', '20', '$2.99', 'Marvel', '22,954']
['93', 'Ms. Marvel', '47', '$2.99', 'Marvel', '22,926']
['94', 'Nova', '31', '$2.99', 'Marvel', '22,917']
['95', 'Sword', '1', '$3.99', 'Marvel', '21,978']
['96', 'Arkham Reborn', '2', '$2.99', 'DC', '21,760']
['97', 'Star Wars Legacy', '42', '$2.99', 'Dark Horse', '21,649']
['98', 'Azrael', '2', '$2.99', 'DC', '21,382']
['99', 'Brave And The Bold', '29', '$2.99', 'DC', '21,277']
['100', 'Boys Herogasm', '6', '$2.99', 'Dynamic', '21,115']
['101', 'Fables', '90', '$2.99', 'DC', '20,872']
['102', 'Deathlok', '1', '$3.99', 'Marvel', '20,845']
['103', 'Angel', '27', '$3.99', 'IDW', '20,721']
['104', 'Star Wars Purge Seconds to Die One\nShot', '', '$3.50', 'Dark Horse', '20,362']
['105', 'Cinderella From Fabletown With Love', '1', '$2.99', 'DC', '20,328']
['106', 'Dark Avengers Ares', '2', '$3.99', 'Marvel', '20,247']
['107', 'Powers', '1', '$3.95', 'Marvel', '20,137']
['108', 'X-Men Forever', '11', '$3.99', 'Marvel', '20,121']
['109', 'X-Men Forever', '12', '$3.99', 'Marvel', '19,532']
['110', 'Spider-Man Clone Saga', '3', '$3.99', 'Marvel', '19,469']
['111', 'Batman The Unseen', '3', '$2.99', 'DC', '19,160']
['112', 'Black Panther 2', '10', '$2.99', 'Marvel', '19,138']
['113', 'Son of Hulk', '17', '$2.99', 'Marvel', '19,088']
