['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Ultimate Fantastic Four', '1', '$2.25', 'Marvel', '173,397']
['2', 'Marvel 1602', '5', '$3.50', 'Marvel', '115,488']
['3', 'New X-Men', '150', '$3.50', 'Marvel', '110,563']
['4', 'Ultimate Spider-Man', '50', '$2.99', 'Marvel', '109,792']
['5', 'Ultimates', '12', '$2.25', 'Marvel', '104,546']
['6', 'Ultimate X-Men', '40', '$2.25', 'Marvel', '104,417']
['7', 'Superman/Batman', '4', '$2.95', 'DC', '102,699']
['8', 'Ultimate Six', '5', '$2.25', 'Marvel', '100,264']
['9', 'Ultimate Spider-Man', '51', '$2.25', 'Marvel', '96,966']
['10', 'Superman/Batman', '5', '$2.95', 'DC', '96,396']
['11', 'Batman', '622', '$2.25', 'DC', '91,876']
['12', 'Amazing Spider-Man', '502 (#61)', '$2.25', 'Marvel', '90,461']
['13', 'Uncanny X-Men', '434', '$2.25', 'Marvel', '90,296']
['14', 'Uncanny X-Men', '435', '$2.25', 'Marvel', '89,744']
['15', 'Uncanny X-Men', '436', '$2.25', 'Marvel', '89,083']
['16', 'Wolverine', '9', '$2.25', 'Marvel', '74,640']
['17', 'Supreme Power', '5', '$2.99', 'Marvel', '70,303']
['18', 'Teen Titans', '6', '$2.50', 'DC', '69,238']
['19', 'Spectacular Spider-Man', '8', '$2.25', 'Marvel', '62,705']
['20', 'X-Treme X-Men', '35', '$2.99', 'Marvel', '61,015']
['21', 'JLA', '91', '$2.25', 'DC', '58,966']
['22', 'X-Treme X-Men', '36', '$3.50', 'Marvel', '58,497']
['23', 'X-Treme X-Men', '37', '$3.50', 'Marvel', '58,029']
['24', 'Avengers', '75 (Res)', '$2.25', 'Marvel', '57,799']
['25', 'X-Treme X-Men', '38', '$3.50', 'Marvel', '57,790']
['26', 'Avengers', '76 (Res)', '$2.25', 'Marvel', '57,487']
['27', 'Daredevil', '55', '$2.99', 'Marvel', '53,646']
['28', 'Wanted', '1', '$2.99', 'Image', '53,628']
['29', 'Transformers Generation One Vol. 3', '0', '$2.95', 'Dreamwave', '53,068']
['30', 'G.I. Joe/Transformers', '5', '$2.95', 'Image', '52,921']
['31', 'Transformers/G.I. Joe', '4', '$2.95', 'Dreamwave', '52,186']
['32', 'Incredible Hulk', '64', '$2.25', 'Marvel', '51,947']
['33', 'Hulk Gray', '4', '$3.50', 'Marvel', '51,533']
['34', 'Fantastic Four', '508 (#79)', '$2.25', 'Marvel', '50,320']
['35', 'G.I. Joe/Transformers', '6', '$2.95', 'Image', '49,108']
['36', 'Superman', '200', '$3.50', 'DC', '47,334']
['37', 'Outsiders', '7', '$2.50', 'DC', '47,040']
['38', 'Captain America', '21', '$2.99', 'Marvel', '43,007']
['39', 'JSA', '55', '$2.50', 'DC', '42,998']
['40', 'Nyx', '3', '$2.99', 'Marvel', '40,040']
['41', 'Transformers War Within Vol. 2', '3', '$2.95', 'Dreamwave', '39,948']
['42', 'Formerly Known as the Justice League', '6', '$2.50', 'DC', '38,671']
['43', 'Punisher', '37', '$2.99', 'Marvel', '38,551']
['44', 'Exiles', '38', '$2.99', 'Marvel', '38,533']
['45', 'Exiles', '39', '$2.99', 'Marvel', '38,303']
['46', 'Emma Frost', '6', '$2.50', 'Marvel', '37,880']
['47', 'Thanos', '3', '$2.99', 'Marvel', '37,697']
['48', 'Green Arrow', '33', '$2.50', 'DC', '36,925']
['49', 'Spawn', '131', '$2.50', 'Image', '36,484']
['50', 'Detective Comics', '789', '$2.75', 'DC', '36,447']
['51', 'G.I. Joe', '25', '$2.95', 'Image', '36,291']
['52', 'Silver Surfer', '4 (Res)', '$2.25', 'Marvel', '36,273']
['53', 'Flash', '205', '$2.25', 'DC', '34,922']
['54', 'Venom', '9', '$2.99', 'Marvel', '33,535']
['55', 'Planetary', '18', '$2.95', 'DC', '32,763']
['56', 'Thor', '72', '$2.99', 'Marvel', '31,945']
['57', 'Iron Man', '75', '$2.99', 'Marvel', '31,881']
['58', 'Plastic Man', '1', '$2.95', 'DC', '31,504']
['59', 'Spider-Man & Dr Octopus\nNegative Exposurere', '3', '$2.99', 'Marvel', '31,137']
['60', 'Green Lantern', '172', '$2.25', 'DC', '31,072']
['61', 'Astro City Local Heroes', '5', '$2.95', 'DC', '30,953']
['62', 'Spider-Man/Dr Octopus Out Of Reach', '2', '$2.99', 'Marvel', '30,824']
['63', 'Birds of Prey', '62', '$2.50', 'DC', '30,521']
['64', 'Robin', '121', '$2.25', 'DC', '30,475']
['65', 'JSA All Stars', '8', '$2.50', 'DC', '30,236']
['66', 'Action Comics', '810', '$2.25', 'DC', '29,501']
['67', 'Wonder Woman', '199', '$2.25', 'DC', '29,217']
