['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Uncanny X-Men', '369', '$1.99', 'Marvel', '129,900']
['2', 'X-Men', '89', '$1.99', 'Marvel', '128,685']
['3', 'Battle Chasers', '6 (Res)', '$2.50', 'DC', '123,429']
['4', 'Spawn', '85', '$1.95', 'Image', '97,238']
['5', 'Avengers', '17', '$1.99', 'Marvel', '89,105']
['6', 'Wolverine', '139', '$1.99', 'Marvel', '88,477']
['7', 'JLA', '30', '$1.99', 'DC', '87,952']
['8', 'Earth X', '3', '$2.99', 'Marvel', '86,233']
['9', 'Daredevil', '8', '$2.50', 'Marvel', '86,046']
['10', 'Spawn The Dark Ages', '2', '$2.50', 'Image', '81,980']
['11', 'Wolverine Punisher Revelation', '1', '$2.99', 'Marvel', '75,129']
['12', 'Amazing Spider-Man', '6', '$1.99', 'Marvel', '74,475']
['13', 'Darkness Batman', '', '$5.95', 'Image', '73,784']
['14', 'Magneto Rex', '2', '$2.50', 'Marvel', '72,247']
['15', 'Fantastic Four', '18', '$1.99', 'Marvel', '71,546']
['16', 'Peter Parker Spider-Man', '6', '$1.99', 'Marvel', '69,001']
['17', 'Thor', '12', '$2.99', 'Marvel', '68,799']
['18', 'Captain America', '18', '$2.99', 'Marvel', '67,947']
['19', 'Black Widow', '1', '$2.99', 'Marvel', '67,791']
['20', 'Avengers Forever', '7', '$2.99', 'Marvel', '64,805']
['21', 'Iron Man', '17', '$1.99', 'Marvel', '63,989']
['22', 'Gambit', '5', '$1.99', 'Marvel', '59,689']
['23', 'Mutant X', '9', '$1.99', 'Marvel', '59,663']
['24', 'Witchblade', '31', '$2.50', 'Image', '57,684']
['25', 'Tom Strong', '1', '$3.50', 'DC', '57,549']
['26', 'Hulk', '3', '$1.99', 'Marvel', '56,490']
['27', 'Spider-Man Chapter 1', '8', '$2.50', 'Marvel', '54,142']
['28', 'Fathom Swimsuit Special', '1', '$2.95', 'Image', '53,706']
['29', 'Batman', '566', '$1.99', 'DC', '51,935']
['30', 'X-Men Unlimited', '23', '$2.99', 'Marvel', '51,899']
['31', 'Generation X', '52', '$1.99', 'Marvel', '51,026']
['32', 'X-Force', '91', '$1.99', 'Marvel', '49,946']
['33', 'Aria', '4', '$2.50', 'Image', '49,515']
['34', 'Amazing Spider-Man 1999', '', '$3.50', 'Marvel', '49,297']
['35', 'Green Lantern', '113', '$1.99', 'DC', '49,162']
['36', 'Detective Comics', '733', '$1.99', 'DC', '49,120']
['37', 'Titans', '4', '$2.50', 'DC', '49,032']
['38', 'Inhumans', '8', '$2.99', 'Marvel', '48,850']
['39', 'Galactus The Devourer', '1', '$3.50', 'Marvel', '47,988']
['40', 'Cable', '68', '$1.99', 'Marvel', '46,685']
['41', 'Divine Right', '10', '$2.50', 'DC', '46,124']
['42', 'Thunderbolts', '27', '$1.99', 'Marvel', '45,874']
['43', 'X-Man', '52', '$1.99', 'Marvel', '45,661']
['44', 'Tales of the The Witchblade', '7', '$2.95', 'Image', '45,464']
['45', 'Buffy The Vampire Slayer', '8', '$2.95', 'Dark Horse', '44,976']
['46', 'Spider-Girl', '9', '$1.99', 'Marvel', '44,716']
['47', 'Preacher', '50', '$3.75', 'DC', '44,436']
['48', 'Nightwing', '32', '$1.99', 'DC', '44,405']
['49', 'Batman Shadow of the Bat', '86', '$1.99', 'DC', '42,841']
['50', 'Dawn Return of the Goddess', '1', '$2.95', 'Sirius', '42,821']
['51', 'Kiss Psycho Circus', '19', '$2.25', 'Image', '42,800']
['52', 'Batman Legends of the Dark Knight', '118', '$1.99', 'DC', '42,036']
['53', 'Lady Pendragon Dragon Blade', '1', '$2.50', 'Image', '41,766']
['54', 'Superman', '145', '$1.99', 'DC', '41,434']
['55', 'Darkchylde The Legacy', '3 (Res)', '$2.50', 'DC', '40,982']
['56', 'Adventures Of Superman', '568', '$1.99', 'DC', '40,535']
['57', 'Superman The Man Of Steel', '89', '$1.99', 'DC', '40,390']
['58', 'Black Panther', '8', '$2.50', 'Marvel', '40,104']
['59', 'Flash', '149', '$1.99', 'DC', '39,824']
['60', 'Batman & Superman Worlds\nFinest', '3', '$1.99', 'DC', '39,258']
['61', 'Nova', '2', '$1.99', 'Marvel', '37,752']
['62', 'Gen 13', '40', '$2.50', 'DC', '37,653']
['63', 'Young Justice', '9', '$2.50', 'DC', '37,591']
['64', 'Star Wars Boba Fett Enemy of the\nEmpire', '4', '$2.95', 'Dark Horse', '37,357']
['65', 'Deadpool', '29', '$1.99', 'Marvel', '36,978']
['66', 'Star Wars Vaders Quest', '3', '$2.95', 'Dark Horse', '36,495']
['67', 'Star Wars', '5', '$2.50', 'Dark Horse', '35,337']
['68', 'Robin', '65', '$1.99', 'DC', '34,521']
['69', 'Captain America Sentinel Of Liberty', '10', '$1.99', 'Marvel', '34,350']
['70', 'Star Wars Crimson Empire II', '6', '$2.95', 'Dark Horse', '33,992']
['71', 'Undertaker', '2', '$2.95', 'Chaos', '33,586']
['72', 'Authority', '2', '$2.50', 'DC', '33,493']
['73', 'Planetary', '3', '$2.50', 'DC', '33,264']
['74', 'Allies', '1', '$2.50', 'Awesome', '33,124']
['75', 'Buffy The Vampire Slayer Spike\n& Dru', '', '$2.95', 'Dark Horse', '32,117']
['76', 'Flinch', '1', '$2.50', 'DC', '31,675']
['77', 'Catwoman', '69', '$1.99', 'DC', '31,623']
['78', 'A Next', '9', '$1.99', 'Marvel', '31,592']
['79', 'Webspinners Tales Of Spider-Man', '6', '$2.50', 'Marvel', '30,860']
['80', 'Green Lantern 80 Page Giant', '2', '$4.95', 'DC', '30,476']
['81', 'Supergirl', '33', '$1.99', 'DC', '29,691']
['82', 'Spirit of the Tao', '9', '$2.50', 'Image', '29,141']
['83', 'Crow', '3', '$2.50', 'Image', '28,959']
['84', 'Azrael Agent of the Bat', '53', '$2.25', 'DC', '28,762']
['85', 'Pokemon Vol. 2 Pikachu Shocks Back', '2', '$3.25', 'Viz', '28,611']
['86', 'Batman Book of the Dead', '1', '$4.95', 'DC', '28,497']
['87', 'Tenth Black Embrace', '3', '$2.50', 'Image', '28,284']
['88', 'J2', '9', '$1.99', 'Marvel', '27,988']
['89', 'Wonder Woman', '145', '$1.99', 'DC', '27,806']
['90', 'Superman 80 Page Giant', '2', '$4.95', 'DC', '27,707']
['91', 'Starman', '54', '$2.50', 'DC', '27,552']
['92', 'Martian Manhunter', '7', '$1.99', 'DC', '26,975']
['93', 'Superboy', '63', '$1.99', 'DC', '26,954']
['94', 'Hourman', '3', '$2.50', 'DC', '26,715']
['95', 'Birds Of Prey', '6', '$1.99', 'DC', '26,425']
['96', 'Legends of the DC Universe', '17', '$1.99', 'DC', '25,422']
['97', 'Batman Book Of Shadows', '', '$5.95', 'DC', '25,163']
['98', 'Batman Beyond', '4', '$1.99', 'DC', '25,054']
['99', 'Gen 13 Going West', '', '$2.50', 'DC', '24,384']
['100', 'Slingers', '7', '$1.99', 'Marvel', '24,363']
