['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'All Star Batman & Robin The\nBoy Wonder', '1', '$2.99', 'DC', '261,079']
['2', 'New Avengers', '7', '$2.25', 'Marvel', '158,713']
['3', 'House of M', '3', '$2.99', 'Marvel', '151,763']
['4', 'House of M', '4', '$2.99', 'Marvel', '146,547']
['5', 'Astonishing X-Men', '11', '$2.99', 'Marvel', '127,785']
['6', 'Superman Batman', '21', '$2.99', 'DC', '108,354']
['7', 'Ultimates 2', '7', '$2.99', 'Marvel', '99,147']
['8', 'Omac Project', '4', '$2.50', 'DC', '93,610']
['9', 'Ultimate Fantastic Four', '21', '$2.50', 'Marvel', '91,333']
['10', 'Uncanny X-Men', '462', '$2.50', 'Marvel', '91,136']
['11', 'Villains United', '3', '$2.50', 'DC', '88,486']
['12', 'JLA', '116', '$2.50', 'DC', '87,655']
['13', 'Ultimate X-Men', '61', '$2.50', 'Marvel', '87,105']
['14', 'Red Sonja', '1', '$2.99', 'Dynamic', '80,613']
['15', 'Rann Thanagar War', '3', '$2.50', 'DC', '79,036']
['16', 'Ultimate Spider-Man', '79', '$2.50', 'Marvel', '78,414']
['17', 'X-Men', '173', '$2.50', 'Marvel', '77,164']
['18', 'Ultimate Spider-Man', '80', '$2.50', 'Marvel', '76,915']
['19', 'Wolverine', '30', '$2.50', 'Marvel', '76,660']
['20', 'Day of Vengeance', '4', '$2.50', 'DC', '75,515']
['21', 'Amazing Spider-Man', '522', '$2.50', 'Marvel', '73,139']
['22', 'Spider-Man House of M', '2', '$2.99', 'Marvel', '71,595']
['23', 'Iron Man House of M', '1', '$2.99', 'Marvel', '71,268']
['24', 'Superman', '219', '$2.50', 'DC', '71,045']
['25', 'Fantastic Four House of M', '1', '$2.99', 'Marvel', '70,836']
['26', 'Teen Titans', '26', '$2.50', 'DC', '68,362']
['27', 'Batman', '642', '$2.50', 'DC', '65,443']
['28', 'Action Comics', '829', '$2.50', 'DC', '63,002']
['29', 'DC Special Return of Donna Troy', '2', '$2.99', 'DC', '62,996']
['30', 'Adventures of Superman', '642', '$2.50', 'DC', '58,781']
['31', 'Secrets of the House of M', '1', '$3.99', 'Marvel', '58,441']
['32', 'JSA Classified', '1', '$2.50', 'DC', '58,303']
['33', 'Incredible Hulk', '83', '$2.99', 'Marvel', '55,947']
['34', 'JSA', '75', '$2.99', 'DC', '55,417']
['35', 'Incredible Hulk', '84', '$2.99', 'Marvel', '53,912']
['36', 'Wonder Woman', '219', '$2.50', 'DC', '53,467']
['37', 'Fantastic Four', '529', '$2.99', 'Marvel', '52,970']
['38', 'X-Men The End Heroes &\nMartyrs', '5', '$2.99', 'Marvel', '51,955']
['39', 'Marvel Knights Spider-Man', '16', '$2.99', 'Marvel', '50,882']
['40', 'Pulse', '10', '$2.99', 'Marvel', '50,241']
['41', 'Flash', '224', '$2.50', 'DC', '48,068']
['42', 'Daredevil', '75', '$3.99', 'Marvel', '47,806']
['43', 'Mutopia X', '1', '$2.99', 'Marvel', '46,347']
['44', 'JLA Classified', '10', '$2.99', 'DC', '45,045']
['45', 'New X-Men', '16', '$2.99', 'Marvel', '44,842']
['46', 'Weapon X Days of Future Now', '1', '$2.99', 'Marvel', '43,886']
['47', 'Outsiders', '26', '$2.50', 'DC', '43,232']
['48', 'Defenders', '1', '$2.99', 'Marvel', '39,515']
['49', 'Serenity', '1', '$2.99', 'Dark Horse', '38,507']
['50', 'Daredevil Vs Punisher', '1', '$2.99', 'Marvel', '38,310']
['51', 'Nightwing', '110', '$2.50', 'DC', '38,180']
['52', 'Detective Comics', '808', '$2.99', 'DC', '37,957']
['53', 'Punisher', '23', '$2.99', 'Marvel', '37,381']
['54', 'Legion of Super Heroes', '8', '$2.99', 'DC', '37,276']
['55', 'Nyx', '6', '$2.99', 'Marvel', '36,897']
['56', 'Conan', '18', '$2.99', 'Dark Horse', '36,328']
['57', 'Green Arrow', '52', '$2.50', 'DC', '35,660']
['58', 'Black Panther', '6', '$2.99', 'Marvel', '35,261']
['59', 'Daredevil Vs Punisher', '2', '$2.99', 'Marvel', '35,078']
['60', 'Shanna The She Devil', '6', '$3.50', 'Marvel', '34,449']
['61', 'Cable Deadpool', '17', '$2.99', 'Marvel', '34,397']
['62', 'Wonder Woman', '218', '$2.50', 'DC', '34,371']
['63', 'Exiles', '66', '$2.99', 'Marvel', '34,096']
['64', 'Exiles', '67', '$2.99', 'Marvel', '33,756']
