['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Amazing Spider-Man', '700', '$7.99', 'Marvel', '200,966']
['2', 'Avengers', '1', '$3.99', 'Marvel', '186,989']
['3', 'Batman', '15', '$3.99', 'DC', '151,568']
['4', 'Justice League', '15', '$3.99', 'DC', '115,074']
['5', 'Detective Comics', '15', '$3.99', 'DC', '106,395']
['6', 'Avengers', '2', '$3.99', 'Marvel', '93,894']
['7', 'Cable And X-Force', '1', '$3.99', 'Marvel', '90,334']
['8', 'Batman And Robin', '15', '$2.99', 'DC', '89,878']
['9', 'All New X-Men', '3', '$3.99', 'Marvel', '83,798']
['10', 'Thunderbolts', '1', '$2.99', 'Marvel', '83,396']
['11', 'All New X-Men', '4', '$3.99', 'Marvel', '80,665']
['12', 'Aquaman', '15', '$2.99', 'DC', '75,947']
['13', 'Batgirl', '15', '$2.99', 'DC', '75,341']
['14', 'Amazing Spider-Man', '699', '$3.99', 'Marvel', '74,904']
['15', 'Nightwing', '15', '$2.99', 'DC', '74,407']
['16', 'Green Lantern', '15', '$2.99', 'DC', '74,363']
['17', 'Teen Titans', '15', '$2.99', 'DC', '68,707']
['18', 'Amazing Spider-Man', '699.1', '$2.99', 'Marvel', '66,245']
['19', 'Avengers Arena', '1', '$2.99', 'Marvel', '64,626']
['20', 'Captain America', '2', '$3.99', 'Marvel', '64,377']
['21', 'Red Hood And The Outlaws', '15', '$2.99', 'DC', '64,103']
['22', 'Indestructible Hulk', '2', '$3.99', 'Marvel', '63,653']
['23', 'Action Comics', '15', '$3.99', 'DC', '61,298']
['24', 'Batman The Dark Knight', '15', '$2.99', 'DC', '60,569']
['25', 'Deadpool', '3', '$2.99', 'Marvel', '60,215']
['26', 'Iron Man', '3', '$3.99', 'Marvel', '59,041']
['27', 'Fantastic Four', '2', '$2.99', 'Marvel', '58,421']
['28', 'Walking Dead', '105', '$2.99', 'Image', '57,781']
['29', 'Cable And X-Force', '2', '$3.99', 'Marvel', '57,719']
['30', 'Suicide Squad', '15', '$2.99', 'DC', '57,132']
['31', 'Iron Man', '4', '$3.99', 'Marvel', '56,708']
['32', 'A Plus X', '3', '$3.99', 'Marvel', '56,700']
['33', 'Thor God of Thunder', '3', '$3.99', 'Marvel', '55,547']
['34', 'Earth 2', '7', '$2.99', 'DC', '54,409']
['35', 'Before Watchmen Rorschach', '3', '$3.99', 'DC', '53,396']
['36', 'Batman Incorporated', '6', '$2.99', 'DC', '52,636']
['37', 'Superman', '15', '$2.99', 'DC', '51,225']
['38', 'Thunderbolts', '2', '$2.99', 'Marvel', '50,897']
['39', 'Before Watchmen Comedian', '4', '$3.99', 'DC', '50,073']
['40', 'Before Watchmen Dr Manhattan', '3', '$3.99', 'DC', '48,909']
['41', 'Green Lantern Corps', '15', '$2.99', 'DC', '47,841']
['42', 'Uncanny X-Force', '35', '$3.99', 'Marvel', '47,736']
['43', 'Before Watchmen Minutemen', '5', '$3.99', 'DC', '47,627']
['44', 'Before Watchmen Nite Owl', '4', '$3.99', 'DC', '46,928']
['45', 'FF', '2', '$2.99', 'Marvel', '46,096']
['46', 'Flash', '15', '$2.99', 'DC', '45,925']
['47', 'Wolverine And X-Men', '22', '$3.99', 'Marvel', '45,658']
['48', 'X-Men Legacy', '3', '$2.99', 'Marvel', '45,407']
['49', 'Green Lantern New Guardians', '15', '$2.99', 'DC', '45,136']
['50', 'Avengers Arena', '2', '$2.99', 'Marvel', '43,014']
['51', 'Saga', '8', '$2.99', 'Image', '42,324']
['52', 'Wonder Woman', '15', '$2.99', 'DC', '41,641']
['53', 'Avenging Spider-Man', '15.1', '$2.99', 'Marvel', '41,504']
['54', 'My Little Pony Friendship Is Magic', '2', '$3.99', 'IDW', '39,841']
['55', 'Red Lanterns', '15', '$2.99', 'DC', '39,071']
['56', 'Before Watchmen Moloch', '2*', '$3.99', 'DC', '37,371']
['57', 'Ultimate Comics Spider-Man', '18', '$3.99', 'Marvel', '36,944']
['58', 'Daredevil', '21', '$2.99', 'Marvel', '35,848']
['59', 'Catwoman', '15', '$2.99', 'DC', '35,020']
['60', 'Batwoman', '15', '$2.99', 'DC', '34,964']
['61', 'Hawkeye', '5', '$2.99', 'Marvel', '34,385']
['62', 'Wolverine', '317', '$3.99', 'Marvel', '34,367']
['63', 'Avengers Assemble', '10', '$3.99', 'Marvel', '34,035']
['64', 'Swamp Thing', '15', '$2.99', 'DC', '33,916']
['65', 'Hawkeye', '6', '$2.99', 'Marvel', '33,440']
['66', 'Animal Man', '15', '$2.99', 'DC', '32,013']
['67', 'Worlds Finest', '7', '$2.99', 'DC', '32,010']
['68', 'Talon', '3*', '$2.99', 'DC', '31,531']
['69', 'Deathmatch', '1', '$1.00', 'Boom', '30,946']
['70', 'Supergirl', '15', '$2.99', 'DC', '30,814']
['71', 'Secret Avengers', '35', '$3.99', 'Marvel', '30,755']
['72', 'X-Men', '39', '$3.99', 'Marvel', '29,326']
['73', 'Daredevil End of Days', '3', '$3.99', 'Marvel', '29,273']
['74', 'Happy', '3', '$2.99', 'Image', '28,767']
['75', 'Avenging Spider-Man', '15', '$3.99', 'Marvel', '28,240']
['76', 'Hellboy In Hell', '1', '$2.99', 'Dark Horse', '28,096']
['77', 'Justice League Dark', '15', '$2.99', 'DC', '27,712']
['78', 'Ultimate Comics Ultimates', '18.1', '$2.99', 'Marvel', '27,659']
['79', 'Superboy', '15', '$2.99', 'DC', '27,619']
['80', 'Ultimate Comics Ultimates', '19', '$3.99', 'Marvel', '26,971']
['81', 'Scarlet Spider', '12', '$2.99', 'Marvel', '26,652']
['82', 'Astonishing X-Men', '57', '$3.99', 'Marvel', '26,263']
['83', 'Scarlet Spider', '12.1', '$2.99', 'Marvel', '25,771']
['84', 'Legends of the Dark Knight', '3', '$3.99', 'DC', '25,710']
['85', 'Venom', '28', '$2.99', 'Marvel', '25,573']
['86', 'Punisher War Zone', '2', '$2.99', 'Marvel', '25,471']
['87', 'Ultimate Comics X-Men', '20', '$3.99', 'Marvel', '24,789']
['88', 'Birds of Prey', '15', '$2.99', 'DC', '24,026']
['89', 'Gambit', '7', '$2.99', 'Marvel', '23,978']
['90', 'Winter Soldier', '13', '$2.99', 'Marvel', '23,951']
['91', 'Buffy the Vampire Slayer Season 9 Freefall', '16', '$2.99', 'Dark Horse', '23,896']
['92', 'Journey Into Mystery', '647', '$2.99', 'Marvel', '22,514']
['93', 'X-Factor', '248', '$2.99', 'Marvel', '21,664']
['94', 'Jsa Liberty Files The Whistling Skull', '1', '$2.99', 'DC', '21,370']
['95', 'X-Factor', '249', '$2.99', 'Marvel', '21,211']
['96', 'Phantom Stranger', '3*', '$2.99', 'DC', '21,040']
['97', 'Hellboy In Hell', '2', '$2.99', 'Dark Horse', '21,010']
['98', 'Red She-Hulk', '60', '$2.99', 'Marvel', '20,798']
['99', 'Green Arrow', '15', '$2.99', 'DC', '20,672']
['100', 'Dark Avengers', '184', '$2.99', 'Marvel', '20,584']
['101', 'Star Trek Tng Doctor Who Assimilation', '8', '$3.99', 'IDW', '20,553']
['102', 'Adventure Time Fionna & Cake', '1', '$3.99', 'Boom', '20,290']
['103', 'Captain Marvel', '8', '$2.99', 'Marvel', '19,970']
['104', 'Marvel Universe Vs Avengers', '3', '$3.99', 'Marvel', '19,355']
['105', 'Age of Apocalypse', '10', '$2.99', 'Marvel', '19,337']
['106', 'All Star Western', '15', '$3.99', 'DC', '19,190']
['107', 'Ultimate Comics Iron Man', '3', '$3.99', 'Marvel', '18,992']
['108', 'Smallville Season 11', '8', '$3.99', 'DC', '18,633']
['109', 'Mara', '1*', '$2.99', 'Image', '18,164']
['110', 'Batman Beyond Unlimited', '11', '$3.99', 'DC', '18,089']
['111', 'Fatale', '11', '$3.50', 'Image', '18,055']
['112', 'Batman Arkham Unhinged', '9', '$2.99', 'DC', '17,220']
['113', 'Manhattan Projects', '8', '$3.50', 'Image', '17,028']
['114', 'Masks', '2', '$3.99', 'Dynamic Forces', '16,923']
['115', 'Fairest', '10', '$2.99', 'DC', '16,919']
['116', 'Shadowman', '2', '$3.99', 'Valiant', '16,917']
['117', 'Legion of Super Heroes', '15', '$2.99', 'DC', '16,912']
['118', 'He Man And The Masters of the Universe', '5', '$2.99', 'DC', '16,858']
['119', 'Teenage Mutant Ninja Turtles', '17', '$3.99', 'IDW', '16,703']
['120', 'X-Treme X-Men', '7.1', '$2.99', 'Marvel', '16,682']
['121', 'Adventure Time Marceline Scream Queens', '6', '$3.99', 'Boom', '16,624']
['122', 'X-Treme X-Men', '8', '$2.99', 'Marvel', '16,536']
['123', 'Captain America And Black Widow', '640', '$2.99', 'Marvel', '16,530']
['124', 'Buffy The Vampire Slayer Willow Wonderland', '2', '$2.99', 'Dark Horse', '16,401']
['125', 'Image Firsts Walking Dead', '1', '$1.00', 'Image', '16,253']
['126', 'Dial H', '7', '$2.99', 'DC', '16,217']
['127', 'Ravagers', '7', '$2.99', 'DC', '16,177']
['128', 'Invincible', '98', '$2.99', 'Image', '16,139']
['129', 'Fables', '124', '$2.99', 'DC', '16,018']
['130', 'Arrow', '2', '$3.99', 'DC', '15,780']
['131', 'Frankenstein Agent of Shade', '15', '$2.99', 'DC', '15,705']
['132', 'Thief of Thieves', '11', '$2.99', 'Image', '15,605']
['133', 'Buffy The Vampire Slayer Willow Wonderland', '3', '$2.99', 'Dark Horse', '15,584']
['134', 'Invincible', '99', '$2.99', 'Image', '15,566']
['135', 'Star Wars Purge Tyrants Fist', '1', '$3.50', 'Dark Horse', '15,546']
['136', 'Stormwatch', '15', '$2.99', 'DC', '15,437']
['137', 'Team 7', '3*', '$2.99', 'DC', '15,381']
['138', 'Demon Knights', '15', '$2.99', 'DC', '15,152']
['139', 'Angel & Faith', '17', '$2.99', 'Dark Horse', '15,026']
['140', 'Vampirella Strikes', '1', '$3.99', 'Dynamic Forces', '14,862']
['141', 'Batwing', '15', '$2.99', 'DC', '14,674']
['142', 'Star Wars Dawn of the Jedi Prisoner of Bogan', '2', '$2.99', 'Dark Horse', '14,588']
['143', 'Archer & Armstrong', '5', '$3.99', 'Valiant', '14,544']
['144', 'X-O Manowar', '8', '$3.99', 'Valiant', '14,462']
['145', 'Fury Max', '7', '$3.99', 'Marvel', '14,345']
['146', 'Legion Lost', '15', '$2.99', 'DC', '14,005']
['147', 'Judge Dredd', '2', '$3.99', 'IDW', '13,995']
['148', 'Sword of Sorcery', '3*', '$3.99', 'DC', '13,752']
['149', 'Savage Hawkman', '15', '$2.99', 'DC', '13,564']
['150', 'Deathstroke', '15', '$2.99', 'DC', '13,528']
['151', 'Conan The Barbarian', '11', '$3.50', 'Dark Horse', '13,436']
['152', 'Star Wars Purge Tyrants Fist', '2', '$3.50', 'Dark Horse', '13,429']
['153', 'American Vampire', '34', '$2.99', 'DC', '13,416']
['154', 'Ame Comi Girls', '3', '$3.99', 'DC', '13,185']
['155', 'I Vampire', '15', '$2.99', 'DC', '12,846']
['156', 'Harbinger', '7', '$3.99', 'Valiant', '12,783']
['157', 'DC Universe Presents', '15', '$2.99', 'DC', '12,561']
['158', 'Bloodshot', '6', '$3.99', 'Valiant', '12,508']
['159', 'Legend of Luther Strode', '1', '$3.50', 'Image', '12,433']
['160', 'Fury of Firestorm The Nuclear Men', '15', '$2.99', 'DC', '11,997']
['161', 'Django Unchained', '1', '$3.99', 'DC', '11,795']
['162', 'Punk Rock Jesus', '6', '$2.99', 'DC', '11,746']
['163', 'Blue Beetle', '15', '$2.99', 'DC', '11,744']
['164', 'Great Pacific', '2', '$2.99', 'Image', '11,740']
['165', 'Star Wars Lost Tribe of the Sith', '5', '$2.99', 'Dark Horse', '11,567']
['166', 'Masks', '1', '$3.99', 'Dynamic Forces', '11,560']
['167', 'Magic The Gathering Path of Vengeance', '1', '$4.99', 'IDW', '11,412']
['168', 'Star Wars Agent of the Empire Hard Targets', '3', '$2.99', 'Dark Horse', '11,391']
['169', 'Americas Got Powers', '4', '$2.99', 'Image', '11,291']
['170', 'Doctor Who Vol. 3', '3', '$3.99', 'IDW', '11,277']
['171', 'Human Bomb', '1', '$2.99', 'DC', '11,212']
['172', 'Clone', '2*', '$2.99', 'Image', '11,144']
['173', 'Grifter', '15', '$2.99', 'DC', '10,923']
['174', 'Massive', '7', '$3.50', 'Dark Horse', '10,854']
['175', 'Image Firsts Saga', '1', '$1.00', 'Image', '10,536']
['176', 'Danger Girl G.I. Joe', '5', '$3.99', 'IDW', '10,454']
['177', 'BPRD 1948', '3', '$3.50', 'Dark Horse', '10,452']
['178', 'Locke & Key Omega', '2', '$3.99', 'IDW', '10,244']
['179', 'Bravest Warriors', '3', '$3.99', 'Boom', '10,229']
['180', 'BPRD Hell On Earth', '102', '$3.50', 'Dark Horse', '10,169']
['181', 'Transformers Robots In Disguise', '12', '$3.99', 'IDW', '10,161']
