['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Justice League', '2', '$3.99', 'DC', '180,709']
['2', 'Batman', '2', '$2.99', 'DC', '172,428']
['3', 'Action Comics', '2', '$3.99', 'DC', '153,855']
['4', 'Green Lantern', '2', '$2.99', 'DC', '142,344']
['5', 'Flash', '2', '$2.99', 'DC', '114,137']
['6', 'Detective Comics', '2*', '$2.99', 'DC', '110,789']
['7', 'Incredible Hulk', '1', '$3.99', 'Marvel', '106,472']
['8', 'Wolverine And X-Men', '1', '$3.99', 'Marvel', '95,855']
['9', 'Fear Itself', '7', '$4.99', 'Marvel', '95,599']
['10', 'Superman', '2*', '$2.99', 'DC', '94,233']
['11', 'Batman The Dark Knight', '2*', '$2.99', 'DC', '90,445']
['12', 'Batman And Robin', '2*', '$2.99', 'DC', '88,926']
['13', 'Wonder Woman', '2', '$2.99', 'DC', '79,060']
['14', 'Batgirl', '2*', '$2.99', 'DC', '75,227']
['15', 'Batwoman', '2', '$2.99', 'DC', '74,392']
['16', 'Teen Titans', '2*', '$2.99', 'DC', '72,107']
['17', 'Green Lantern New Guardians', '2', '$2.99', 'DC', '71,713']
['18', 'Aquaman', '2*', '$2.99', 'DC', '71,240']
['19', 'Green Lantern Corps', '2*', '$2.99', 'DC', '70,651']
['20', 'Red Lanterns', '2*', '$2.99', 'DC', '66,747']
['21', 'Nightwing', '2*', '$2.99', 'DC', '65,749']
['22', 'Uncanny X-Men', '544', '$3.99', 'Marvel', '60,212']
['23', 'Justice League International', '2*', '$2.99', 'DC', '59,490']
['24', 'Fear Itself Fearless', '1', '$2.99', 'Marvel', '59,464']
['25', 'Amazing Spider-Man', '671', '$3.99', 'Marvel', '59,426']
['26', 'Avengers', '18', '$3.99', 'Marvel', '58,897']
['27', 'Swamp Thing', '2', '$2.99', 'DC', '58,634']
['28', 'Amazing Spider-Man', '672', '$3.99', 'Marvel', '57,860']
['29', 'Catwoman', '2*', '$2.99', 'DC', '57,216']
['30', 'Justice League Dark', '2*', '$2.99', 'DC', '57,053']
['31', 'X-Men Regenesis', '1', '$3.99', 'Marvel', '55,787']
['32', 'New Avengers', '17', '$3.99', 'Marvel', '55,732']
['33', 'Supergirl', '2*', '$2.99', 'DC', '55,249']
['34', 'X-Men Schism', '5', '$3.99', 'Marvel', '55,081']
['35', 'Red Hood And The Outlaws', '2*', '$2.99', 'DC', '53,444']
['36', 'Green Arrow', '2*', '$2.99', 'DC', '52,837']
['37', 'Ultimate Comics Spider-Man', '3', '$3.99', 'Marvel', '52,521']
['38', 'Uncanny X-Force', '16', '$3.99', 'Marvel', '52,398']
['39', 'Superboy', '2*', '$2.99', 'DC', '51,682']
['40', 'FF', '10', '$2.99', 'Marvel', '49,642']
['41', 'FF', '11', '$2.99', 'Marvel', '48,433']
['42', 'Animal Man', '2*', '$2.99', 'DC', '48,089']
['43', 'Birds of Prey', '2*', '$2.99', 'DC', '47,840']
['44', 'Stormwatch', '2', '$2.99', 'DC', '47,520']
['45', 'Suicide Squad', '2*', '$2.99', 'DC', '44,613']
['46', 'Ultimate Comics X-Men', '2', '$3.99', 'Marvel', '44,399']
['47', 'Mighty Thor', '7', '$3.99', 'Marvel', '44,017']
['48', 'Secret Avengers', '18', '$3.99', 'Marvel', '43,280']
['49', 'Savage Hawkman', '2*', '$2.99', 'DC', '42,987']
['50', 'Legion of Super Heroes', '2*', '$2.99', 'DC', '42,504']
['51', 'X-Men', '19', '$3.99', 'Marvel', '40,906']
['52', 'Ultimate Comics Ultimates', '3', '$3.99', 'Marvel', '40,792']
['53', 'Deathstroke', '2*', '$2.99', 'DC', '40,182']
['54', 'Fury of Firestorm The Nuclear Men', '2*', '$2.99', 'DC', '39,591']
['55', 'Daredevil', '5', '$2.99', 'Marvel', '39,413']
['56', 'Wolverine', '17', '$3.99', 'Marvel', '39,405']
['57', 'Invincible Iron Man', '509', '$3.99', 'Marvel', '38,721']
['58', 'Batwing', '2*', '$2.99', 'DC', '38,475']
['59', 'Legion Lost', '2*', '$2.99', 'DC', '38,385']
['60', 'Legion Secret Origin', '1', '$2.99', 'DC', '38,248']
['61', 'X-Men Legacy', '257', '$2.99', 'Marvel', '38,070']
['62', 'Demon Knights', '2*', '$2.99', 'DC', '38,007']
['63', 'DC Universe Presents', '2*', '$2.99', 'DC', '37,426']
['64', 'Buffy the Vampire Slayer Season 9\nFreefall', '2', '$2.99', 'Dark Horse', '36,448']
['65', 'Frankenstein Agent of Shade', '2*', '$2.99', 'DC', '36,381']
['66', 'Huntress', '1', '$2.99', 'DC', '36,099']
['67', 'Grifter', '2*', '$2.99', 'DC', '35,910']
['68', 'All Star Western', '2*', '$3.99', 'DC', '35,871']
['69', 'Blue Beetle', '2*', '$2.99', 'DC', '35,456']
['70', 'Resurrection Man', '2*', '$2.99', 'DC', '34,704']
['71', 'Captain Atom', '2*', '$2.99', 'DC', '34,478']
['72', 'Astonishing X-Men', '43', '$3.99', 'Marvel', '32,620']
['73', 'Hawk And Dove', '2*', '$2.99', 'DC', '32,461']
['74', 'Avengers 1959', '1', '$2.99', 'Marvel', '32,418']
['75', 'Mister Terrific', '2*', '$2.99', 'DC', '32,367']
['76', 'Venom', '8', '$2.99', 'Marvel', '32,266']
['77', 'Captain America And Bucky', '623', '$2.99', 'Marvel', '32,041']
['78', 'Walking Dead', '90', '$2.99', 'Image', '31,778']
['79', 'Walking Dead', '89', '$2.99', 'Image', '31,351']
['80', 'Voodoo', '2', '$2.99', 'DC', '31,221']
['81', 'I Vampire', '2*', '$2.99', 'DC', '31,139']
['82', 'Shade', '1', '$2.99', 'DC', '30,648']
['83', 'Batman Odyssey Vol. 2', '1', '$3.99', 'DC', '30,410']
['84', 'Omac', '2*', '$2.99', 'DC', '29,434']
['85', 'Static Shock', '2*', '$2.99', 'DC', '29,124']
['86', 'Blackhawks', '2*', '$2.99', 'DC', '28,534']
['87', 'Men of War', '2*', '$3.99', 'DC', '28,301']
['88', 'Aquaman', '1', '$2.99', 'DC', '28,243']
['89', 'Journey Into Mystery', '629', '$2.99', 'Marvel', '28,054']
['90', 'Journey Into Mystery', '630', '$2.99', 'Marvel', '27,701']
['91', 'Deadpool', '45', '$2.99', 'Marvel', '27,552']
['92', 'Moon Knight', '6', '$3.99', 'Marvel', '27,493']
['93', 'Green Lantern', '1', '$2.99', 'DC', '27,477']
['94', 'Hulk', '42', '$2.99', 'Marvel', '27,025']
['95', 'Deadpool', '44', '$2.99', 'Marvel', '26,878']
['96', 'Penguin Pain And Prejudice', '1', '$2.99', 'DC', '26,380']
['97', 'Superior', '5', '$2.99', 'Marvel', '26,361']
['98', 'Detective Comics', '1', '$2.99', 'DC', '26,235']
['99', 'Punisher', '4', '$2.99', 'Marvel', '25,847']
['100', 'Superior', '6', '$2.99', 'Marvel', '25,707']
['101', 'Hulk', '43', '$2.99', 'Marvel', '25,514']
['102', 'New Mutants', '32', '$2.99', 'Marvel', '25,364']
['103', 'Ultimate Comics Hawkeye', '3', '$3.99', 'Marvel', '24,762']
['104', 'X-23', '15', '$2.99', 'Marvel', '24,043']
['105', 'Thunderbolts', '164', '$2.99', 'Marvel', '23,712']
['106', 'X-Factor', '226', '$2.99', 'Marvel', '23,569']
['107', 'Avengers Academy', '20', '$2.99', 'Marvel', '23,412']
['108', 'Batman', '1', '$2.99', 'DC', '23,100']
['109', 'Teenage Mutant Ninja Turtles Ongoing', '3', '$3.99', 'IDW', '22,855']
['110', 'Spaceman', '1', '$1.00', 'DC', '22,355']
['111', 'Batman And Robin', '1', '$2.99', 'DC', '21,340']
['112', 'Shield', '3', '$2.99', 'Marvel', '21,060']
['113', 'Ghost Rider', '4', '$2.99', 'Marvel', '21,012']
['114', 'Star Trek Legion of Superheroes', '1', '$3.99', 'IDW', '20,950']
['115', 'Alpha Flight', '5', '$2.99', 'Marvel', '20,731']
['116', 'Daken Dark Wolverine', '15', '$2.99', 'Marvel', '19,759']
['117', 'Wonder Woman', '1', '$2.99', 'DC', '19,688']
['118', 'Daken Dark Wolverine', '16', '$2.99', 'Marvel', '19,472']
['119', 'Angel & Faith', '3', '$2.99', 'Dark Horse', '19,437']
['120', 'Batman The Dark Knight', '1', '$2.99', 'DC', '19,368']
['121', 'Star Wars Crimson Empire III Empire\nLost', '1', '$3.50', 'Dark Horse', '19,095']
['122', 'Annihilators Earthfall', '2', '$3.99', 'Marvel', '19,068']
['123', 'Avengers 1959', '2', '$2.99', 'Marvel', '18,989']
['124', 'Orchid', '1 Carmevale Cvr', '$1.00', 'Dark Horse', '18,942']
['125', 'Superman', '1', '$2.99', 'DC', '18,599']
['126', 'Flash', '1', '$2.99', 'DC', '18,558']
['127', 'Avengers Solo', '1', '$3.99', 'Marvel', '18,427']
['128', 'Generation Hope', '12', '$2.99', 'Marvel', '18,424']
['129', 'Black Panther Most Dangerous Man\nAlive', '524', '$2.99', 'Marvel', '18,248']
['130', 'Action Comics', '1', '$3.99', 'DC', '18,199']
['131', 'Fables', '110', '$2.99', 'DC', '18,109']
['132', 'Nightwing', '1', '$2.99', 'DC', '17,875']
['133', 'Punishermax', '18', '$3.99', 'Marvel', '17,541']
['134', 'Boys', '59', '$3.99', 'Dynamic Forces', '17,533']
['135', 'Fear Itself Home Front', '7', '$3.99', 'Marvel', '17,339']
['136', 'My Greatest Adventure', '1', '$3.99', 'DC', '17,222']
['137', 'Legion of Monsters', '1', '$3.99', 'Marvel', '16,785']
['138', 'Fear Itself Hulk Vs Dracula', '3', '$2.99', 'Marvel', '16,740']
['139', 'Batgirl', '1', '$2.99', 'DC', '16,512']
['140', 'Game of Thrones', '2', '$3.99', 'Dynamic Forces', '16,094']
['141', 'Catwoman', '1', '$2.99', 'DC', '15,933']
['142', 'Deadpool Max 2', '1', '$3.99', 'Marvel', '15,865']
['143', 'Justice League', '2 Combo Pack', '$4.99', 'DC', '15,860']
['144', 'Batwoman', '1', '$2.99', 'DC', '15,724']
['145', 'Dark Tower Gunslinger Battle of Tull', '5', '$3.99', 'Marvel', '15,613']
['146', 'Justice League', '1', '$3.99', 'DC', '15,593']
['147', 'John Carter of Mars World of Mars', '1', '$3.99', 'Marvel', '15,550']
['148', 'DC Universe Online Legends', '15', '$2.99', 'DC', '15,460']
['149', 'Teen Titans', '1', '$2.99', 'DC', '15,381']
['150', 'Invincible', '83', '$2.99', 'Image', '15,249']
['151', 'DC Universe Online Legends', '16', '$2.99', 'DC', '15,238']
['152', 'Red Lanterns', '1', '$2.99', 'DC', '15,230']
['153', 'Spider-Island Heroes For Hire', '1', '$2.99', 'Marvel', '15,079']
['154', 'Spider-Island Cloak And Dagger', '3', '$2.99', 'Marvel', '14,929']
['155', 'Animal Man', '1', '$2.99', 'DC', '14,502']
['156', 'Fear Itself Youth In Revolt', '6', '$2.99', 'Marvel', '14,493']
['157', 'Boys Butcher Baker Candlestickmaker', '4', '$3.99', 'Dynamic Forces', '14,303']
['158', 'Spider-Island Amazing Spider-Girl', '3', '$2.99', 'Marvel', '14,248']
['159', 'American Vampire Survival of the\nFittest', '5', '$2.99', 'DC', '14,186']
['160', 'Supergirl', '1', '$2.99', 'DC', '14,160']
['161', 'Red Hood And The Outlaws', '1', '$2.99', 'DC', '14,132']
['162', 'Kirby Genesis', '4', '$3.99', 'Dynamic Forces', '14,030']
['163', 'Swamp Thing', '1', '$2.99', 'DC', '13,985']
['164', 'Red Skull', '4', '$2.99', 'Marvel', '13,919']
['165', 'Superboy', '1', '$2.99', 'DC', '13,675']
['166', 'Star Wars Old Republic', '5', '$3.50', 'Dark Horse', '13,580']
['167', 'Spawn', '212', '$2.99', 'Image', '13,483']
['168', 'Stand Night Has Come', '3', '$3.99', 'Marvel', '13,423']
['169', 'Star Wars Invasion Revelations', '4', '$3.50', 'Dark Horse', '13,313']
['170', 'Star Trek Ongoing', '2', '$3.99', 'IDW', '13,198']
['171', 'Herc', '9', '$2.99', 'Marvel', '13,190']
['172', 'Spider-Island Deadly Hands of Kung\nFu', '3', '$2.99', 'Marvel', '12,920']
['173', 'Green Lantern New Guardians', '1', '$2.99', 'DC', '12,563']
['174', 'Warlord of Mars', '11', '$3.99', 'Dynamic Forces', '12,491']
['175', 'Garth Ennis Jennifer Blood', '5', '$3.99', 'Dynamic Forces', '12,337']
['176', 'Chew', '21', '$2.99', 'Image', '12,310']
['177', 'Warlord of Mars Dejah Thoris', '7', '$3.99', 'Dynamic Forces', '12,296']
['178', 'Justice League Dark', '1', '$2.99', 'DC', '12,115']
['179', 'Vengeance', '4', '$3.99', 'Marvel', '11,948']
['180', 'Star Wars Knight Errant Deluge', '3', '$3.50', 'Dark Horse', '11,937']
['181', 'Suicide Squad', '1', '$2.99', 'DC', '11,836']
['182', 'Green Lantern Corps', '1', '$2.99', 'DC', '11,723']
['183', 'Red Wing', '4', '$3.50', 'Image', '11,638']
['184', 'Vampirella', '10', '$3.99', 'Dynamic Forces', '11,581']
['185', 'X-Men', '1 20th Ann. Ed.', '$3.99', 'Marvel', '11,552']
['186', 'Conan Road of Kings', '9', '$3.50', 'Dark Horse', '11,546']
['187', 'All Star Western', '1', '$3.99', 'DC', '11,311']
['188', 'Kevin Smith Bionic Man', '3', '$3.99', 'Dynamic Forces', '11,229']
['189', 'BPRD Hell On Earth Russia', '2', '$3.50', 'Dark Horse', '11,093']
['190', 'Justice League International', '1', '$2.99', 'DC', '11,003']
['191', 'Stitched', '1', '$3.99', 'Avatar', '10,949']
['192', 'Stormwatch', '1', '$2.99', 'DC', '10,890']
['193', 'Dollhouse Epitaphs', '4', '$3.50', 'Dark Horse', '10,888']
['194', 'Demon Knights', '1', '$2.99', 'DC', '10,727']
['195', 'Green Arrow', '1', '$2.99', 'DC', '10,679']
['196', 'Vampirella', '11', '$3.99', 'Dynamic Forces', '10,644']
['197', 'Godzilla Kingdom of Monsters', '8', '$3.99', 'IDW', '10,637']
['198', 'Fury of Firestorm The Nuclear Men', '1', '$2.99', 'DC', '10,539']
['199', 'Unwritten', '30', '$2.99', 'DC', '10,481']
['200', 'Transformers Ongoing', '28', '$3.99', 'IDW', '10,469']
['201', 'Unexpected', '1', '$7.99', 'DC', '10,416']
['202', 'Birds of Prey', '1', '$2.99', 'DC', '10,350']
['203', 'Transformers Ongoing', '27', '$3.99', 'IDW', '10,242']
['204', 'G.I. Joe Vol. 2 Ongoing', '6', '$3.99', 'IDW', '10,241']
['205', 'Morning Glories', '13', '$2.99', 'Image', '10,094']
['206', 'Abe Sapien Devil Does Not Jest', '2', '$3.50', 'Dark Horse', '10,056']
['207', 'Captain America Corps', '5', '$2.99', 'Marvel', '9,981']
['208', 'Deathstroke', '1', '$2.99', 'DC', '9,792']
['209', 'Sonic The Hedgehog', '229', '$2.99', 'Archie', '9,768']
['210', 'Grifter', '1', '$2.99', 'DC', '9,737']
['211', 'Hellraiser', '6', '$3.99', 'Boom', '9,715']
['212', 'G.I. Joe A Real American Hero', '171', '$3.99', 'IDW', '9,686']
['213', 'Hellblazer', '284', '$2.99', 'DC', '9,608']
['214', 'Ghostbusters Ongoing', '2', '$3.99', 'IDW', '9,514']
['215', 'Infinite', '3', '$2.99', 'Image', '9,322']
['216', 'Frankenstein Agent of Shade', '1', '$2.99', 'DC', '9,266']
['217', 'Severed', '3', '$2.99', 'Image', '9,240']
['218', 'Izombie', '18', '$2.99', 'DC', '9,237']
['219', 'Snake Eyes Ongoing', '6', '$3.99', 'IDW', '9,073']
['220', 'Warlord of Mars Fall of Barsoom', '3', '$3.99', 'Dynamic Forces', '8,962']
['221', 'Cobra Ongoing', '6', '$3.99', 'IDW', '8,927']
['222', 'Supernatural', '1', '$2.99', 'DC', '8,896']
['223', 'Godzilla Gangsters &\nGoliaths', '5', '$3.99', 'IDW', '8,725']
['224', 'Baltimore Curse Bells', '3', '$3.50', 'Dark Horse', '8,716']
['225', 'Ultimate Comics Fallout', '4', '$3.99', 'Marvel', '8,679']
['226', 'Mass Effect Invasion', '1', '$3.50', 'Dark Horse', '8,607']
['227', 'Dorothy And Wizard In Oz', '2', '$3.99', 'Marvel', '8,504']
['228', 'Resurrection Man', '1', '$2.99', 'DC', '8,490']
['229', 'Irredeemable', '30', '$3.99', 'Boom', '8,419']
['230', 'Strange Talent of Luther Strode', '1', '$2.99', 'Image', '8,338']
['231', '30 Days of Night Ongoing', '1', '$3.99', 'IDW', '8,326']
['232', 'Joe Hill The Cape', '2', '$3.99', 'IDW', '8,300']
['233', 'Dungeons And Dragons', '12', '$3.99', 'IDW', '8,274']
['234', 'Ultimate Comics Spider-Man', '1', '$3.99', 'Marvel', '8,246']
['235', 'Legion Lost', '1', '$2.99', 'DC', '8,226']
['236', 'Savage Hawkman', '1', '$2.99', 'DC', '8,005']
['237', 'Lady Death', '10', '$3.99', 'Avatar', '7,997']
['238', 'Sweet Tooth', '26', '$2.99', 'DC', '7,963']
['239', 'Cold War', '1', '$3.99', 'IDW', '7,934']
['240', 'Legion of Super Heroes', '1', '$2.99', 'DC', '7,923']
['241', 'Spongebob Comics', '5', '$2.99', 'United Plankton', '7,874']
['242', 'Blue Beetle', '1', '$2.99', 'DC', '7,840']
['243', 'Tiny Titans', '45', '$2.99', 'DC', '7,836']
['244', 'Batwing', '1', '$2.99', 'DC', '7,741']
['245', 'Young Justice', '9', '$2.99', 'DC', '7,737']
['246', 'Vampirella Scarlet Legion', '5', '$3.99', 'Dynamic Forces', '7,640']
['247', 'Dark Horse Presents', '5', '$7.99', 'Dark Horse', '7,539']
['248', 'Justice League', '1 Combo Pack', '$4.99', 'DC', '7,537']
['249', 'GFT Dream Eater Crossover Conclusion', '\n', '$5.99', 'Zenescope', '7,517']
['250', 'All Winners Squad Band of Heroes', '5', '$2.99', 'Marvel', '7,497']
['251', 'Doctor Who Ongoing Vol. 2', '10', '$3.99', 'IDW', '7,481']
['252', 'Mega Man', '6', '$2.99', 'Archie', '7,474']
['253', 'DC Universe Presents', '1', '$2.99', 'DC', '7,402']
['254', 'Super Dinosaur', '5', '$2.99', 'Image', '7,380']
['255', 'Last of The Greats', '1', '$3.99', 'Image', '7,338']
['256', 'Guarding The Globe', '6', '$3.50', 'Image', '7,321']
['257', 'I Vampire', '1', '$2.99', 'DC', '7,310']
['258', 'Sonic Universe', '33', '$2.99', 'Archie', '7,244']
['259', 'Captain Atom', '1', '$2.99', 'DC', '7,204']
['260', 'Halo Fall of Reach Covenant', '4', '$3.99', 'Marvel', '7,142']
['261', 'GFT Myths & Legends', '8', '$2.99', 'Zenescope', '6,983']
['262', 'Northlanders', '45', '$2.99', 'DC', '6,973']
['263', 'Mister Terrific', '1', '$2.99', 'DC', '6,902']
['264', 'Simpsons Comics', '183', '$2.99', 'Bongo', '6,893']
['265', 'Planet of The Apes', '7', '$3.99', 'Boom', '6,889']
['266', 'CBLDF Liberty Annual 2011', '4', '$4.99', 'Image', '6,846']
['267', 'Voodoo', '1', '$2.99', 'DC', '6,811']
['268', 'Queen Sonja', '21', '$3.99', 'Dynamic Forces', '6,809']
['269', 'All New Batman The Brave And The\nBold', '12', '$2.99', 'DC', '6,771']
['270', 'John Carter A Princess of Mars', '2', '$2.99', 'Marvel', '6,742']
['271', 'House of Mystery', '42', '$2.99', 'DC', '6,570']
['272', 'Queen Sonja', '22', '$3.99', 'Dynamic Forces', '6,501']
['273', 'Casanova Avaritia', '2', '$4.99', 'Marvel', '6,483']
['274', 'Sergio Aragones Funnies', '4', '$3.50', 'Bongo', '6,482']
['275', 'Mystic', '3', '$2.99', 'Marvel', '6,471']
['276', 'Incorruptible', '23', '$3.99', 'Boom', '6,466']
['277', 'GFT Halloween Special 2011', '\n', '$5.99', 'Zenescope', '6,428']
['278', 'Blackhawks', '1', '$2.99', 'DC', '6,421']
['279', 'Captain Swing', '4', '$3.99', 'Avatar', '6,281']
['280', 'Turok Son of Stone', '4', '$3.50', 'Dark Horse', '6,257']
['281', 'Kull The Cat & The Skull', '1', '$3.50', 'Dark Horse', '6,249']
