['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['*', 'Fantastic Four', '60', '$0.09', 'Marvel', '752,699']
['', '', '', '', '', '']
['1', 'Transformers Generation One', '5', '$2.95', 'Dreamwave', '131,119']
['2', 'Ultimates', '8', '$2.25', 'Marvel', '120,168']
['3', 'Transformers Armada', '2', '$2.95', 'Dreamwave', '116,925']
['4', 'Thundercats Reclaiming Thundera', '1', '$2.95', 'DC', '108,405']
['5', 'Amazing Spider-Man', '44', '$2.25', 'Marvel', '106,824']
['6', 'Spider-Man/Black Cat Evil That Men\nDo', '3', '$2.99', 'Marvel', '105,800']
['7', 'New X-Men', '131', '$2.25', 'Marvel', '105,474']
['8', 'New X-Men', '130', '$2.25', 'Marvel', '105,464']
['9', 'Thundercats', '0', '$2.50', 'DC', '103,274']
['10', 'Ultimate Spider-Man', '25', '$2.25', 'Marvel', '102,887']
['11', 'Ultimate X-Men', '21', '$2.25', 'Marvel', '99,507']
['12', 'Uncanny X-Men', '410', '$2.25', 'Marvel', '92,880']
['13', 'Uncanny X-Men', '411', '$2.25', 'Marvel', '92,739']
['14', 'Battle of the Planets', '2', '$2.99', 'Image', '76,841']
['15', 'Spider-Man Blue', '4', '$3.50', 'Marvel', '75,038']
['16', 'Wolverine', '180', '$2.25', 'Marvel', '72,475']
['17', 'X-Treme X-Men', '17', '$2.99', 'Marvel', '69,345']
['18', 'Captain America', '5', '$2.99', 'Marvel', '69,062']
['19', 'G.I. Joe', '9', '$2.95', 'Image', '68,963']
['20', 'JLA', '69', '$2.25', 'DC', '66,801']
['21', 'Spider-Man Peter Parker', '47', '$2.25', 'Marvel', '66,352']
['22', 'Spider-Man Daredevil', '1', '$2.99', 'Marvel', '65,843']
['23', 'JLA', '70', '$2.25', 'DC', '65,710']
['24', 'Green Arrow', '16', '$2.50', 'DC', '63,992']
['25', 'Avengers', '57', '$2.25', 'Marvel', '59,706']
['26', 'Daredevil', '36', '$2.99', 'Marvel', '53,598']
['27', 'Incredible Hulk', '44', '$2.25', 'Marvel', '52,503']
['28', 'League Of Extraordinary Gentlemen\nVol. II', '2', '$3.50', 'DC', '50,389']
['29', 'Punisher', '15', '$2.99', 'Marvel', '47,505']
['30', 'Batman', '606', '$2.25', 'DC', '47,202']
['31', 'Fantastic Four', '59', '$2.25', 'Marvel', '46,306']
['32', 'Call Of Duty Wagon', '1', '$2.25', 'Marvel', '46,178']
