['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Uncanny X-Men', '347', '$1.99', 'Marvel', '165,832']
['2', 'X-Men', '67', '$1.99', 'Marvel', '162,451']
['3', 'Fantastic Four', '11', '$1.99', 'Marvel', '136,545']
['4', 'Spawn', '64', '$1.95', 'Image', '134,162']
['5', 'Wolverine', '116', '$1.99', 'Marvel', '132,564']
['6', 'Gen13/Generation X', '1', '$2.95', 'Image', '114,278']
['7', 'Iron Man', '11', '$1.99', 'Marvel', '113,263']
['8', 'Avengers', '11', '$1.99', 'Marvel', '110,084']
['9', 'JLA', '10', '$1.95', 'DC', '104,947']
['10', 'JLA', '9', '$1.95', 'DC', '104,403']
['11', 'Captain America', '11', '$1.99', 'Marvel', '101,897']
['12', 'Generation X', '30', '$1.99', 'Marvel', '101,818']
['13', 'Curse of the Spawn', '11', '$1.95', 'Image', '94,187']
['14', 'X-Man', '30', '$1.99', 'Marvel', '92,936']
['15', 'Darkness', '7', '$2.50', 'Image', '92,196']
['16', 'Witchblade', '16', '$2.50', 'Image', '89,303']
['17', 'Gen13', '21', '$2.50', 'Image', '88,052']
['18', 'X-Force', '69', '$1.99', 'Marvel', '87,912']
['19', 'Cable', '46', '$1.99', 'Marvel', '87,138']
['20', 'X-Factor', '137', '$1.99', 'Marvel', '86,393']
['21', 'X-Men Unlimited', '16', '$2.99', 'Marvel', '86,034']
['22', 'Gambit', '1', '$2.50', 'Marvel', '83,707']
['23', 'Incredible Hulk', '456', '$1.99', 'Marvel', '77,527']
['24', 'Alpha Flight', '2', '$1.99', 'Marvel', '72,924']
['25', 'JLA/WildC.A.T.S', '', '$5.95', 'DC', '72,840']
['26', 'Amazing Spider-Man', '426', '$1.99', 'Marvel', '71,808']
['27', 'Kiss: The Psycho Circus', '1', '$1.95', 'Image', '70,950']
['28', 'Excalibur', '112', '$1.99', 'Marvel', '70,406']
['29', 'Superman', '127', '$1.95', 'DC', '67,630']
['30', 'Adventures of Superman', '550', '$3.50', 'DC', '66,638']
['31', 'Action Comics', '737', '$1.95', 'DC', '66,144']
['32', 'Superman: The Man of Steel', '71', '$1.95', 'DC', '65,040']
['33', 'Spider-Man', '83', '$1.99', 'Marvel', '64,804']
['34', 'Spectacular Spider-Man', '249', '$1.99', 'Marvel', '61,103']
['35', 'Psylocke & Angel: Crimson\nDawn', '2', '$2.50', 'Marvel', '59,730']
['36', 'Sensational Spider-Man', '19', '$1.99', 'Marvel', '58,608']
['37', 'JLA Secret Files', '1', '$4.95', 'DC', '57,021']
['38', 'Batman', '546', '$1.95', 'DC', '56,074']
['39', 'Superman: The Man of Tomorrow', '9', '$1.95', 'DC', '56,057']
['40', 'Maverick', '1', '$2.99', 'Marvel', '55,961']
['41', 'Deadpool', '8', '$1.99', 'Marvel', '55,788']
['42', 'Marvel Team-Up', '1', '$1.99', 'Marvel', '54,644']
['43', "Amazing Spider-Man '97", '', '$2.99', 'Marvel', '53,096']
['44', 'Detective Comics', '713', '$1.95', 'DC', '51,212']
['45', 'Batman: The Long Halloween', '10', '$2.95', 'DC', '50,147']
['46', 'Agent America', '1', '$2.50', 'Awesome', '49,205']
['47', 'Adventures of Superman Annual', '9', '$3.95', 'DC', '48,369']
['48', 'Gen13: Bootleg', '9', '$2.50', 'Image', '47,270']
['49', 'Thunderbolts', '6', '$1.99', 'Marvel', '46,872']
['50', 'Star Wars: Dark Force Rising', '3', '$2.95', 'Dark Horse', '46,793']
['51', 'Green Lantern', '90', '$1.75', 'DC', '46,412']
['52', 'Supergirl', '13', '$1.95', 'DC', '46,306']
['53', 'X-Files', '32', '$2.95', 'Topps', '45,902']
['54', "Daredevil/Deadpool '97", '', '$2.99', 'Marvel', '45,330']
['55', 'Preacher', '29', '$2.50', 'DC', '45,027']
['56', 'What If?', '100', '$2.99', 'Marvel', '44,949']
['57', "Kurt Busiek's Astro City", '11', '$2.50', 'Image', '44,567']
['58', 'Ka-Zar', '5', '$1.99', 'Marvel', '42,594']
['59', 'Batman: Legends of the Dark Knight', '98', '$1.95', 'DC', '42,582']
['60', 'Nightwing', '12', '$1.95', 'DC', '41,438']
['61', 'Batman: Shadow of the Bat', '66', '$1.95', 'Image', '41,124']
['62', 'DV8', '10', '$2.50', 'Image', '39,745']
['63', 'Mage: The Hero Defined', '1', '$2.50', 'Image', '39,745']
['64', 'Superman/Madman Hullabaloo!', '2', '$2.95', 'Dark Horse', '39,610']
['65', 'Flash', '129', '$1.75', 'DC', '38,949']
['66', 'Catwoman', '49', '$1.95', 'DC', '38,618']
['67', 'Star Wars: Fall of the Sith Empire', '2', '$2.95', 'Dark Horse', '38,388']
['68', 'Wetworks/Vampirella', '1', '$2.95', 'Image', '38,388']
['69', 'The Kents', '2', '$2.50', 'DC', '38,321']
