['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Infinite Crisis', '3', '$3.99', 'DC', '188,855']
['2', 'All Star Batman & Robin', '3', '$2.99', 'DC', '162,994']
['3', 'New Avengers', '14', '$2.50', 'Marvel', '124,301']
['4', 'Justice', '3', '$3.50', 'DC', '113,370']
['5', 'Superman Batman', '23', '$2.99', 'DC', '102,249']
['6', 'Ultimate Wolverine Vs Hulk', '1', '$2.99', 'Marvel', '100,948']
['7', 'Ultimates 2', '9', '$2.99', 'Marvel', '94,494']
['8', 'Green Lantern', '6', '$2.99', 'DC', '88,437']
['9', 'Uncanny X-Men', '467', '$2.50', 'Marvel', '81,282']
['10', 'Amazing Spider-Man', '527', '$2.50', 'Marvel', '79,262']
['11', 'Secret War Book Five', '', '$3.99', 'Marvel', '79,091']
['12', 'X-Men', '179', '$2.50', 'Marvel', '77,190']
['13', 'JLA', '123', '$2.50', 'DC', '76,900']
['14', 'X-Men Deadly Genesis', '2', '$3.50', 'Marvel', '75,599']
['15', 'Ultimate Spider-Man', '87', '$2.50', 'Marvel', '74,538']
['16', 'X-Men', '180', '$2.50', 'Marvel', '74,386']
['17', 'Ultimate Spider-Man', '88', '$2.50', 'Marvel', '72,984']
['18', 'Friendly Neighborhood Spider-Man', '3', '$2.99', 'Marvel', '72,315']
['19', 'Wolverine', '37', '$2.50', 'Marvel', '70,717']
['20', 'Ultimate Fantastic Four', '26', '$2.50', 'Marvel', '68,324']
['21', 'Marvel Knights Spider-Man', '21', '$2.99', 'Marvel', '68,046']
['22', 'Teen Titans', '30', '$2.50', 'DC', '67,155']
['23', 'Green Lantern Corps Recharge', '3', '$2.99', 'DC', '64,490']
['24', 'Spider-Woman Origin', '1', '$2.99', 'Marvel', '63,954']
['25', 'Superman', '224', '$2.50', 'DC', '63,720']
['26', 'Ultimate Iron Man', '5', '$2.99', 'Marvel', '63,253']
['27', 'Batman', '648', '$2.50', 'DC', '63,152']
['28', 'Ultimate X-Men Fantastic Four\nSpecial', '', '$2.99', 'Marvel', '62,905']
['29', 'Son Of M', '1', '$2.99', 'Marvel', '62,255']
['30', 'Ghost Rider', '4', '$2.99', 'Marvel', '59,678']
['31', 'Spider-Man Black Cat Evil That Men\nDo', '4', '$2.99', 'Marvel', '57,089']
['32', 'X-Factor', '1', '$2.99', 'Marvel', '56,053']
['33', 'Spider-Man Black Cat Evil That Men\nDo', '5', '$2.99', 'Marvel', '53,849']
['34', 'Young Avengers Special', '1', '$3.99', 'Marvel', '51,020']
['35', 'JSA', '80', '$2.50', 'DC', '50,862']
['36', 'New Excalibur', '2', '$2.99', 'Marvel', '48,816']
['37', 'Wonder Woman', '224', '$2.50', 'DC', '47,225']
['38', 'Fantastic Four', '533', '$2.99', 'Marvel', '46,751']
['39', 'Outsiders', '31', '$2.50', 'DC', '46,555']
['40', 'JSA Classified', '6', '$2.50', 'DC', '45,318']
['41', 'X-Factor', '2', '$2.99', 'Marvel', '44,951']
['42', 'Captain America', '13', '$2.99', 'Marvel', '44,945']
['43', 'Generation M', '2', '$2.99', 'Marvel', '43,549']
['44', 'New X-Men', '21', '$2.99', 'Marvel', '43,474']
['45', 'Daredevil', '80', '$2.99', 'Marvel', '43,309']
['46', 'Action Comics', '834', '$2.50', 'DC', '42,425']
['47', 'Adventures of Superman', '647', '$2.50', 'DC', '42,236']
['48', 'JLA Classified', '15', '$2.99', 'DC', '41,952']
['49', 'Sentry', '4', '$2.99', 'Marvel', '41,901']
['50', 'Flash', '229', '$2.50', 'DC', '41,459']
['51', 'Detective Comics', '814', '$2.50', 'DC', '37,146']
['52', 'Incredible Hulk', '90', '$2.99', 'Marvel', '36,925']
['53', 'Nightwing', '115', '$2.50', 'DC', '35,674']
['54', 'New Avengers Most Wanted Files', '', '$3.99', 'Marvel', '35,542']
['55', 'Punisher', '28', '$2.99', 'Marvel', '35,535']
['56', 'Marvel Zombies', '1', '$2.99', 'Marvel', '35,497']
['57', 'Exiles', '74', '$2.99', 'Marvel', '33,881']
['58', 'Supreme Power Hyperion', '3', '$2.99', 'Marvel', '33,609']
['59', 'All Star Batman & Robin Sp\nEd', '1', '$3.99', 'DC', '32,611']
['60', 'Conan', '23', '$2.99', 'Dark Horse', '32,593']
['61', 'Supreme Power Nighthawk', '4', '$2.99', 'Marvel', '32,207']
['62', 'Green Arrow', '57', '$2.50', 'DC', '31,778']
['63', 'Seven Soldiers Mister Miracle', '2', '$2.99', 'DC', '31,506']
