['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Infinity', '1', '$4.99', 'Marvel', '205,819']
['2', 'Superman Unchained', '3', '$3.99', 'DC', '136,319']
['3', 'Batman', '23', '$3.99', 'DC', '128,230']
['4', 'Justice League', '23', '$3.99', 'DC', '103,936']
['5', 'Justice League of America', '7', '$3.99', 'DC', '93,777']
['6', 'Batman Superman', '3', '$3.99', 'DC', '87,337']
['7', 'Superior Spider-Man', '15', '$3.99', 'Marvel', '78,636']
['8', 'Superior Spider-Man', '16', '$3.99', 'Marvel', '78,087']
['9', 'Avengers', '18', '$3.99', 'Marvel', '74,697']
['10', 'All New X-Men', '15', '$3.99', 'Marvel', '73,035']
['11', 'Uncanny X-Men', '10', '$3.99', 'Marvel', '70,903']
['12', 'Walking Dead', '113', '$2.99', 'Image', '70,273']
['13', 'Avengers', '17', '$3.99', 'Marvel', '68,962']
['14', 'Uncanny X-Men', '11', '$3.99', 'Marvel', '65,700']
['15', 'Uncanny Avengers', '11', '$3.99', 'Marvel', '65,447']
['16', 'Justice League Dark', '23*', '$3.99', 'DC', '64,041']
['17', 'X-Men', '4', '$3.99', 'Marvel', '64,010']
['18', 'Detective Comics', '23', '$3.99', 'DC', '61,448']
['19', 'New Avengers', '9', '$3.99', 'Marvel', '60,534']
['20', 'Green Lantern', '23', '$2.99', 'DC', '59,176']
['21', 'Batman and Nightwing', '23', '$2.99', 'DC', '55,707']
['22', 'Saga', '13', '$2.99', 'Image', '55,372']
['23', 'Thanos Rising', '5', '$3.99', 'Marvel', '54,335']
['24', 'Kick-Ass 3', '2', '$2.99', 'Marvel', '50,102']
['25', 'Deadpool', '15', '$2.99', 'Marvel', '46,169']
['26', 'Deadpool', '14', '$2.99', 'Marvel', '45,870']
['27', 'Batman The Dark Knight', '23', '$2.99', 'DC', '45,584']
['28', 'Thor God of Thunder', '11', '$3.99', 'Marvel', '45,397']
['29', 'Hunger', '2', '$3.99', 'Marvel', '44,929']
['30', 'Thor God of Thunder', '12', '$3.99', 'Marvel', '44,865']
['31', 'Aquaman', '23', '$2.99', 'DC', '44,140']
['32', 'Indestructible Hulk', '12', '$3.99', 'Marvel', '43,673']
['33', 'Batman Incorporated Special', '1', '$4.99', 'DC', '42,807']
['34', 'Action Comics', '23', '$3.99', 'DC', '42,603']
['35', 'Superman', '23', '$2.99', 'DC', '42,155']
['36', 'Deadpool Kills Deadpool', '2', '$2.99', 'Marvel', '41,960']
['37', 'Superior Spider-Man Team Up', '2', '$3.99', 'Marvel', '41,155']
['38', 'Superior Carnage', '2', '$3.99', 'Marvel', '40,864']
['39', 'Earth 2', '15', '$2.99', 'DC', '40,845']
['40', 'Nightwing', '23', '$2.99', 'DC', '40,522']
['41', 'Wolverine', '8', '$3.99', 'Marvel', '39,830']
['42', 'Captain America', '10', '$3.99', 'Marvel', '39,356']
['43', 'Flash', '23', '$2.99', 'DC', '38,860']
['44', 'Star Wars', '8', '$2.99', 'Dark Horse', '38,792']
['45', 'Wolverine and X-Men', '34', '$3.99', 'Marvel', '38,473']
['46', 'Iron Man', '14', '$3.99', 'Marvel', '38,137']
['47', 'Wolverine and X-Men', '35', '$3.99', 'Marvel', '38,046']
['48', 'Batgirl', '23', '$2.99', 'DC', '37,707']
['49', 'Batman 66', '2', '$3.99', 'DC', '37,113']
['50', 'Avengers AI', '2', '$2.99', 'Marvel', '37,079']
['51', 'East of West', '5', '$3.50', 'Image', '36,345']
['52', 'Green Lantern Corps', '23', '$2.99', 'DC', '36,229']
['53', 'Uncanny X-Force', '10', '$3.99', 'Marvel', '35,329']
['54', 'Daredevil', '30', '$2.99', 'Marvel', '35,240']
['55', 'Wonder Woman', '23', '$2.99', 'DC', '34,747']
['56', 'Trinity of Sin Pandora', '3', '$2.99', 'DC', '34,563']
['57', 'Green Lantern New Guardians', '23', '$2.99', 'DC', '34,473']
['58', 'Superior Foes of Spider-Man', '2', '$2.99', 'Marvel', '34,300']
['59', 'Cable and X-Force', '12', '$3.99', 'Marvel', '33,127']
['60', 'Ultimate Comics Spider-Man', '26', '$3.99', 'Marvel', '32,932']
['61', 'Fantastic Four', '11', '$2.99', 'Marvel', '32,665']
['62', 'Cable and X-Force', '13', '$3.99', 'Marvel', '32,104']
['63', 'Nova', '7', '$3.99', 'Marvel', '31,937']
['64', 'Teen Titans', '23', '$2.99', 'DC', '31,742']
['65', 'Thunderbolts', '14', '$2.99', 'Marvel', '30,620']
['66', 'Avengers Assemble', '18', '$3.99', 'Marvel', '30,597']
['67', 'Red Lanterns', '23', '$2.99', 'DC', '29,623']
['68', 'Red Hood and The Outlaws', '23', '$2.99', 'DC', '28,821']
