['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Avengers ', '1', '$3.99', 'Marvel', '163,867']
['2', 'Siege ', '4', '$3.99', 'Marvel', '113,752']
['3', 'Batman Return of Bruce Wayne ', '1', '$3.99', 'DC', '108,534']
['4', 'Secret Avengers ', '1', '$3.99', 'Marvel', '106,750']
['5', 'Brightest Day ', '1', '$2.99', 'DC', '103,326']
['6', 'Batman Return of Bruce Wayne ', '2', '$3.99', 'DC', '93,606']
['7', 'Brightest Day ', '2', '$2.99', 'DC', '90,245']
['8', 'Green Lantern ', '54', '$2.99', 'DC', '88,292']
['9', 'Batman And Robin ', '12', '$2.99', 'DC', '84,843']
['10', 'Uncanny X-Men ', '524', '$2.99', 'Marvel', '77,056']
['11', 'New Avengers Finale ', '1', '$4.99', 'Marvel', '76,918']
['12', 'Flash ', '2', '$2.99', 'DC', '76,560']
['13', 'Dark Avengers ', '16', '$3.99', 'Marvel', '71,509']
['14', 'Green Lantern Corps ', '48', '$2.99', 'DC', '68,826']
['15', 'X-Men Legacy ', '236', '$2.99', 'Marvel', '64,850']
['16', 'X-Force ', '27', '$2.99', 'Marvel', '62,509']
['17', 'Justice League of America ', '45', '$3.99', 'DC', '62,465']
['18', 'Batman ', '699', '$2.99', 'DC', '62,377']
['19', 'Thor ', '610', '$2.99', 'Marvel', '61,779']
['20', 'Sentry Fallen Sun', '', '$3.99', 'Marvel', '60,883']
['21', 'Amazing Spider-Man ', '630', '$2.99', 'Marvel', '57,969']
['22', 'Amazing Spider-Man ', '631', '$2.99', 'Marvel', '57,239']
['23', 'Amazing Spider-Man ', '632', '$2.99', 'Marvel', '56,723']
['24', 'Astonishing Spider-Man Wolverine ', '1', '$3.99', 'Marvel', '56,518']
['25', 'Astonishing X-Men Xenogenesis ', '1', '$3.99', 'Marvel', '55,428']
['26', 'Invincible Iron Man ', '26', '$2.99', 'Marvel', '53,625']
['27', 'Ultimate Comics New Ultimates ', '2', '$3.99', 'Marvel', '53,323']
['28', 'Ultimate Comics Avengers 2 ', '2', '$3.99', 'Marvel', '52,939']
['29', 'Justice League Generation Lost ', '1', '$2.99', 'DC', '50,784']
['30', 'Birds of Prey ', '1', '$2.99', 'DC', '50,428']
['31', 'Hulk ', '22', '$3.99', 'Marvel', '49,618']
['32', 'New Mutants ', '13', '$2.99', 'Marvel', '49,583']
['33', 'Superman War of the Supermen ', '1', '$2.99', 'DC', '48,357']
['34', 'Incredible Hulk ', '609', '$3.99', 'Marvel', '46,670']
['35', 'Dark Wolverine ', '86', '$2.99', 'Marvel', '46,315']
['36', 'Buffy the Vampire Slayer ', '35 Twilight Pt 4', '$2.99', 'Dark Horse', '45,446']
['37', 'Superman War of the Supermen ', '2', '$2.99', 'DC', '44,828']
['38', 'Justice League Generation Lost ', '2', '$2.99', 'DC', '44,711']
['39', 'Legion of Super Heroes ', '1', '$3.99', 'DC', '44,415']
['40', 'Superman War of the Supermen ', '3', '$2.99', 'DC', '43,056']
['41', 'Deadpool ', '23', '$2.99', 'Marvel', '42,761']
['42', 'Superman War of the Supermen ', '4', '$2.99', 'DC', '42,436']
['43', 'X-Factor ', '205', '$2.99', 'Marvel', '41,745']
['44', 'Detective Comics ', '865', '$3.99', 'DC', '41,501']
['45', 'Amazing Spider-Man Annual ', '37', '$3.99', 'Marvel', '41,388']
['46', 'Siege Embedded ', '4', '$3.99', 'Marvel', '40,054']
['47', 'Ultimate Comics Spider-Man ', '10', '$3.99', 'Marvel', '39,690']
['48', 'Wolverine ', '900', '$4.99', 'Marvel', '38,990']
['49', 'Fantastic Four ', '579', '$2.99', 'Marvel', '38,415']
['50', 'Avengers Initiative ', '35', '$2.99', 'Marvel', '38,158']
['51', 'Red Robin ', '12', '$2.99', 'DC', '36,273']
['52', 'Wolverine Origins ', '48', '$2.99', 'Marvel', '35,999']
['53', 'X-Men Second Coming Revelations\nBlind Science ', '1', '$3.99', 'Marvel', '35,483']
['54', 'Adventure Comics ', '11', '$3.99', 'DC', '34,794']
['55', 'Dc Universe Legacies ', '1', '$3.99', 'DC', '34,429']
['56', 'Zatanna ', '1', '$2.99', 'DC', '33,691']
['57', 'Age of Heroes ', '1', '$3.99', 'Marvel', '33,573']
['58', 'X-Men Hellbound ', '1', '$3.99', 'Marvel', '33,345']
['59', 'Thunderbolts ', '144', '$2.99', 'Marvel', '33,276']
['60', 'Izombie ', '1', '$1.00', 'DC', '33,025']
['61', 'Superman Batman ', '72', '$2.99', 'DC', '32,047']
['62', 'Titans Villains for Hire Special ', '1', '$4.99', 'DC', '31,718']
['63', 'Marvels Project ', '8', '$3.99', 'Marvel', '31,345']
['64', 'Justice League the Rise of Arsenal ', '3', '$3.99', 'DC', '31,246']
['65', 'First Wave ', '2', '$3.99', 'DC', '30,705']
['66', 'Deadpool Merc With A Mouth ', '11', '$2.99', 'Marvel', '30,677']
['67', 'Wolverine Weapon X ', '13', '$3.99', 'Marvel', '29,773']
['68', 'Thanos Imperative Ignition ', '1', '$3.99', 'Marvel', '29,716']
['69', 'Secret Warriors ', '16', '$2.99', 'Marvel', '29,340']
['70', 'Iron Man Legacy ', '2', '$2.99', 'Marvel', '29,175']
['71', 'Batgirl ', '10', '$2.99', 'DC', '28,641']
['72', 'Doomwar ', '4', '$3.99', 'Marvel', '28,307']
['73', 'Deadpool Corps ', '2', '$2.99', 'Marvel', '28,236']
['74', 'Fall of Hulks Savage She-Hulks ', '3', '$3.99', 'Marvel', '27,809']
['75', 'Ultimate Comics Enemy ', '4', '$3.99', 'Marvel', '27,612']
['76', 'Deadpool Team-Up ', '893', '$2.99', 'Marvel', '26,578']
['77', 'American Vampire ', '3', '$3.99', 'DC', '26,510']
['78', 'Kevin Smith Green Hornet ', '4', '$3.99', 'Dynamite', '26,292']
['79', 'Dark Tower Gunslinger Journey\nBegins ', '1', '$3.99', 'Marvel', '26,275']
['80', 'Gotham City Sirens ', '12', '$2.99', 'DC', '26,029']
['81', 'Batman Streets of Gotham ', '12', '$3.99', 'DC', '25,446']
['82', 'Wonder Woman ', '44', '$2.99', 'DC', '25,443']
['83', 'Jsa All Stars ', '6', '$3.99', 'DC', '25,306']
['84', 'Walking Dead ', '72', '$2.99', 'Image', '25,182']
['85', 'Teen Titans ', '83', '$3.99', 'DC', '24,960']
['86', 'Black Widow ', '2', '$2.99', 'Marvel', '23,384']
['87', 'Marvel Zombies 5 ', '3', '$3.99', 'Marvel', '22,894']
['88', 'Atlas ', '1', '$3.99', 'Marvel', '22,756']
['89', 'Hellboy In\nMexico Or Drunken Blur One Shot', '$3.50', 'Dark Horse', '22,569']
['90', 'Secret Six ', '21', '$2.99', 'DC', '22,334']
['91', 'Punishermax ', '7', '$3.99', 'Marvel', '22,198']
['92', 'Enter the Heroic Age ', '1', '$3.99', 'Marvel', '22,139']
['93', 'Avengers Origin ', '2', '$3.99', 'Marvel', '22,108']
['94', 'Brave And the Bold ', '34', '$2.99', 'DC', '21,758']
['95', 'Boys ', '42', '$2.99', 'Dynamite', '21,479']
['96', 'Power Girl ', '12', '$2.99', 'DC', '20,681']
['97', 'Vengeance of Moon Knight ', '8', '$2.99', 'Marvel', '20,597']
['98', 'Amazing Spider-Man Presents\nAmerican Son ', '1', '$3.99', 'Marvel', '20,375']
['99', 'Heroic Age Prince of Power ', '1', '$3.99', 'Marvel', '20,373']
['100', 'Booster Gold ', '32', '$2.99', 'DC', '20,343']
['101', 'X-Men Origins Emma Frost ', '1', '$3.99', 'Marvel', '20,093']
['102', 'Haunt ', '7', '$2.99', 'Image', '20,005']
['103', 'Star Wars Legacy ', '48', '$2.99', 'Dark Horse', '19,954']
['104', 'Fables ', '95', '$2.99', 'DC', '19,932']
