['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'New X-Men', '124', '$2.25', 'Marvel', '111,904']
['2', 'Ultimates', '3', '$2.25', 'Marvel', '110,634']
['3', 'Ultimate X-Men', '16', '$2.25', 'Marvel', '103,321']
['4', 'Uncanny X-Men', '404', '$2.25', 'Marvel', '102,499']
['5', 'Amazing Spider-Man', '41', '$2.25', 'Marvel', '99,824']
['6', 'Ultimate Spider-Man', '20', '$2.25', 'Marvel', '86,520']
['7', 'G.I. Joe', '4', '$3.50', 'Image', '78,344']
['8', 'X-Treme X-Men', '11', '$2.99', 'Marvel', '78,328']
['9', 'Green Arrow', '13 (Res)', '$2.50', 'DC', '78,055']
['10', 'Wolverine', '174', '$2.25', 'Marvel', '74,512']
['11', 'JLA', '64', '$2.25', 'DC', '66,486']
['12', 'Avengers', '52', '$2.25', 'Marvel', '57,220']
['13', 'Wolverine Hulk', '2', '$3.50', 'Marvel', '55,655']
['14', 'Punisher', '10', '$2.99', 'Marvel', '53,641']
['15', 'Hawkman', '1', '$2.50', 'DC', '52,298']
['16', 'Daredevil', '31', '$2.99', 'Marvel', '51,900']
['17', 'Batman', '601', '$2.25', 'DC', '51,647']
['18', 'Peter Parker Spider-Man', '41', '$2.25', 'Marvel', '51,286']
['19', 'Fantastic Four', '53', '$2.25', 'Marvel', '48,301']
['20', 'Paradise X', '1', '$2.99', 'Marvel', '48,125']
['21', 'Spawn', '120', '$2.50', 'Image', '46,400']
['22', 'X-Force', '126', '$2.25', 'Marvel', '46,224']
['23', 'Incredible Hulk', '38', '$2.25', 'Marvel', '45,248']
['24', 'Ultimate Marvel Team Up', '14', '$2.25', 'Marvel', '45,016']
['25', 'X-Men Unlimited', '34', '$3.50', 'Marvel', '44,969']
['26', 'Detective Comics', '768', '$2.50', 'DC', '44,355']
['27', 'JSA', '34', '$2.50', 'DC', '43,219']
['28', 'Superman', '180', '$2.25', 'DC', '42,041']
['29', 'Elektra', '9', '$2.99', 'Marvel', '40,569']
['30', 'Iron Man', '52', '$2.25', 'Marvel', '40,306']
['31', 'Exiles', '11', '$2.25', 'Marvel', '40,238']
['32', 'Thor', '47', '$2.25', 'Marvel', '38,338']
['33', 'Batman Gotham Knights', '27', '$2.50', 'DC', '37,780']
['34', 'Blade', '1', '$2.99', 'Marvel', '37,739']
['35', 'Action Comics', '789', '$2.25', 'DC', '36,850']
['36', 'Cage', '2', '$2.99', 'Marvel', '36,768']
['37', 'Batgirl', '26', '$2.50', 'DC', '36,763']
['38', 'Adventures Of Superman', '602', '$2.25', 'DC', '36,148']
['39', 'Nightwing', '67', '$2.25', 'DC', '36,055']
['40', 'Alias', '7', '$2.99', 'Marvel', '36,029']
['41', 'Green Lantern', '148', '$2.25', 'DC', '35,947']
['42', 'Marvel Knights Vol. 2', '1', '$2.99', 'Marvel', '35,848']
['43', 'Birds Of Prey', '41', '$2.50', 'DC', '35,730']
['44', 'Superman Man Of Steel', '124', '$2.25', 'DC', '35,058']
['45', 'Catwoman', '5', '$2.50', 'DC', '35,017']
