['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['91', 'Quicksilver', '4', '$1.99', 'Marvel', '33,383']
['92', 'Heroes For Hire', '8', '$1.99', 'Marvel', '32,846']
['93', 'Starman', '39', '$2.25', 'DC', '32,630']
['94', 'Neil Gaiman & Charles Vess\nStar', '3', '$5.95', 'DC', '32,388']
['95', 'Mage The Hero Defined', '6', '$2.50', 'Image', '31,941']
['96', 'Elektra', '15', '$1.99', 'Marvel', '31,714']
['97', 'Supergirl Prysm Shot', '1', '$1.95', 'DC', '31,425']
['98', 'Teen Titans', '17', '$1.95', 'DC', '31,330']
['99', 'Superman Distant Fires', '', '$5.95', 'DC', '31,320']
['100', 'Arcanum', '7', '$2.50', 'Image', '31,172']
['101', 'Silver Surfer', '138', '$1.99', 'Marvel', '31,072']
['102', 'Satana', '2', '$2.99', 'Marvel', '31,062']
['103', 'Fighting American Rules Of The G?', '1', '$2.50', 'Awesome', '30,862']
['104', 'Robin Argent Double Shot', '1', '$1.95', 'DC', '30,098']
['105', 'Moon Knight', '2', '$2.50', 'Marvel', '29,877']
['106', 'What If?', '105', '$1.99', 'Marvel', '29,193']
['107', 'Star Wars X-Wing\nRogue Squadron Making', '$3.95', 'Dark Horse', '29,014']
['108', 'X-Files Ground Zero', '2', '$2.95', 'Topps', '28,930']
['109', 'Aquaman', '41', '$1.95', 'DC', '38,835']
['110', 'Daredevil', '372', '$1.99', 'Marvel', '28,472']
['111', 'Batgirl Adv', '1', '$2.95', 'DC', '28,440']
['112', 'Dv8', '14', '$2.50', 'Image', '28,235']
['113', 'Azrael', '38', '$1.95', 'DC', '28,224']
['114', 'Marvel Team Up', '6', '$1.99', 'Marvel', '27,751']
['115', 'Shi The Series', '5', '$2.95', 'Crusade', '26,945']
['116', 'Stormwatch', '3', '$2.50', 'Image', '26,756']
['117', 'Hitman', '23', '$2.25', 'DC', '26,345']
['118', 'Maxx', '35', '$1.95', 'Image', '25,908']
['119', 'Superman Red Superman Blue Standard\nEd.', '', '$3.95', 'DC', '25,856']
['120', 'Power of Shazam', '35', '$1.95', 'DC', '25,793']
['121', 'Journey Into Mystery', '517', '$1.99', 'Marvel', '25,250']
['122', 'Superboy', '48', '$1.95', 'DC', '25,092']
['123', 'Legion Of Super Heroes', '101', '$2.25', 'DC', '25,019']
['124', 'Superboy Risk Double Shot', '1', '$1.95', 'DC', '24,882']
['125', 'Legends Of The Legion', '1', '$2.25', 'DC', '24,877']
['126', 'Shi East Wind Rain', '2', '$3.50', 'Crusade', '24,692']
['127', 'Savage Dragon', '44', '$2.50', 'Image', '24,577']
['128', 'Impulse', '34', '$1.95', 'DC', '24,535']
['129', 'Legionnaires', '57', '$2.25', 'DC', '24,387']
['130', 'Dreaming', '21', '$2.50', 'DC', '24,277']
['131', 'Impulse Atom Double Shot', '1', '$1.95', 'DC', '24,140']
['132', 'Conan The Usurper', '3', '$2.50', 'Marvel', '24,119']
['133', 'Bad Boy', '', '$4.95', 'Oni', '24,050']
['134', 'Hellboy Christmas Special', '', '$3.95', 'Dark Horse', '24,024']
['135', 'DV8 vs. Black Ops', '3', '$2.50', 'Image', '23,861']
['136', 'Vampirella', '2', '$2.95', 'Harris', '23,629']
['137', 'Kents', '7', '$2.50', 'DC', '23,319']
['138', 'Books Of Magic', '45', '$2.50', 'DC', '23,219']
['139', 'Batman Adv The Lost Years', '2', '$1.95', 'DC', '23,119']
['140', 'Man-Thing', '3', '$2.99', 'Marvel', '22,961']
['141', 'Awesome Holiday Special', '1', '$2.50', 'Awesome', '22,624']
['142', 'Secret Origins', '', '$4.95', 'DC', '22,508']
['143', 'Martha Washington Saves The W?', '1', '$2.95', 'Dark Horse', '22,445']
['144', 'Ash', '2', '$2.95', 'Event', '22,176']
['145', 'Kabuki', '2', '$2.95', 'Image', '22,145']
['146', 'Resurrection Man', '10', '$2.50', 'DC', '21,750']
['147', 'Stangers In Paradise Vol. III', '11', '$2.75', 'Abstract', '21,539']
['148', 'X-Files Season One Conduit', '', '$4.95', 'Topps', '20,971']
['149', 'Evil Ernie Destroyer', '4', '$2.95', 'Chaos', '20,860']
['150', 'Books Of Magic Annual', '2', '$3.95', 'DC', '20,724']
['151', 'Simpsons Comics', '34', '$2.25', 'Bongo', '20,397']
['152', 'Superman Adv Special Superman?', '1', '$2.95', 'DC', '20,371']
['153', 'Jack Kirbys 4th World', '12', '$1.95', 'DC', '19,997']
['154', 'Spectre Final Issue', '62', '$2.50', 'DC', '19,660']
['155', 'Invisibles Vol. 2', '13', '$2.50', 'DC', '19,523']
['156', 'Leave It To Chance', '8', '$2.95', 'Image', '19,429']
['157', 'Green Arrow', '129', '$2.50', 'DC', '19,392']
['158', 'Phantom Guard', '3', '$2.50', 'Image', '19,392']
['159', 'Predator Vs Judge Dredd', '3', '$2.50', 'Dark Horse', '19,318']
['160', 'Star Trek Voyager', '14', '$1.99', 'Marvel', '18,639']
['161', 'Star Trek Voyager', '15', '$1.99', 'Marvel', '18,307']
['162', 'Star Trek Deep Space Nine', '15', '$1.99', 'Marvel', '18,292']
['163', 'Ghost Rider', '93', '$2.99', 'Marvel', '18,292']
['164', 'Star Trek Starfleet Academy', '15', '$1.99', 'Marvel', '17,913']
['165', 'Star Trek Early Voyages', '13', '$1.99', 'Marvel', '71,823']
