['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Avengers Vs X-Men', '4', '$3.99', 'Marvel', '178,330']
['2', 'Avengers Vs X-Men', '3', '$3.99', 'Marvel', '175,695']
['3', 'Batman', '9', '$3.99', 'DC', '134,605']
['4', 'Justice League', '9', '$3.99', 'DC', '131,332']
['5', 'Batman Annual', '1', '$4.99', 'DC', '101,394']
['6', 'AVX Vs', '2', '$3.99', 'Marvel', '98,819']
['7', 'Batman Incorporated', '1', '$2.99', 'DC', '96,486']
['8', 'Detective Comics', '9', '$3.99', 'DC', '96,016']
['9', 'Action Comics', '9', '$3.99', 'DC', '88,796']
['10', 'Green Lantern', '9', '$2.99', 'DC', '87,601']
['11', 'Earth 2', '1*', '$3.99', 'DC', '86,168']
['12', 'Batman The Dark Knight', '9', '$2.99', 'DC', '82,169']
['13', 'Batman And Robin', '9', '$2.99', 'DC', '75,967']
['14', 'Uncanny X-Men', '12', '$3.99', 'Marvel', '69,265']
['15', 'Avengers', '26', '$3.99', 'Marvel', '67,744']
['16', 'Wolverine And X-Men', '11', '$3.99', 'Marvel', '64,936']
['17', 'New Avengers', '26', '$3.99', 'Marvel', '64,326']
['18', 'Wolverine And X-Men', '10', '$3.99', 'Marvel', '63,650']
['19', 'Flash', '9', '$2.99', 'DC', '62,807']
['20', 'Worlds Finest', '1*', '$2.99', 'DC', '62,578']
['21', 'Superman', '9', '$2.99', 'DC', '62,232']
['22', 'Nightwing', '9', '$2.99', 'DC', '61,395']
['23', 'Aquaman', '9', '$2.99', 'DC', '60,527']
['24', 'Batgirl', '9', '$2.99', 'DC', '58,710']
['25', 'Amazing Spider-Man', '686', '$3.99', 'Marvel', '58,337']
['26', 'Amazing Spider-Man', '685', '$3.99', 'Marvel', '58,121']
['27', 'Astonishing X-Men', '50', '$3.99', 'Marvel', '57,931']
['28', 'Walking Dead', '97', '$2.99', 'Image', '53,733']
['29', 'Uncanny X-Force', '25', '$4.99', 'Marvel', '50,851']
['30', 'Teen Titans', '9', '$2.99', 'DC', '50,261']
['31', 'Walking Dead', '98', '$2.99', 'Image', '49,974']
['32', 'Secret Avengers', '27', '$3.99', 'Marvel', '49,851']
['33', 'Catwoman', '9', '$2.99', 'DC', '49,726']
['34', 'Red Hood And The Outlaws', '9', '$2.99', 'DC', '48,798']
['35', 'Wonder Woman', '9', '$2.99', 'DC', '48,750']
['36', 'Green Lantern Corps', '9', '$2.99', 'DC', '46,336']
['37', 'X-Men Legacy', '267', '$2.99', 'Marvel', '46,279']
['38', 'Green Lantern New Guardians', '9', '$2.99', 'DC', '46,237']
['39', 'Teen Titans Annual', '1', '$4.99', 'DC', '44,415']
['40', 'Batwoman', '9', '$2.99', 'DC', '43,942']
['41', 'Avengers Assemble', '3', '$3.99', 'Marvel', '43,886']
['42', 'X-Men Legacy', '266', '$2.99', 'Marvel', '43,199']
['43', 'X-O Manowar', '1', '$3.99', 'Valiant', '42,708']
['44', 'Ultimate Comics Spider-Man', '10', '$3.99', 'Marvel', '42,356']
['45', 'Incredible Hulk', '8', '$3.99', 'Marvel', '42,076']
['46', 'Amazing Spider-Man Annual', '39', '$3.99', 'Marvel', '41,879']
['47', 'Birds Of Prey', '9', '$2.99', 'DC', '41,521']
['48', 'Dial H', '1*', '$2.99', 'DC', '40,777']
['49', 'Fantastic Four', '606', '$2.99', 'Marvel', '39,914']
['50', 'Ravagers', '1*', '$2.99', 'DC', '39,807']
['51', 'Fantastic Four', '605.1', '$2.99', 'Marvel', '39,475']
['52', 'Swamp Thing', '9', '$2.99', 'DC', '39,385']
['53', 'Daredevil', '12', '$2.99', 'Marvel', '39,231']
['54', 'Red Lanterns', '9', '$2.99', 'DC', '39,215']
['55', 'Daredevil', '13', '$2.99', 'Marvel', '39,056']
['56', 'Captain America', '11', '$3.99', 'Marvel', '39,012']
['57', 'Saga', '3*', '$2.99', 'Image', '38,895']
['58', 'Captain America', '12', '$3.99', 'Marvel', '38,800']
['59', 'Incredible Hulk', '7.1', '$2.99', 'Marvel', '38,472']
['60', 'Avenging Spider-Man', '7', '$3.99', 'Marvel', '38,012']
['61', 'X-Men', '28', '$3.99', 'Marvel', '35,838']
['62', 'Batwing', '9', '$2.99', 'DC', '35,731']
['63', 'Animal Man', '9', '$2.99', 'DC', '35,699']
['64', 'X-Men', '29', '$3.99', 'Marvel', '35,483']
['65', 'Supergirl', '9', '$2.99', 'DC', '35,129']
['66', 'Wolverine', '306', '$3.99', 'Marvel', '34,873']
['67', 'Superboy', '9', '$2.99', 'DC', '34,838']
['68', 'Justice League Dark', '9', '$2.99', 'DC', '34,649']
['69', 'FF', '18', '$2.99', 'Marvel', '34,555']
['70', 'Wolverine', '307', '$3.99', 'Marvel', '34,485']
['71', 'Suicide Squad', '9', '$2.99', 'DC', '32,581']
['72', 'Justice League International', '9', '$2.99', 'DC', '32,558']
['73', 'Mighty Thor', '14', '$3.99', 'Marvel', '32,550']
['74', 'Age Of Apocalypse', '3', '$2.99', 'Marvel', '32,085']
['75', 'Animal Man Annual', '1', '$4.99', 'DC', '31,710']
['76', 'Invincible Iron Man', '517', '$3.99', 'Marvel', '31,536']
['77', 'All Star Western', '9', '$3.99', 'DC', '31,413']
['78', 'Invincible Iron Man', '516', '$3.99', 'Marvel', '31,374']
['79', 'Ultimate Comics Ultimates', '11', '$3.99', 'Marvel', '31,344']
['80', 'Ultimate Comics Ultimates', '10', '$3.99', 'Marvel', '31,257']
['81', 'Scarlet Spider', '5', '$2.99', 'Marvel', '30,932']
['82', 'Winter Soldier', '5', '$2.99', 'Marvel', '30,646']
['83', 'G.I. Combat', '1*', '$3.99', 'DC', '30,366']
['84', 'Venom', '17', '$2.99', 'Marvel', '30,157']
['85', 'Deadpool', '54', '$2.99', 'Marvel', '29,644']
['86', 'Avengers Academy', '29', '$2.99', 'Marvel', '29,460']
['87', 'Avengers Academy', '30', '$2.99', 'Marvel', '29,213']
['88', 'Deadpool', '55', '$2.99', 'Marvel', '29,022']
['89', 'Ultimate Comics X-Men', '12', '$3.99', 'Marvel', '28,839']
['90', 'Ultimate Comics X-Men', '11', '$3.99', 'Marvel', '28,711']
['91', 'Wolverine And X-Men Alpha And', '5', '$3.99', 'Marvel', '28,609']
['92', 'Venom', '18', '$2.99', 'Marvel', '28,309']
['93', 'Secret Service', '2', '$2.99', 'Marvel', '28,265']
['94', 'Buffy the Vampire Slayer Season 9 Freefall', '9', '$2.99', 'Dark Horse', '28,229']
['95', 'Amazing Spider-Man Of Earth', '1', '$3.99', 'Marvel', '27,347']
['96', 'Smallville Season 11', '1', '$3.99', 'DC', '27,004']
['97', 'Supercrooks', '3', '$2.99', 'Marvel', '26,969']
['98', 'Green Arrow', '9', '$2.99', 'DC', '26,966']
['99', 'Defenders', '6', '$3.99', 'Marvel', '25,518']
['100', 'Batman Arkham Unhinged', '2', '$2.99', 'DC', '25,215']
['101', 'Exiled', '1', '$2.99', 'Marvel', '24,686']
['102', 'New Mutants', '42', '$2.99', 'Marvel', '24,572']
['103', 'Journey Into Mystery', '637', '$2.99', 'Marvel', '24,378']
['104', 'Batman Beyond Unlimited', '4', '$3.99', 'DC', '24,356']
['105', 'New Mutants', '43', '$2.99', 'Marvel', '24,160']
['106', 'X-Factor', '235', '$2.99', 'Marvel', '24,051']
['107', 'X-Factor', '236', '$2.99', 'Marvel', '24,031']
['108', 'Legion Lost', '9', '$2.99', 'DC', '23,794']
['109', 'Captain America And Hawkeye', '630', '$2.99', 'Marvel', '23,774']
['110', 'Journey Into Mystery', '638', '$2.99', 'Marvel', '23,766']
['111', 'Avengers Vs X-Men', '2', '$3.99', 'Marvel', '23,323']
['112', 'Punisher', '11', '$2.99', 'Marvel', '23,303']
['113', 'Captain America And Hawkeye', '631', '$2.99', 'Marvel', '22,684']
['114', 'Fatale', '5', '$3.50', 'Image', '22,484']
['115', 'Stormwatch', '9', '$2.99', 'DC', '22,448']
['116', 'Fairest', '3', '$2.99', 'DC', '22,329']
['117', 'Hulk', '51', '$2.99', 'Marvel', '22,085']
['118', 'Star Wars Darth Vader Ghost Prison', '1', '$3.50', 'Dark Horse', '22,026']
['119', 'Shadow', '2', '$3.99', 'Dynamic Forces', '21,982']
['120', 'Hulk', '52', '$2.99', 'Marvel', '21,882']
['121', 'Star Trek TNG Doctor Who Assimilation', '1', '$3.99', 'IDW', '20,940']
['122', 'Deathstroke', '9', '$2.99', 'DC', '20,878']
['123', 'Legion Of Super Heroes', '9', '$2.99', 'DC', '20,854']
['124', 'Fury Max', '1', '$3.99', 'Marvel', '20,620']
['125', 'Adventure Time', '4', '$3.99', 'Boom', '20,289']
['126', 'Demon Knights', '9', '$2.99', 'DC', '20,196']
['127', 'Mind The Gap', '1*', '$2.99', 'Image', '20,038']
['128', 'Star Wars Dawn of the Jedi Force Storm', '4', '$3.50', 'Dark Horse', '19,756']
['129', 'Teenage Mutant Ninja Turtles', '10', '$3.99', 'IDW', '19,254']
['130', 'Fury Max', '2', '$3.99', 'Marvel', '19,021']
['131', 'Thunderbolts', '174', '$2.99', 'Marvel', '18,792']
['132', 'Magic The Gathering', '4', '$3.99', 'IDW', '18,779']
['133', 'Higher Earth', '1', '$1.00', 'Boom', '18,775']
['134', 'Star Wars Blood Ties Boba Fett Is Dead', '2', '$3.50', 'Dark Horse', '18,544']
['135', 'Resurrection Man', '9', '$2.99', 'DC', '18,018']
['136', 'Manhattan Projects', '3', '$3.50', 'Image', '18,001']
['137', 'Thief Of Thieves', '4', '$2.99', 'Image', '17,774']
['138', 'Savage Hawkman', '9', '$2.99', 'DC', '17,626']
['139', 'Fables', '117', '$2.99', 'DC', '17,484']
['140', 'Hulk Smash Avengers', '1', '$2.99', 'Marvel', '17,434']
['141', 'Frankenstein Agent Of Shade', '9', '$2.99', 'DC', '17,266']
['142', 'Fury Of Firestorm The Nuclear Men', '9', '$2.99', 'DC', '17,240']
['143', 'Angel & Faith', '10', '$2.99', 'Dark Horse', '17,206']
['144', 'I Vampire', '9', '$2.99', 'DC', '17,175']
['145', 'Blue Beetle', '9', '$2.99', 'DC', '16,607']
['146', 'Boys', '66', '$3.99', 'Dynamic Forces', '16,514']
['147', 'Avengers Vs X-Men', '1', '$3.99', 'Marvel', '16,462']
['148', 'Marvel Zombies Destroy', '1', '$3.99', 'Marvel', '16,375']
['149', 'Americas Got Powers', '2', '$2.99', 'Image', '16,273']
['150', 'Dc Universe Presents', '9', '$2.99', 'DC', '15,776']
['151', 'Hulk Smash Avengers', '3', '$2.99', 'Marvel', '15,750']
['152', 'Conan The Barbarian', '4', '$3.50', 'Dark Horse', '15,689']
['153', 'Hulk Smash Avengers', '2', '$2.99', 'Marvel', '15,342']
['154', 'Grifter', '9', '$2.99', 'DC', '15,228']
['155', 'Marvel Zombies Destroy', '2', '$3.99', 'Marvel', '15,072']
['156', 'Shade', '8', '$2.99', 'DC', '15,051']
['157', 'Frankenstein Alive Alive', '1', '$3.99', 'IDW', '14,692']
['158', 'Hulk Smash Avengers', '4', '$2.99', 'Marvel', '14,625']
['159', 'Invincible', '91', '$2.99', 'Image', '14,556']
['160', 'Marvels Avengers Avengers Initiative', '\n', '$2.99', 'Marvel', '14,440']
['161', 'American Vampire', '27', '$2.99', 'DC', '14,420']
['162', 'Hulk Smash Avengers', '5', '$2.99', 'Marvel', '14,387']
['163', 'Epic Kill', '1', '$2.99', 'Image', '13,784']
['164', 'Voodoo', '9', '$2.99', 'DC', '13,762']
['165', 'Avengers Black Widow Strikes', '1', '$2.99', 'Marvel', '13,682']
['166', 'Superman Family Adventures', '1', '$2.99', 'DC', '13,303']
['167', 'Star Wars Knights Of The Old Republic War', '5', '$3.50', 'Dark Horse', '13,260']
['168', 'Spawn', '219', '$2.99', 'Image', '12,804']
['169', 'The Spider', '1', '$3.99', 'Dynamic Forces', '12,547']
['170', 'Powers', '10', '$3.95', 'Marvel', '12,484']
['171', 'Avengers Black Widow Strikes', '2', '$2.99', 'Marvel', '12,404']
['172', 'Captain Atom', '9', '$2.99', 'DC', '12,264']
['173', 'BPRD Hell On Earth Transformation Odonnell', '1', '$3.50', 'Dark Horse', '12,261']
['174', 'Chew', '26', '$2.99', 'Image', '12,187']
