['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Secret Invasion', '4', '$3.99', 'Marvel', '175,423']
['2', 'Uncanny X-Men', '500', '$3.99', 'Marvel', '151,923']
['3', 'Astonishing X-Men', '25', '$2.99', 'Marvel', '110,701']
['4', 'New Avengers', '43', '$2.99', 'Marvel', '108,728']
['5', 'Batman', '678', '$2.99', 'DC', '103,191']
['6', 'Mighty Avengers', '16', '$2.99', 'Marvel', '96,232']
['7', 'Wolverine', '67', '$2.99', 'Marvel', '89,043']
['8', 'Thor', '10', '$2.99', 'Marvel', '83,767']
['9', 'Justice League of America', '23', '$2.99', 'DC', '82,936']
['10', 'Buffy The Vampire Slayer', '16', '$2.99', 'Dark Horse', '82,014']
['11', 'Ultimate Origins', '2', '$2.99', 'Marvel', '80,372']
['12', 'Captain America', '40', '$2.99', 'Marvel', '79,301']
['13', 'Justice Society of America', '17', '$2.99', 'DC', '75,516']
['14', 'Avengers Invaders', '3', '$2.99', 'Marvel', '75,146']
['15', 'Dark Tower Long Road Home', '5', '$3.99', 'Marvel', '74,965']
['16', 'Final Crisis Requiem', '1', '$3.99', 'DC', '74,295']
['17', 'X-Force', '5', '$2.99', 'Marvel', '72,803']
['18', 'Detective Comics', '846', '$2.99', 'DC', '72,402']
['19', 'X-Men Legacy', '214', '$2.99', 'Marvel', '69,849']
['20', 'Amazing Spider-Man', '565', '$2.99', 'Marvel', '69,168']
['21', 'Amazing Spider-Man', '566', '$2.99', 'Marvel', '68,898']
['22', 'Amazing Spider-Man', '564', '$2.99', 'Marvel', '68,868']
['23', 'Justice Society of America Annual', '1', '$3.99', 'DC', '64,492']
['24', 'Green Lantern', '33', '$2.99', 'DC', '63,801']
['25', 'Avengers Initiative', '15', '$2.99', 'Marvel', '63,621']
['26', 'Invincible Iron Man', '3', '$2.99', 'Marvel', '63,030']
['27', 'Final Crisis Rogues Revenge', '1', '$3.99', 'DC', '62,469']
['28', 'Trinity', '9', '$2.99', 'DC', '62,239']
['29', 'Superman Batman', '50', '$3.99', 'DC', '61,308']
['30', 'Skaar Son Of Hulk', '2', '$2.99', 'Marvel', '56,972']
['31', 'Secret Invasion Front Line', '1', '$2.99', 'Marvel', '56,302']
['32', 'Captain America White', '0', '$2.99', 'Marvel', '56,242']
['33', 'Ultimate Spider-Man', '124', '$2.99', 'Marvel', '55,250']
['34', 'Trinity', '5', '$2.99', 'DC', '54,670']
['35', 'Robin', '175', '$2.99', 'DC', '53,869']
['36', 'Trinity', '6', '$2.99', 'DC', '53,288']
['37', 'X-Factor', '33', '$2.99', 'Marvel', '53,078']
['38', 'Incredible Hercules', '119', '$2.99', 'Marvel', '52,587']
['39', 'Trinity', '7', '$2.99', 'DC', '52,397']
['40', 'Trinity', '8', '$2.99', 'DC', '51,365']
['41', 'Action Comics', '867', '$2.99', 'DC', '49,353']
['42', 'Secret Invasion Fantastic Four', '3', '$2.99', 'Marvel', '48,121']
['43', 'Ultimate X-Men', '96', '$2.99', 'Marvel', '48,001']
['44', 'Superman', '678', '$2.99', 'DC', '47,661']
['45', 'Wolverine Origins', '27', '$2.99', 'Marvel', '47,530']
['46', 'Thunderbolts', '122', '$2.99', 'Marvel', '47,160']
['47', 'Cable', '5', '$2.99', 'Marvel', '46,419']
['48', 'Green Lantern Corps', '26', '$2.99', 'DC', '46,089']
['49', 'Teen Titans', '61', '$2.99', 'DC', '44,657']
['50', 'Amazing Spider-Man Extra', '', '$3.99', 'Marvel', '44,447']
['51', 'Angel After The Fall', '10', '$3.99', 'IDW', '43,015']
['52', 'Young X-Men', '4', '$2.99', 'Marvel', '41,333']
['53', 'Ms Marvel', '29', '$2.99', 'Marvel', '41,222']
['54', 'Daredevil', '109', '$2.99', 'Marvel', '39,250']
['55', "Joker's Asylum: The Joker", '1', '$2.99', 'DC', '38,940']
['56', 'Marvel 1985', '3', '$3.99', 'Marvel', '38,669']
['57', 'Skrulls One-Shot', '', '$4.99', 'Marvel', '38,439']
['58', 'Captain Britain & M.I. 13', '3', '$2.99', 'Marvel', '36,937']
['59', 'Spike After The Fall', '1', '$3.99', 'IDW', '36,867']
['60', 'Wonder Woman', '22', '$2.99', 'DC', '36,506']
['61', 'She-Hulk 2', '31', '$2.99', 'Marvel', '36,046']
['62', 'Squadron Supreme 2', '1', '$2.99', 'Marvel', '35,575']
['63', 'Iron Man Director Of Shield', '31', '$2.99', 'Marvel', '35,345']
['64', 'Ultimate Fantastic Four', '56', '$2.99', 'Marvel', '35,075']
['65', 'Booster Gold', '1000000', '$2.99', 'DC', '34,424']
['66', 'Batgirl', '1', '$2.99', 'DC', '34,404']
['67', 'Batman & Outsiders', '9', '$2.99', 'DC', '34,394']
['68', 'Black Panther', '39', '$2.99', 'Marvel', '33,893']
['69', "Joker's Asylum: The Penguin", '1', '$2.99', 'DC', '33,463']
['70', 'New Warriors', '14', '$2.99', 'Marvel', '33,202']
['71', 'Immortal Iron Fist', '17', '$2.99', 'Marvel', '32,832']
['72', 'Brave & Bold', '15', '$2.99', 'DC', '32,682']
['73', "Joker's Asylum: Poison Ivy", '1', '$2.99', 'DC', '32,622']
['74', 'Guardians of the Galaxy', '3', '$2.99', 'Marvel', '31,700']
['75', "Joker's Asylum: Scarecrow", '1', '$2.99', 'DC', '31,400']
['76', 'Conan The Cimmerian', '1', '$2.99', 'Dark Horse', '31,290']
['77', 'War Heroes', '1', '$2.99', 'Image', '30,639']
['78', 'Project Superpowers', '5', '$2.99', 'Dynamic', '30,549']
['79', 'Eternals', '2', '$2.99', 'Marvel', '30,389']
['80', "Joker's Asylum: Two Face", '1', '$2.99', 'DC', '30,329']
['81', 'Flash', '242', '$2.99', 'DC', '30,319']
