['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Dark Knight Strikes Again', '1', '$7.95', 'DC', '187,376']
['2', 'Wolverine: The Origin', '5', '$3.50', 'Marvel', '178,231']
['3', 'New X-Men', '121', '$2.25', 'Marvel', '120,618']
['4', 'Uncanny X-Men', '401', '$2.25', 'Marvel', '113,546']
['5', 'Ultimate X-Men', '13', '$2.25', 'Marvel', '107,953']
['6', 'Amazing Spider-Man', '38', '$2.25', 'Marvel', '95,296']
['7', 'Ultimate Spider-Man', '16', '$2.25', 'Marvel', '86,922']
['8', 'X-Treme X-Men', '8', '$2.99', 'Marvel', '86,861']
['9', 'Green Arrow', '11', '$2.50', 'DC', '84,681']
['10', 'Uncanny X-Men 2001', '', '$3.50', 'Marvel', '81,808']
['11', 'Wolverine', '171', '$2.25', 'Marvel', '78,361']
['12', 'JLA', '61', '$2.25', 'DC', '72,537']
['13', 'Punisher', '7', '$2.99', 'Marvel', '64,063']
['14', 'X-Treme X-Men 2001', '', '$4.95', 'Marvel', '63,210']
['15', 'Avengers', '49', '$2.25', 'Marvel', '62,031']
['16', 'X-Treme X-Men Savage Land', '4', '$2.99', 'Marvel', '59,045']
['17', 'Fantastic Four', '50', '$3.99', 'Marvel', '56,394']
['18', 'Ultimate Marvel Team Up', '11', '$2.25', 'Marvel', '55,846']
['19', 'Daredevil', '28', '$2.99', 'Marvel', '53,452']
['20', 'Peter Parker Spider-Man', '38', '$2.25', 'Marvel', '53,065']
['21', 'Elektra', '6', '$2.99', 'Marvel', '52,716']
['22', 'X-Force', '123', '$2.25', 'Marvel', '51,110']
['23', 'Spawn', '117', '$2.50', 'Image', '48,538']
['24', 'Rising Stars', '17 (Res)', '$2.50', 'Image', '48,499']
['25', 'Just Imagine\nStan Lee with Jerry Ordway Creating JLA', '$5.95', 'DC', '46,157']
['26', 'Iceman', '3', '$2.50', 'Marvel', '44,390']
['27', 'Superman', '177', '$2.25', 'DC', '44,325']
['28', 'Nightcrawler', '2', '$2.50', 'Marvel', '43,837']
['29', 'Batman', '598', '$2.25', 'DC', '43,524']
['30', 'JSA', '31', '$2.50', 'DC', '43,350']
['31', 'Authority', '29', '$2.50', 'DC', '43,328']
['32', 'Exiles', '7', '$2.25', 'Marvel', '43,071']
['33', 'Captain America', '50', '$5.95', 'Marvel', '43,002']
['34', 'Fury', '4', '$2.99', 'Marvel', '42,884']
['35', 'Paradise X Heralds', '3', '$3.50', 'Marvel', '41,774']
['36', 'Alias', '4', '$2.99', 'Marvel', '41,100']
['37', 'Detective Comics', '765', '$2.50', 'DC', '40,765']
['38', 'Action Comics', '786', '$2.25', 'DC', '40,403']
['39', 'Elektra & Wolverine Redeemer', '2', '$5.95', 'Marvel', '40,195']
['40', 'Tomb Raider Journeys', '1', '$2.95', 'Image', '40,129']
['41', 'Adventures Of Superman', '599', '$2.25', 'DC', '39,772']
['42', 'Catwoman', '2', '$2.50', 'DC', '39,576']
['43', 'Cable', '100', '$3.99', 'Marvel', '38,932']
['44', 'Superman Man Of Steel', '121', '$2.25', 'DC', '38,854']
['45', 'Thor', '44', '$2.25', 'Marvel', '38,767']
['46', 'Iron Man', '49', '$2.25', 'Marvel', '38,249']
['47', 'Midnight Nation', '9 (Res)', '$2.50', 'Image', '38,101']
['48', 'Incredible Hulk', '35', '$2.25', 'Marvel', '37,022']
['49', 'Nightwing', '64', '$2.25', 'DC', '36,682']
['50', 'Batgirl', '23', '$2.50', 'DC', '36,295']
['51', 'JLA Incarnations', '7', '$3.50', 'DC', '36,016']
['52', 'Green Lantern', '145', '$2.25', 'DC', '35,894']
['53', 'Batman Gotham Knights', '24', '$2.50', 'DC', '34,798']
['54', 'Avengers Celestial Quest', '4', '$2.50', 'Marvel', '34,480']
['55', 'Batman Legends of the Dark Knight', '150', '$2.25', 'DC', '33,949']
['56', 'Marvel Knights Double Shot', '3', '$2.99', 'Marvel', '33,866']
['57', 'Doom Emperor Returns', '2', '$2.50', 'Marvel', '33,374']
['58', 'Thunderbolts', '59', '$2.25', 'Marvel', '33,083']
['59', 'Brotherhood', '8', '$2.25', 'Marvel', '32,465']
['60', 'Spider-Man Tangled Web', '9', '$2.99', 'Marvel', '32,173']
['61', 'Wonder Woman', '177', '$2.25', 'DC', '32,042']
['62', 'Deadpool Funeral For A Freak', '1', '$2.25', 'Marvel', '31,760']
['63', 'Powers', '17', '$2.95', 'Image', '30,315']
['64', 'Banished Knights', '1', '$2.95', 'Image', '29,792']
['65', 'Haven Broken City', '1', '$2.50', 'DC', '29,022']
['66', 'Out There', '7', '$2.50', 'DC', '28,987']
['67', 'Flash', '181', '$2.25', 'DC', '28,935']
['68', 'Deadman', '1', '$2.50', 'DC', '28,730']
['69', 'Robin', '97', '$2.25', 'DC', '28,212']
['70', 'Young Justice', '40', '$2.50', 'DC', '28,021']
['71', 'Harley Quinn', '15', '$2.25', 'DC', '27,172']
['72', 'X-Men Evolution', '2', '$2.25', 'Marvel', '26,907']
['73', 'Titans', '36', '$2.50', 'DC', '26,898']
['74', 'JLA Gatekeeper', '3', '$4.95', 'DC', '26,689']
['75', 'Warlands Age Of Ice', '5', '$2.95', 'Image', '26,302']
