['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Fantastic Four', '1', '$2.99', 'Marvel', '209,793']
['2', 'Captain America', '1', '$2.99', 'Marvel', '197,885']
['3', 'Uncanny X-Men', '351', '$1.99', 'Marvel', '159,778']
['4', 'Spawn', '68', '$1.95', 'Image', '156,455']
['5', 'X-Men', '71', '$1.99', 'Marvel', '155,400']
['6', 'Wolverine', '120', '$1.99', 'Marvel', '125,208']
['7', 'JLA', '14', '$1.95', 'DC', '111,425']
['8', 'Witchblade', '19', '$2.50', 'Image', '106,807']
['9', 'Darkness', '10', '$2.50', 'Image', '104,599']
['10', 'Curse of Spawn', '15', '$1.95', 'Image', '101,151']
['11', 'JLA Year One', '1', '$2.95', 'DC', '98,094']
['12', 'Generation X', '34', '$1.99', 'Marvel', '94,499']
['13', 'JLA: Paradise Lost', '1', '$1.95', 'DC', '91,521']
['14', 'Cable', '50', '$2.99', 'Marvel', '87,112']
['15', 'Wolverine 97', '', '$2.99', 'Marvel', '86,637']
['16', 'Wolverine: Days of Future Past', '2', '$2.50', 'Marvel', '86,295']
['17', 'X-Man', '34', '$1.99', 'Marvel', '83,934']
['18', 'X-Force', '73', '$1.99', 'Marvel', '82,395']
['19', 'X-Factor', '141', '$1.99', 'Marvel', '82,354']
['20', 'Incredible Hulk', '460', '$1.99', 'Marvel', '77,021']
['21', 'Ascension', '3', '$2.50', 'Image', '74,987']
['22', 'Divine Right', '3', '$2.50', 'Image', '72,643']
['23', 'Uncle Sam', '1', '$4.95', 'DC', '70,350']
['24', 'Amazing Spider-Man', '430', '$1.99', 'Marvel', '69,278']
['25', 'Excalibur', '116', '$1.99', 'Marvel', '63,287']
['26', 'Kiss: The Psycho Circus', '5', '$1.95', 'Image', '61,209']
['27', 'Spider-Man', '87', '$1.99', 'Marvel', '60,483']
['28', 'Superman: The Man of Steel', '75', '$1.95', 'DC', '60,341']
['29', 'Wildcore', '1', '$2.50', 'Image', '60,043']
['30', 'Spectacular Spider-Man', '253', '$1.99', 'Marvel', '59,073']
['31', 'Alpha Flight', '6', '$1.99', 'Marvel', '58,396']
['32', 'Superman', '131', '$1.95', 'DC', '57,876']
['33', "Batman Collector's Edition", '550', '$3.50', 'DC', '57,778']
['34', 'New Mutants', '3', '$2.50', 'Marvel', '57,292']
['35', 'Action Comics', '741', '$1.95', 'DC', '57,089']
['36', 'Bishop Xavier Security Enforcers', '1', '$2.50', 'Marvel', '56,897']
['37', 'Adventures of Superman', '554', '$1.95', 'DC', '55,734']
['38', 'Sensational Spider-Man', '23', '$1.99', 'Marvel', '54,208']
['39', 'Deadpool', '12', '$1.99', 'Marvel', '52,437']
['40', 'Unlimited Access', '2', '$1.99', 'Marvel', '50,459']
['41', 'Xena Warrior Princess (both covers)', '1', '$2.95', 'Topps', '48,727']
['42', 'Detective Comics', '717', '$1.95', 'DC', '48,326']
['43', 'Tenth', '3', '$2.50', 'Image', '47,013']
['44', "Kurt Busiek's Astro City Vol. 2", '12', '$2.50', 'Image', '46,953']
['45', 'Thunderbolts', '10', '$1.99', 'Marvel', '46,337']
['46', 'Green Lantern', '94', '$1.95', 'DC', '45,806']
['47', 'Preacher', '33', '$2.50', 'DC', '45,473']
['48', 'Batman/Predator III: Blood Ties', '3', '$1.95', 'DC', '45,062']
['49', 'Voodoo', '1', '$2.50', 'Image', '44,715']
['50', 'Kitty Pryde, Agent of SHIELD', '2', '$2.50', 'Marvel', '44,648']
['51', 'Gen13 Bootleg', '13', '$2.50', 'Image', '44,179']
['52', 'Nightwing', '16', '$1.95', 'DC', '42,820']
['53', 'Flash', '133', '$1.95', 'DC', '42,616']
['54', 'Superman Secret Files', '1', '$4.95', 'DC', '42,549']
['55', 'Batman: Legends of the Dark Knight', '102', '$1.95', 'DC', '42,297']
['56', 'Supergirl', '17', '$1.95', 'DC', '41,792']
['57', 'Star Wars: The Last Command', '1', '$2.95', 'Dark Horse', '41,742']
['58', 'Gen13 Interactive', '2', '$2.50', 'Image', '41,026']
['59', 'Batman: Shadow of the Bat', '70', '$1.95', 'DC', '40,159']
['60', 'X-Files', '36', '$2.95', 'Topps', '39,956']
['61', 'Moon Knight', '1', '$2.50', 'Marvel', '39,530']
['62', 'Vampirella: Ascending Evil (both\ncovers)', '1', '$2.95', 'Harris', '39,441']
['63', 'Spider-Man: Venom Agenda', '', '$2.99', 'Marvel', '39,270']
['64', 'Wonder Woman', '129', '$1.95', 'DC', '38,552']
['65', 'Catwoman', '53', '$1.95', 'DC', '38,149']
['66', 'Quicksilver', '3', '$1.99', 'Marvel', '37,964']
['67', 'Ka-Zar', '9', '$1.99', 'Marvel', '37,440']
['68', 'Maverick', '5', '$1.99', 'Marvel', '37,360']
['69', "Neil Gaiman & Charles Vess'\nStardust", '2', '$5.95', 'DC', '37,071']
['70', 'Robin', '49', '$1.95', 'DC', '36,884']
['71', 'Heroes for Hire', '7', '$1.99', 'Marvel', '36,314']
['72', 'WildC.A.T.S', '44', '$2.50', 'Image', '34,916']
['73', 'Batman Chronicles', '11', '$2.95', 'DC', '34,419']
['74', 'Man-Thing (variant cover)', '2', '$2.99', 'Marvel', '33,915']
['75', 'Elektra', '14', '$1.99', 'Marvel', '33,884']
['76', 'Satana', '1', '$2.99', 'Marvel', '33,274']
