['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['65', 'Walking Dead Vol. 1 Days Gone Bye', '', '$9.99', 'Image', '1,524']
['66', 'Wasteland Book 1 Cities in Dust', '', '$11.95', 'Oni', '1,501']
['67', 'Spider-Girl Vol. 8 Duty Calls Digest', '', '$7.99', 'Marvel', '1,501']
['68', 'Spider-Man\nVisionaries Roger Stern Vol. 1', '$24.99', 'Marvel', '1,462']
['69', 'Battle Pope Vol. 3 Pillow Talk', '', '$12.99', 'Image', '1,462']
['70', 'Star Wars Legacy Vol. 1 Broken ', '', '$17.95', 'Dark Horse', '1,439']
['71', 'Tenjho Tenge Vol. 13 ', '', '$9.99', 'DC ', '1,411']
['72', 'Loveholic Vol. 1', '', '$12.95', 'Digital Manga', '1,394']
['73', 'Cross Bronx Vol. 1', '', '$14.99', 'Image', '1,366']
['74', 'Vampire Knight Vol. 2 ', '', '$8.99', 'Viz', '1,366']
['75', 'Rozen Maiden Vol. 4', '', '$9.99', 'Tokyopop', '1,355']
['76', 'Little Lulu Vol. 15 Explorers ', '', '$9.95', 'Dark Horse', '1,338']
['77', 'Fables Vol. 1 Legends in Exile', '', '$9.99', 'DC ', '1,321']
['78', 'Marvel\nAdventures FF Vol. 5 All 4 One 4 For All Digest', '$6.99', 'Marvel', '1,282']
['79', 'G. I. Joe Declassified', '', '$18.99', "Devil's Due", '1,276']
['80', 'Walking Dead Vol. 5 Best Defense', '', '$12.99', 'Image', '1,248']
['81', 'Hikaru No Go Vol. 9 ', '', '$7.95', 'Viz', '1,248']
['82', 'Black Cat Vol. 8 ', '', '$7.99', 'Viz', '1,237']
['83', 'Fake Fur Vol. 1', '', '$12.95', 'Digital Manga', '1,231']
['84', 'Millennium Snow Vol. 1 ', '', '$8.99', 'Viz', '1,226']
['85', 'Rin Vol. 3', '', '$12.95', 'Digital Manga', '1,220']
['86', 'Fafhrd And The Gray Mouser ', '', '$19.95', 'Dark Horse', '1,209']
['87', 'Rg Veda Vol. 9', '', '$9.99', 'Tokyopop', '1,209']
['88', 'Hana Kimi Vol. 17', '', '$9.99', 'Viz', '1,198']
['89', 'Old Boy Vol. 5 ', '', '$12.95', 'Dark Horse', '1,192']
['90', 'D Gray Man Vol. 5', '', '$7.99', 'Viz', '1,181']
['91', 'Shaman King Vol. 12 ', '', '$7.95', 'Viz', '1,181']
['92', 'Wallflower Vol. 11', '', '$10.95', 'Random House', '1,158']
['93', 'Is Vol. 13', '', '$7.99', 'Viz', '1,113']
['94', 'Hack Slash Vol. 2 Death By Sequel', '', '$18.99', "Devil's Due", '1,113']
['95', 'Fables Vol. 8 Wolves', '', '$17.99', 'DC ', '1,113']
['96', 'Walking Dead Vol. 2 Miles Behind Us', '', '$12.99', 'Image', '1,102']
['97', 'Spider-Man Birth of Venom', '', '$29.99', 'Marvel', '1,085']
['98', 'School Rumble Vol. 5', '', '$10.95', 'Random House', '1,085']
['99', 'Astonishing X-Men Vol. 3 Torn', '', '$14.99', 'Marvel', '1,080']
['100', 'Yubisaki Milk Tea Vol. 4', '', '$9.99', 'Tokyopop', '1,080']
