['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['89', 'Spider-Man Back in Black Handbook', '3.99', '$3.99', 'Marvel', '23,486']
['90', 'X-Men First Class', '8', '$2.99', 'Marvel', '23,396']
['91', 'Astro City Dark Age Book Two', '3', '$2.99', 'DC', '22,704']
['92', 'JLA Classified', '37', '$2.99', 'DC', '22,328']
['93', 'JSA Classified', '25', '$2.99', 'DC', '22,030']
['94', 'Walking Dead', '37', '$2.99', 'Image', '21,715']
['95', 'Heroes For Hire', '9', '$2.99', 'Marvel', '21,422']
['96', 'Powers', '24', '$2.95', 'Marvel', '20,939']
['97', 'Shadowpact', '12', '$2.99', 'DC', '20,725']
['98', 'Captain America', '25 2nd Ptg Epting Var', '$3.99', 'Marvel', '20,680']
['99', 'Red Sonja', '21', '$2.99', 'Dynamic', '20,669']
['100', 'Spider-Man Family', '2', '$4.99', 'Marvel', '20,658']
['101', 'Midnighter', '6', '$2.99', 'DC', '20,540']
['102', 'Gen 13', '7', '$2.99', 'DC', '20,534']
['103', 'Fell', '8 (Res)', '$1.99', 'Image', '20,287']
['104', 'Jack of Fables', '9', '$2.99', 'DC', '20,253']
['105', 'Punisher Presents Barracuda Max', '3', '$3.99', 'Marvel', '20,129']
['106', 'Amazing Spider-Girl', '7', '$2.99', 'Marvel', '20,073']
['107', 'Catwoman', '66', '$2.99', 'DC', '19,876']
['108', 'New Avengers Illuminati Secret\nHistory', '', '$3.99', 'Marvel', '19,584']
['109', 'Avengers Earths Mightiest Heroes Ii', '8', '$3.99', 'Marvel', '19,483']
['110', 'Iron Man Hypervelocity', '4', '$2.99', 'Marvel', '18,836']
['111', 'Conan & Midnight God', '3', '$2.99', 'Dark Horse', '18,797']
['112', 'Ex Machina', '27', '$2.99', 'DC', '18,223']
['113', 'Dark Tower Gunslinger Born', '1', '$3.99', 'Marvel', '18,049']
['114', 'Transformers Prime Directive Movie\nPrequel', '3', '$3.99', 'IDW', '17,981']
['115', 'Thunderbolts Presents Zemo Born\nBetter', '3', '$2.99', 'Marvel', '17,942']
['116', 'Legion of Monsters Man-Thing', '1', '$2.99', 'Marvel', '17,897']
['117', 'Blade', '8', '$2.99', 'Marvel', '17,638']
['118', 'Aquaman Sword of Atlantis', '51', '$2.99', 'DC', '17,481']
['119', 'Tales of Unexpected', '7', '$3.99', 'DC', '17,385']
['120', 'Blue Beetle', '14', '$2.99', 'DC', '17,149']
['121', 'Battlestar Galactica', '8', '$2.99', 'Dynamic', '17,138']
['122', 'Danger Girl Body Shots', '1', '$2.99', 'DC', '17,104']
['123', 'Jonah Hex', '18', '$2.99', 'DC', '16,862']
['124', 'Savage Tales', '1', '$4.99', 'Dynamic', '16,862']
['125', 'Buffy The Vampire Slayer', '1', '$2.99', 'Dark Horse', '16,857']
['126', 'All New Atom', '10', '$2.99', 'DC', '16,722']
['127', 'Grifter Midnighter', '2', '$2.99', 'DC', '16,514']
['128', 'Manhunter', '30', '$2.99', 'DC', '16,356']
['129', 'BPRD Garden of Souls', '2', '$2.99', 'Dark Horse', '16,160']
['130', 'Civil War Confession', '', '$2.99', 'Marvel', '16,008']
['131', 'Irredeemable Ant-Man', '7', '$2.99', 'Marvel', '15,721']
['132', 'G. I. Joe Americas Elite', '22', '$3.50', "Devil's Due", '15,316']
