['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'New X-Men', '114', '$2.25', 'Marvel', '144,835']
['2', 'Uncanny X-Men', '394', '$2.25', 'Marvel', '136,081']
['3', 'X-Treme X-Men', '1', '$2.99', 'Marvel', '135,219']
['4', 'Ultimate X-Men', '6', '$2.25', 'Marvel', '106,962']
['5', 'Green Arrow', '4', '$2.50', 'DC', '85,317']
['6', 'Ultimate Spider-Man', '9', '$2.25', 'Marvel', '84,724']
['7', 'JLA', '54', '$2.25', 'DC', '74,229']
['8', 'Amazing Spider-Man', '31', '$2.25', 'Marvel', '73,743']
['9', 'Wolverine', '164', '$2.25', 'Marvel', '72,673']
['10', 'Brotherhood', '1', '$2.25', 'Marvel', '72,201']
['11', 'Avengers', '42', '$2.25', 'Marvel', '67,742']
['12', 'Ultimate Marvel Team Up Spider-Man\n& Iron Man', '4', '$2.25', 'Marvel', '66,164']
['13', 'Daredevil', '18 (Res)', '$2.99', 'Marvel', '62,971']
['14', 'Spawn', '110', '$2.50', 'Image', '55,912']
['15', 'Fantastic Four', '43', '$2.25', 'Marvel', '53,819']
['16', 'X-Force', '116', '$2.25', 'Marvel', '52,471']
['17', 'Peter Parker Spider-Man', '31', '$2.25', 'Marvel', '52,285']
['18', 'Rising Stars', '16', '$2.50', 'Image', '52,172']
['19', 'Tangled Web The Thousand', '2', '$2.99', 'Marvel', '46,803']
['20', 'Universe X', '10', '$3.50', 'Marvel', '45,473']
['21', 'Superman', '170', '$2.25', 'DC', '44,182']
['22', 'JLA Incarnations', '1', '$3.50', 'DC', '43,597']
['23', 'Thor', '37', '$2.25', 'Marvel', '43,497']
['24', 'Batman', '591', '$2.25', 'DC', '43,333']
['25', 'JSA', '24', '$2.50', 'DC', '41,365']
['26', 'Detective Comics', '758', '$2.50', 'DC', '41,049']
['27', 'Midnight Nation', '8', '$2.50', 'Image', '40,096']
['28', 'Iron Man', '42', '$2.25', 'Marvel', '39,688']
['29', 'Out There', '1', '$2.50', 'DC', '39,424']
['30', 'Captain America', '43', '$2.25', 'Marvel', '39,259']
['31', 'Batgirl', '16', '$2.50', 'DC', '38,458']
['32', 'Adventures Of Superman', '592', '$2.25', 'DC', '38,102']
['33', 'Nightwing', '57', '$2.25', 'DC', '37,868']
['34', 'Action Comics', '779', '$2.25', 'DC', '37,847']
['35', 'Thunderbolts', '52', '$2.25', 'Marvel', '37,743']
['36', 'Incredible Hulk', '28', '$2.25', 'Marvel', '37,639']
['37', 'Cable', '93', '$2.25', 'Marvel', '36,074']
['38', 'Superman The Man Of Steel', '114', '$2.25', 'DC', '36,018']
['39', 'Green Lantern', '138', '$2.25', 'DC', '35,823']
['40', 'JLA Black Baptism', '3', '$2.50', 'DC', '35,689']
['41', 'Batman Gotham Knights', '17', '$2.50', 'DC', '34,566']
['42', 'Batman Legends of the Dark Knight', '143', '$2.25', 'DC', '34,497']
['43', 'Just A Pilgrim', '3', '$2.99', 'Wizard', '33,123']
['44', 'Defenders', '5', '$2.25', 'Marvel', '33,050']
['45', 'Witchblade', '48', '$2.50', 'Image', '32,655']
['46', 'Marvel Knights', '13', '$2.99', 'Marvel', '31,030']
['47', 'Harley Quinn', '8', '$2.25', 'DC', '30,723']
['48', 'Titans', '29', '$2.50', 'DC', '30,489']
['49', 'Spectre', '5', '$2.50', 'DC', '30,389']
['50', 'Wonder Woman', '170', '$2.25', 'DC', '29,986']
['51', 'Thunderbolts Life Sentences', '', '$3.50', 'Marvel', '29,197']
['52', 'Robin', '90', '$2.25', 'DC', '28,764']
['53', 'Flash', '174', '$2.25', 'DC', '28,712']
['54', 'Star Wars Infinities A New Hope', '1', '$2.99', 'Dark Horse', '28,625']
['55', 'Aphrodite Ix', '0', '$2.95', 'Image', '28,539']
['56', 'Tom Strong', '14', '$2.95', 'DC', '28,101']
['57', 'Monarchy', '4', '$2.50', 'DC', '28,010']
['58', 'X-Men Hidden Years', '20', '$2.50', 'Marvel', '27,650']
