['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Amazing Spider-Man', '583', '$3.99', 'Marvel', '352,847']
['2', 'Dark Avengers', '1', '$3.99', 'Marvel', '118,543']
['3', 'Final Crisis', '6', '$3.99', 'DC', '110,858']
['4', 'Final Crisis', '7', '$3.99', 'DC', '103,261']
['5', 'New Avengers', '49', '$3.99', 'Marvel', '90,013']
['6', 'Captain America', '46', '$2.99', 'Marvel', '73,162']
['7', 'Batman', '685', '$2.99', 'DC', '72,632']
['8', 'Astonishing X-Men', '28', '$2.99', 'Marvel', '72,589']
['9', 'Justice League Of America', '29', '$2.99', 'DC', '72,095']
['10', 'Buffy The Vampire Slayer', '21', '$2.99', 'Dark Horse', '69,959']
['11', 'Green Lantern', '37', '$2.99', 'DC', '65,536']
['12', 'Amazing Spider-Man', '584', '$2.99', 'Marvel', '63,735']
['13', 'Uncanny X-Men Annual', '2', '$3.99', 'Marvel', '62,485']
['14', 'Justice Society Of America', '23', '$2.99', 'DC', '61,367']
['15', 'Amazing Spider-Man', '582', '$2.99', 'Marvel', '59,914']
['16', 'X-Men Legacy', '220', '$2.99', 'Marvel', '59,268']
['17', 'Detective Comics', '852', '$2.99', 'DC', '56,639']
['18', 'Fantastic Four', '563', '$2.99', 'Marvel', '52,731']
['19', 'Final Crisis Superman Beyond', '2', '$4.50', 'DC', '52,687']
['20', 'Action Comics', '873', '$2.99', 'DC', '51,925']
['21', 'X-Force', '11', '$2.99', 'Marvel', '51,801']
['22', 'Dark Tower Treachery', '5', '$3.99', 'Marvel', '50,668']
['23', 'Ultimate Spider-Man', '130', '$2.99', 'Marvel', '49,622']
['24', 'Invincible Iron Man', '9', '$2.99', 'Marvel', '49,208']
['25', 'Superman', '684', '$2.99', 'DC', '48,475']
['26', 'Avengers Initiative', '21', '$2.99', 'Marvel', '47,719']
['27', 'Secret Invasion War Of Kings One\nShot', '', '$3.99', 'Marvel', '47,465']
['28', 'Stand Captain Trips', '5', '$3.99', 'Marvel', '46,688']
['29', 'Final Crisis Revelations', '5', '$3.99', 'DC', '46,579']
['30', 'Deadpool', '6', '$2.99', 'Marvel', '46,535']
['31', 'Wolverine Origins', '32', '$2.99', 'Marvel', '44,683']
['32', 'Green Lantern Corps', '32', '$2.99', 'DC', '44,298']
['33', 'Punisher', '1', '$3.99', 'Marvel', '43,863']
['34', 'Daredevil', '115', '$2.99', 'Marvel', '40,202']
['35', 'Thunderbolts', '128', '$2.99', 'Marvel', '39,207']
['36', 'Marvel Zombies 3', '4', '$3.99', 'Marvel', '38,793']
['37', 'Superman Batman Annual', '3', '$3.99', 'DC', '38,510']
['38', 'Trinity', '32', '$2.99', 'DC', '38,321']
['39', 'Trinity', '33', '$2.99', 'DC', '38,313']
['40', 'Trinity', '34', '$2.99', 'DC', '37,921']
['41', 'Titans', '9', '$2.99', 'DC', '37,682']
['42', 'X-Infernus', '2', '$3.99', 'Marvel', '37,682']
['43', 'Trinity', '35', '$2.99', 'DC', '37,108']
['44', 'War Machine', '2', '$2.99', 'Marvel', '37,086']
['45', 'Teen Titans', '67', '$2.99', 'DC', '35,866']
['46', 'Nightwing', '152', '$2.99', 'DC', '35,626']
['47', 'Angel After The Fall', '16', '$3.99', 'IDW', '34,791']
['48', 'Supergirl', '37', '$2.99', 'DC', '34,050']
['49', 'Cable', '10', '$2.99', 'Marvel', '33,309']
['50', 'G.I. Joe', '1', '$3.99', 'IDW', '32,830']
['51', 'X-Factor', '39', '$2.99', 'Marvel', '32,786']
['52', 'Wonder Woman', '28', '$2.99', 'DC', '32,612']
['53', 'X-Men Kingbreaker', '2', '$3.99', 'Marvel', '32,176']
['54', 'Incredible Hercules', '125', '$2.99', 'Marvel', '31,878']
['55', 'Skaar Son Of Hulk', '7', '$2.99', 'Marvel', '31,087']
['56', 'X-Men Manifest Destiny', '5', '$3.99', 'Marvel', '29,939']
['57', 'Robin', '182', '$2.99', 'DC', '28,675']
['58', 'X-Men Noir', '2', '$3.99', 'Marvel', '28,595']
['59', 'Guardians Of Galaxy', '9', '$2.99', 'Marvel', '28,494']
['60', 'Dr Doom Masters Of Evil', '1', '$2.99', 'Marvel', '28,290']
['61', 'Amazing Spider-Man Extra', '2', '$3.99', 'Marvel', '27,462']
['62', 'Faces Of Evil Grundy', '1', '$2.99', 'DC', '27,085']
['63', 'Faces Of Evil Deathstroke', '1', '$2.99', 'DC', '26,990']
['64', 'Young X-Men', '10', '$2.99', 'Marvel', '26,925']
['65', 'Ms Marvel', '35', '$2.99', 'Marvel', '26,816']
['66', 'Boys', '26', '$2.99', 'Dynamic', '26,794']
['67', 'Faces Of Evil Prometheus', '1', '$2.99', 'DC', '26,496']
['68', 'Spider-Man Noir', '2', '$3.99', 'Marvel', '26,220']
['69', 'Punisher War Zone', '5', '$3.99', 'Marvel', '26,053']
['70', 'Star Wars Legacy', '32', '$2.99', 'Dark Horse', '25,806']
