['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Uncanny X-Men', '343', '$1.95', 'Marvel', '171,418']
['2', 'X-Men', '63', '$1.95', 'Marvel', '171,056']
['3', 'Fantastic Four', '6', '$1.95', 'Marvel', '155,710']
['4', 'WildC.A.T.S/X-Men', '1', '$4.50', 'Image', '150,476']
['5', 'Spawn', '59', '$1.95', 'Image', '141,361']
['6', 'Wolverine', '112', '$1.95', 'Marvel', '140,141']
['7', 'Iron Man', '6', '$1.95', 'Marvel', '136,794']
['8', 'Avengers', '6', '$1.95', 'Marvel', '120,151']
['9', 'Captain America', '6', '$1.95', 'Marvel', '116,580']
['10', 'Generation X', '26', '$1.95', 'Marvel', '111,691']
['11', 'Curse of the Spawn', '6', '$1.95', 'Image', '106,745']
['12', 'X-Man', '26', '$1.95', 'Marvel', '103,977']
['13', 'X-Force', '65', '$1.95', 'Marvel', '100,955']
['14', 'X-Factor', '133', '$1.95', 'Marvel', '99,805']
['15', 'Gen13', '17', '$2.50', 'Image', '98,549']
['16', 'Cable', '42', '$1.95', 'Marvel', '92,413']
['17', 'Darkness', '3', '$2.50', 'Image', '86,357']
['18', 'Witchblade', '12', '$2.50', 'Image', '83,623']
['19', 'JLA', '4', '$1.95', 'DC', '81,478']
['20', 'Excalibur', '108', '$1.95', 'Marvel', '81,202']
['21', 'Amazing Spider-Man', '422', '$1.95', 'Marvel', '79,471']
['22', 'Spider-Man', '79', '$1.95', 'Marvel', '74,144']
['23', 'Incredible Hulk', '452', '$1.95', 'Marvel', '73,879']
['24', 'Juggernaut', '1', '$2.99', 'Marvel', '70,487']
['25', 'Spectacular Spider-Man', '245', '$1.95', 'Marvel', '70,262']
['26', 'Gen13 Bootleg', '4', '$2.50', 'Image', '68,523']
['27', 'Deadpool', '4', '$1.95', 'Marvel', '67,966']
['28', 'Sensational Spider-Man', '15', '$1.95', 'Marvel', '66,150']
['29', 'Thunderbolts', '1', '$2.99', 'Marvel', '64,752']
['30', 'Batman', '541', '$1.95', 'DC', '60,087']
['31', 'X-Files', '27', '$2.95', 'Topps', '58,489']
['32', 'Darkchylde', '4', '$2.50', 'Image', '55,520']
['33', 'WildC.A.T.S', '35', '$2.50', 'Image', '54,841']
['34', 'Detective Comics', '708', '$1.95', 'DC', '54,835']
['35', 'Superman', '122', '$1.95', 'DC', '54,511']
['36', 'Supergirl', '8', '$1.95', 'DC', '53,519']
['37', 'Action Comics', '732', '$1.95', 'DC', '53,051']
['38', 'Adventures of Superman', '545', '$1.95', 'DC', '52,774']
['39', "Spider-Man: Dead Man's Hand", '', '$2.99', 'Marvel', '52,429']
['40', 'The Tenth', '1', '$2.50', 'Image', '52,204']
['41', 'Superman: The Man of Steel', '66', '$1.95', 'DC', '52,059']
['42', 'Elektra', '6', '$1.95', 'Marvel', '51,480']
['43', 'Batman: The Long Halloween', '5', '$2.95', 'DC', '51,392']
['44', 'Batman/Wildcat', '1', '$2.25', 'DC', '49,956']
['45', 'Lady Death: The Crucible', '3', '$2.95', 'Chaos', '49,818']
['46', 'Batman: Legends of the Dark Knight', '93', '$1.95', 'DC', '49,007']
['47', 'Preacher', '24', '$2.50', 'DC', '48,358']
['48', 'DV8', '5', '$2.50', 'Image', '48,052']
['49', 'Unknown Soldier', '1', '$2.50', 'DC', '46,856']
['50', 'Green Lantern', '85', '$1.75', 'DC', '45,828']
['51', 'Star Wars: Golden Age of the Sith', '5', '$2.95', 'Dark Horse', '45,552']
['52', 'Batman: Shadow of the Bat', '61', '$1.95', 'DC', '45,522']
['53', 'Nightwing', '7', '$1.95', 'DC', '44,945']
['54', "Kurt Busiek's Astro City Vol. 2", '7', '$2.50', 'Image', '43,833']
