['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['87', 'Booster Gold', '45', '$2.99', 'DC', '26,183']
['88', 'Kirby Genesis', '1', '$3.99', 'Dynamic Forces', '26,039']
['89', 'X-23', '11', '$2.99', 'Marvel', '25,985']
['90', 'Fear Itself Home Front', '3', '$3.99', 'Marvel', '25,738']
['91', 'Green Lantern Movie Prequel Kilowog', '1', '$2.99', 'DC', '25,496']
['92', 'Incredible Hulks Annual', '1', '$3.99', 'Marvel', '25,041']
['93', 'X-Factor', '220', '$2.99', 'Marvel', '24,926']
['94', 'Green Lantern Movie Prequel Abin Sur', '1', '$2.99', 'DC', '24,890']
['95', 'Ghost Rider', '0.1', '$2.99', 'Marvel', '24,830']
['96', 'Green Lantern Movie Prequel Tomar Re', '1', '$2.99', 'DC', '24,811']
['97', 'Daken Dark Wolverine', '10', '$2.99', 'Marvel', '24,724']
['98', 'Batman Beyond', '6', '$2.99', 'DC', '24,524']
['99', 'X-Factor', '221', '$2.99', 'Marvel', '24,502']
['100', 'Superboy', '8', '$2.99', 'DC', '24,037']
['101', 'Teen Titans', '96', '$2.99', 'DC', '23,849']
['102', 'Avengers Academy', '14.1', '$2.99', 'Marvel', '23,499']
['103', 'Fear Itself Deep', '1', '$2.99', 'Marvel', '23,467']
['104', 'Batgirl', '22', '$2.99', 'DC', '23,323']
['105', 'Flashpoint The Canterbury Cricket', '1', '$2.99', 'DC', '22,948']
['106', 'Legion of Super Heroes', '14', '$2.99', 'DC', '22,600']
['107', 'Fear Itself Fearsome Four', '1', '$2.99', 'Marvel', '22,418']
['108', 'Captain America Corps', '1', '$2.99', 'Marvel', '22,050']
['109', 'Wolverine Best There Is', '7', '$3.99', 'Marvel', '22,001']
['110', 'Iron Age Alpha', '1', '$2.99', 'Marvel', '21,671']
['111', 'Annihilators', '4', '$4.99', 'Marvel', '21,604']
['112', 'Fear Itself Black Widow', '1', '$3.99', 'Marvel', '21,340']
['113', 'Gotham City Sirens', '24', '$2.99', 'DC', '21,288']
['114', 'Adventure Comics', '527', '$2.99', 'DC', '21,211']
['115', 'Marvel Universe Vs Wolverine', '1', '$3.99', 'Marvel', '21,155']
['116', 'Supergirl', '65', '$2.99', 'DC', '20,985']
['117', 'Hellboy The Fury', '1', '$2.99', 'Dark Horse', '20,928']
['118', 'Silver Surfer', '5', '$2.99', 'Marvel', '20,686']
['119', 'Fear Itself Youth In Revolt', '2', '$2.99', 'Marvel', '20,376']
['120', 'Black Panther Man Without Fear', '519', '$2.99', 'Marvel', '19,883']
['121', 'Iron Man 2.0', '6', '$2.99', 'Marvel', '19,798']
['122', 'Titans', '36', '$2.99', 'DC', '19,780']
['123', 'Secret Six', '34', '$2.99', 'DC', '19,562']
['124', 'Black Panther Man Without Fear', '520', '$2.99', 'Marvel', '19,400']
['125', 'Iron Age', '1', '$4.99', 'Marvel', '19,135']
['126', 'Generation Hope', '8', '$2.99', 'Marvel', '18,883']
['127', 'DC Universe Online Legends', '9', '$2.99', 'DC', '18,759']
['128', 'Fables', '106', '$2.99', 'DC', '18,505']
['129', 'Boys', '55', '$3.99', 'Dynamic Forces', '18,330']
