['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Blackest Night', '4', '$3.99', 'DC', '137,086']
['2', 'Batman And Robin', '5', '$2.99', 'DC', '101,546']
['3', 'Green Lantern', '47', '$2.99', 'DC', '101,288']
['4', 'Blackest Night Batman', '3', '$2.99', 'DC', '86,708']
['5', 'Green Lantern Corps', '41', '$2.99', 'DC', '81,328']
['6', 'Blackest Night Superman', '3', '$2.99', 'DC', '78,218']
['7', 'New Avengers', '58', '$3.99', 'Marvel', '76,610']
['8', 'Dark Avengers', '10', '$3.99', 'Marvel', '75,572']
['9', 'Uncanny X-Men', '516', '$2.99', 'Marvel', '73,871']
['10', 'Amazing Spider-Man', '608', '$2.99', 'Marvel', '71,992']
['11', 'Batman', '691', '$2.99', 'DC', '71,388']
['12', 'Batman', '692', '$2.99', 'DC', '70,280']
['13', 'Astonishing X-Men', '31', '$2.99', 'Marvel', '67,024']
['14', 'Blackest Night Titans', '3', '$2.99', 'DC', '63,632']
['15', 'Ultimate Comics Avengers', '3', '$3.99', 'Marvel', '62,678']
['16', 'Amazing Spider-Man', '609', '$2.99', 'Marvel', '61,139']
['17', 'Justice League of America', '38', '$2.99', 'DC', '60,975']
['18', 'Dark Wolverine', '79', '$2.99', 'Marvel', '60,040']
['19', 'Detective Comics', '858', '$3.99', 'DC', '58,564']
['20', 'Web of Spider-Man', '1', '$3.99', 'Marvel', '58,377']
['21', 'Hulk', '16', '$3.99', 'Marvel', '56,777']
['22', 'Justice League Cry For Justice', '4', '$3.99', 'DC', '54,353']
['23', 'X-Men Legacy', '228', '$2.99', 'Marvel', '52,823']
['24', 'Ultimate Comics Spider-Man', '3', '$3.99', 'Marvel', '52,781']
['25', 'Mighty Avengers', '30', '$2.99', 'Marvel', '52,676']
['26', 'Batman Annual', '27', '$4.99', 'DC', '51,411']
['27', 'Deadpool', '900', '$4.99', 'Marvel', '51,306']
['28', 'Buffy The Vampire Slayer', '29', '$2.99', 'Dark Horse', '50,206']
['29', 'Haunt', '1', '$2.99', 'Image', '50,048']
['30', 'Incredible Hulk', '603', '$3.99', 'Marvel', '49,096']
['31', 'X-Force', '20', '$2.99', 'Marvel', '48,891']
['32', 'X Necrosha', '', '$3.99', 'Marvel', '47,865']
['33', 'Invincible Iron Man', '19', '$3.99', 'Marvel', '47,150']
['34', 'Superman Secret Origin', '2', '$3.99', 'DC', '46,812']
['35', 'Deadpool', '16', '$2.99', 'Marvel', '46,260']
['36', 'Dark Reign List Wolverine One Shot', '', '$3.99', 'Marvel', '45,931']
['37', 'Daredevil', '501', '$2.99', 'Marvel', '45,154']
['38', 'Justice Society of America', '32', '$2.99', 'DC', '44,858']
['39', 'Red Robin', '5', '$2.99', 'DC', '44,749']
['40', 'Adventure Comics', '3', '$3.99', 'DC', '44,404']
['41', 'Detective Comics Annual', '11', '$4.99', 'DC', '44,164']
['42', 'Fantastic Four', '572', '$2.99', 'Marvel', '41,914']
['43', 'Dark Reign List Hulk One Shot', '', '$3.99', 'Marvel', '41,670']
['44', 'Deadpool Merc With A Mouth', '4', '$2.99', 'Marvel', '40,130']
['45', 'Wolverine Origins', '41', '$2.99', 'Marvel', '39,429']
['46', 'Marvels Project', '3', '$3.99', 'Marvel', '39,289']
['47', 'Wolverine Weapon X', '6', '$3.99', 'Marvel', '38,423']
['48', 'Dark Reign List Secret Warriors One\nShot', '', '$3.99', 'Marvel', '37,867']
['49', 'Spider-Woman', '2 (Res)', '$2.99', 'Marvel', '37,233']
['50', 'Worlds Finest', '1', '$2.99', 'DC', '37,015']
['51', 'Batgirl', '3', '$2.99', 'DC', '36,989']
['52', 'Dark Reign List Punisher One Shot', '', '$3.99', 'Marvel', '36,769']
['53', 'Superman World of New Krypton', '8', '$2.99', 'DC', '36,650']
['54', 'Secret Warriors', '9', '$2.99', 'Marvel', '36,363']
['55', 'Superman', '693', '$2.99', 'DC', '35,374']
['56', 'Azrael', '1', '$2.99', 'DC', '35,290']
['57', 'New Mutants', '6', '$2.99', 'Marvel', '34,946']
['58', 'Action Comics', '882', '$3.99', 'DC', '34,733']
['59', 'Superman Batman', '65', '$2.99', 'DC', '34,564']
['60', 'Batman Streets of Gotham', '5', '$3.99', 'DC', '34,512']
['61', 'Gotham City Sirens', '5', '$2.99', 'DC', '32,995']
['62', 'X-Men Vs Agents of Atlas', '1', '$3.99', 'Marvel', '32,723']
['63', 'Thunderbolts', '137', '$3.99', 'Marvel', '32,389']
['64', 'Planetary', '27', '$3.99', 'DC', '31,672']
['65', 'Arkham Reborn', '1', '$2.99', 'DC', '31,500']
['66', 'Avengers Initiative', '29', '$2.99', 'Marvel', '31,393']
['67', 'Cable', '19', '$2.99', 'Marvel', '30,990']
['68', 'Supergirl', '46', '$2.99', 'DC', '30,359']
['69', 'X-Factor', '50', '$3.99', 'Marvel', '30,120']
['70', 'Teen Titans', '76', '$3.99', 'DC', '29,148']
['71', 'Titans', '18', '$2.99', 'DC', '28,198']
['72', 'Archie', '602', '$2.50', 'Archie', '28,194']
['73', 'Stand Soul Survivors', '1', '$3.99', 'Marvel', '27,708']
['74', 'Punisher', '10', '$2.99', 'Marvel', '27,151']
['75', 'Ultimate Comics Armor Wars', '2', '$3.99', 'Marvel', '27,071']
['76', 'Power Girl', '6', '$2.99', 'DC', '27,044']
['77', 'Wonder Woman', '37', '$2.99', 'DC', '26,956']
['78', 'Vengeance of Moon Knight', '2', '$2.99', 'Marvel', '26,477']
['79', 'Incredible Hercules', '136', '$2.99', 'Marvel', '26,431']
['80', 'Dark Avengers Ares', '1', '$3.99', 'Marvel', '25,979']
['81', 'Ms Marvel', '46', '$2.99', 'Marvel', '25,701']
['82', 'Walking Dead', '66', '$2.99', 'Image', '24,929']
['83', 'Batman The Unseen', '1', '$2.99', 'DC', '24,872']
['84', 'Boys', '35', '$2.99', 'Dynamic Forces', '24,826']
