['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Batman The Return', '1', '$4.99', 'DC', '99,545']
['2', 'Batman Incorporated', '1', '$3.99', 'DC', '95,587']
['3', 'Avengers', '7', '$3.99', 'Marvel', '89,758']
['4', 'Batman Return Of Bruce Wayne', '6', '$3.99', 'DC', '83,004']
['5', 'Batman And Robin', '16', '$3.99', 'DC', '80,343']
['6', 'Brightest Day', '13', '$2.99', 'DC', '79,955']
['7', 'Brightest Day', '14', '$2.99', 'DC', '78,452']
['8', 'Amazing Spider-Man', '648', '$3.99', 'Marvel', '77,033']
['9', 'Green Lantern', '59', '$2.99', 'DC', '76,173']
['10', 'Batman And Robin', '17', '$2.99', 'DC', '70,600']
['11', 'New Avengers', '6', '$3.99', 'Marvel', '66,724']
['12', 'Batman', '704', '$2.99', 'DC', '65,212']
['13', 'Secret Avengers', '7', '$3.99', 'Marvel', '59,999']
['14', 'Uncanny X-Men', '530', '$3.99', 'Marvel', '58,006']
['15', 'Flash', '6', '$2.99', 'DC', '57,673']
['16', 'Green Lantern Corps', '54', '$2.99', 'DC', '57,448']
['17', 'X-Men', '5', '$3.99', 'Marvel', '56,651']
['18', 'Uncanny X-Force', '2', '$3.99', 'Marvel', '56,518']
['19', 'Amazing Spider-Man', '647', '$4.99', 'Marvel', '55,819']
['20', 'Amazing Spider-Man', '649', '$3.99', 'Marvel', '52,586']
['21', 'Wolverine', '3', '$3.99', 'Marvel', '51,600']
['22', 'Justice League Of America', '51', '$3.99', 'DC', '50,887']
['23', 'Thor', '617', '$3.99', 'Marvel', '49,165']
['24', 'Captain America', '612', '$3.99', 'Marvel', '47,343']
['25', 'Green Lantern Emerald Warriors', '4', '$3.99', 'DC', '46,319']
['26', 'Superman', '705', '$2.99', 'DC', '46,261']
['27', 'Batwoman', '0', '$2.99', 'DC', '43,891']
['28', 'X-Men Legacy', '242', '$2.99', 'Marvel', '43,750']
['29', 'Avengers Prime', '4', '$3.99', 'Marvel', '41,932']
['30', 'Buffy the Vampire Slayer', '38', '$2.99', 'Dark Horse', '41,189']
['31', 'Invincible Iron Man', '32', '$3.99', 'Marvel', '40,978']
['32', 'Ultimate Comics Spider-Man', '150', '$5.99', 'Marvel', '40,553']
['33', 'Superboy', '1', '$2.99', 'DC', '39,701']
['34', 'Green Arrow', '6', '$2.99', 'DC', '39,575']
['35', 'Hulk', '27', '$3.99', 'Marvel', '38,691']
['36', 'Fantastic Four', '585', '$2.99', 'Marvel', '37,740']
['37', 'Generation Hope', '1', '$3.99', 'Marvel', '37,398']
['38', 'Detective Comics', '871', '$3.99', 'DC', '36,941']
['39', 'Ultimate Comics Avengers 3', '4', '$3.99', 'Marvel', '36,777']
['40', 'Avengers Childrens Crusade', '3', '$3.99', 'Marvel', '35,410']
['41', 'Incredible Hulks', '616', '$3.99', 'Marvel', '35,296']
['42', 'Superior', '2', '$2.99', 'Marvel', '34,688']
['43', 'Birds Of Prey', '6', '$2.99', 'DC', '34,440']
['44', 'Incredible Hulks', '617', '$3.99', 'Marvel', '34,340']
['45', 'Justice Society Of America', '45', '$2.99', 'DC', '33,582']
['46', 'Justice League Generation Lost', '13', '$2.99', 'DC', '33,504']
['47', 'Action Comics', '895', '$3.99', 'DC', '33,089']
['48', 'Justice League Generation Lost', '14', '$2.99', 'DC', '32,722']
['49', 'Daken Dark Wolverine', '3', '$2.99', 'Marvel', '32,679']
['50', 'Ultimate Comics Thor', '2', '$3.99', 'Marvel', '31,829']
['51', 'Red Robin', '17', '$2.99', 'DC', '31,825']
['52', 'Thunderbolts', '150', '$4.99', 'Marvel', '31,704']
['53', 'Batman Odyssey', '5', '$3.99', 'DC', '31,386']
['54', 'Deadpool', '29', '$2.99', 'Marvel', '31,350']
['55', 'Superman Batman', '78', '$2.99', 'DC', '31,337']
['56', 'X-23', '3', '$2.99', 'Marvel', '31,224']
['57', 'Vampirella', '1', '$3.99', 'Dynamic Forces', '29,215']
['58', 'Astonishing Thor', '1', '$3.99', 'Marvel', '29,202']
['59', 'Thanos Imperative', '6', '$3.99', 'Marvel', '29,188']
['60', 'Walking Dead', '79', '$2.99', 'Image', '28,971']
['61', 'Chaos War', '3', '$3.99', 'Marvel', '28,630']
['62', 'Batman Beyond', '6', '$2.99', 'DC', '28,485']
['63', 'X-Factor', '211', '$2.99', 'Marvel', '26,632']
['64', 'Teen Titans', '89', '$2.99', 'DC', '26,444']
['65', 'Legion Of Super Heroes', '7', '$3.99', 'DC', '26,439']
['66', 'Avengers Academy', '6', '$2.99', 'Marvel', '25,977']
['67', 'Batgirl', '15', '$2.99', 'DC', '25,827']
['68', 'New Mutants', '19', '$2.99', 'Marvel', '25,440']
['69', 'Supergirl', '58', '$2.99', 'DC', '25,412']
['70', 'Scarlet', '3', '$3.95', 'Marvel', '24,986']
['71', 'Adventure Comics', '520', '$3.99', 'DC', '24,540']
['72', 'Titans', '29', '$2.99', 'DC', '24,138']
['73', 'Secret Warriors', '22', '$2.99', 'Marvel', '24,059']
['74', 'Spider-Girl', '1', '$3.99', 'Marvel', '23,926']
['75', 'Captain America Man Out Of Time', '1', '$3.99', 'Marvel', '23,566']
['76', 'Deadpoolmax', '2', '$3.99', 'Marvel', '23,382']
['77', 'DC Universe Legacies', '7', '$3.99', 'DC', '23,215']
['78', 'Osborn', '1', '$3.99', 'Marvel', '23,152']
['79', 'Batman Streets Of Gotham', '17', '$3.99', 'DC', '22,390']
['80', 'True Blood', '5', '$3.99', 'IDW', '22,154']
['81', 'Red Hood Lost Days', '6', '$2.99', 'DC', '22,123']
['82', 'Gotham City Sirens', '17', '$2.99', 'DC', '22,107']
['83', 'Iron Man Thor', '1', '$3.99', 'Marvel', '21,416']
