['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['93', 'Avengers Arena', '11', '$2.99', 'Marvel', '24,487']
['94', 'X-Files Season 10', '1', '$3.99', 'IDW', '24,270']
['95', 'X-Men Legacy', '12', '$2.99', 'Marvel', '23,996']
['96', 'Animal Man', '21', '$2.99', 'DC', '23,862']
['97', 'Astonishing X-Men', '63', '$3.99', 'Marvel', '23,326']
['98', 'Suicide Squad', '21', '$2.99', 'DC', '22,907']
['99', 'Scarlet Spider', '18', '$2.99', 'Marvel', '22,766']
['100', 'Adventures of Superman', '2', '$3.99', 'DC', '22,407']
['101', 'Fatale', '15', '$3.50', 'Image', '22,373']
['102', 'Talon', '9', '$2.99', 'DC', '21,755']
['103', 'Ultimate Comics Ultimates', '25', '$3.99', 'Marvel', '21,636']
['104', 'Venom', '36', '$2.99', 'Marvel', '21,288']
['105', 'Btvs Season 9 Freefall', '22', '$2.99', 'Dark Horse', '21,194']
['106', 'Superboy', '21', '$2.99', 'DC', '20,952']
['107', 'Adventure Time', '17', '$3.99', 'Boom', '20,860']
['108', 'Ultimate Comics Ultimates', '26', '$3.99', 'Marvel', '20,785']
['109', 'Birds of Prey', '21', '$2.99', 'DC', '20,767']
['110', 'X-Factor', '257', '$2.99', 'Marvel', '20,264']
['111', 'Fearless Defenders', '5', '$2.99', 'Marvel', '20,168']
['112', 'X-Factor', '258', '$2.99', 'Marvel', '20,154']
['113', 'Captain Marvel', '13', '$2.99', 'Marvel', '19,673']
['114', 'Regular Show', '2', '$3.99', 'Boom', '19,507']
['115', 'Ultimate Comics X-Men', '28', '$3.99', 'Marvel', '19,421']
['116', 'Ultimate Comics X-Men', '27', '$3.99', 'Marvel', '19,298']
['117', 'Batman Lil Gotham', '3', '$2.99', 'DC', '18,578']
['118', 'He Man and the Masters of The Universe', '3', '$2.99', 'DC', '18,277']
['119', 'Gambit', '14', '$2.99', 'Marvel', '18,027']
['120', 'Movement', '2', '$2.99', 'DC', '18,001']
['121', 'Sex', '4', '$2.99', 'Image', '17,938']
['122', 'Tmnt Ongoing', '23', '$3.99', 'IDW', '17,772']
['123', 'Peter Panzerfaust', '11', '$3.50', 'Image', '17,683']
['124', '100 Bullets Brother Lono', '1', '$3.99', 'DC', '17,489']
['125', 'Winter Soldier', '19', '$2.99', 'Marvel', '17,264']
['126', 'Wolverine Max', '8', '$3.99', 'Marvel', '17,247']
['127', 'Trinity of Sin The Phantom Stranger', '9', '$2.99', 'DC', '17,241']
['128', 'Masters of The Universe Origin of Hordak', '1', '$2.99', 'DC', '17,113']
['129', 'Manhattan Projects', '12', '$3.50', 'Image', '17,076']
['130', 'Legends of The Dark Knight', '9', '$3.99', 'DC', '16,678']
['131', 'Journey Into Mystery', '653', '$2.99', 'Marvel', '16,343']
['132', 'Uber', '2', '$3.99', 'Avatar', '16,160']
['133', 'Star Wars Legacy II', '4', '$2.99', 'Dark Horse', '16,147']
['134', 'Bounce', '2', '$2.99', 'Image', '16,125']
['135', 'Spawn', '232', '$2.99', 'Image', '16,077']
['136', 'Extinction Parade', '1', '$3.99', 'Avatar', '16,061']
['137', 'American Vampire The Long Road To Hell', '1', '$6.99', 'DC', '16,042']
['138', 'All Star Western', '21', '$3.99', 'DC', '15,788']
['139', 'Herobear and the Kid Special', '1', '$3.99', 'Boom', '15,491']
['140', 'Batman Beyond Unlimited', '17', '$3.99', 'DC', '15,464']
['141', 'Fables', '130', '$2.99', 'DC', '15,129']
['142', 'Smallville Season 11', '14', '$3.99', 'DC', '15,097']
['143', 'Invincible', '103', '$2.99', 'Image', '15,072']
['144', 'Legion of Super Heroes', '21', '$2.99', 'DC', '14,997']
['145', 'Star Wars Darth Vader & Ninth Assassin', '3', '$3.50', 'Dark Horse', '14,806']
['146', 'Morbius Living Vampire', '6', '$2.99', 'Marvel', '14,584']
['147', 'Green Team Teen Trillionaires', '2', '$2.99', 'DC', '14,328']
['148', 'Fairest', '16', '$2.99', 'DC', '14,289']
['149', 'Harbinger Wars', '3', '$3.99', 'Valiant', '14,012']
['150', 'Batman Arkham Unhinged', '15', '$3.99', 'DC', '13,729']
['151', 'Justice League of Americas Vibe', '5', '$2.99', 'DC', '13,706']
['152', 'Angel & Faith', '23', '$2.99', 'Dark Horse', '13,668']
['153', 'Revival', '11', '$2.99', 'Image', '13,536']
['154', 'Morning Glories', '28', '$3.99', 'Image', '13,530']
['155', 'Red She-Hulk', '66', '$2.99', 'Marvel', '13,403']
['156', 'Archer & Armstrong', '10', '$3.99', 'Valiant', '13,241']
['157', 'X-O Manowar', '14', '$3.99', 'Valiant', '13,227']
['158', 'Uncanny', '1', '$3.99', 'Dynamic Forces', '13,192']
['159', 'Doctor Who Prisoners of Time', '6', '$3.99', 'IDW', '13,018']
['160', 'Katana', '5', '$2.99', 'DC', '12,998']
['161', 'Harbinger', '13', '$3.99', 'Valiant', '12,930']
['162', 'Masks', '8', '$3.99', 'Dynamic Forces', '12,794']
['163', 'Marvels Thor Dark World Prelude', '1', '$2.99', 'Marvel', '12,528']
['164', 'Batwing', '21', '$2.99', 'DC', '12,437']
['165', 'Fury Max', '13', '$3.99', 'Marvel', '12,426']
['166', 'Conan The Barbarian', '17', '$3.50', 'Dark Horse', '12,395']
['167', 'Stormwatch', '21', '$2.99', 'DC', '12,277']
['168', 'Star Wars Dark Times Fire Carrier', '5', '$2.99', 'Dark Horse', '12,145']
['169', 'Bloodshot', '12', '$3.99', 'Valiant', '12,145']
['170', 'Django Unchained', '4', '$4.99', 'DC', '12,119']
['171', 'Shadowman', '7', '$3.99', 'Valiant', '12,017']
['172', 'Dial H', '13', '$2.99', 'DC', '11,905']
['173', 'Dark Tower Gunslinger Evil Ground', '2', '$3.99', 'Marvel', '11,890']
['174', 'Demon Knights', '21', '$2.99', 'DC', '11,627']
['175', 'Five Ghosts Haunting of Fabian Gray', '4', '$2.99', 'Image', '11,357']
['176', 'Ame Comi Girls', '4', '$3.99', 'DC', '11,229']
['177', 'Thumbprint By Joe Hill', '1', '$3.99', 'IDW', '11,185']
['178', 'Sonic Universe', '53', '$2.99', 'Archie', '11,123']
['179', 'Powers Bureau', '5', '$3.95', 'Marvel', '11,092']
['180', 'TMNT Villain Microseries', '3', '$3.99', 'IDW', '10,933']
['181', 'Bedlam', '7', '$3.50', 'Image', '10,875']
['182', 'G.I. Joe', '5', '$3.99', 'IDW', '10,866']
['183', 'Django Unchained', '5', '$4.99', 'DC', '10,856']
['184', 'Wild Blue Yonder', '1', '$3.99', 'IDW', '10,840']
['185', 'Star Trek Ongoing', '22', '$3.99', 'IDW', '10,799']
['186', 'BPRD Vampire', '4', '$3.50', 'Dark Horse', '10,674']
['187', 'Battlestar Galactica', '2', '$3.99', 'Dynamic Forces', '10,503']
['188', 'Locke & Key Omega', '5', '$3.99', 'IDW', '10,368']
['189', 'Abe Sapien Dark & Terrible', '3', '$3.50', 'Dark Horse', '10,250']
['190', 'Doctor Who Vol. 3', '10', '$3.99', 'IDW', '10,234']
['191', 'Threshold', '6', '$3.99', 'DC', '10,184']
['192', 'Unwritten', '50', '$4.99', 'DC', '10,124']
['193', 'BPRD Hell On Earth', '108', '$3.50', 'Dark Horse', '10,093']
['194', 'Shadow', '14', '$3.99', 'Dynamic Forces', '10,071']
['195', 'Grimm', '2', '$3.99', 'Dynamic Forces', '9,961']
['196', 'Miss Fury', '3', '$3.99', 'Dynamic Forces', '9,834']
['197', 'Godzilla Rulers of The Earth', '1', '$3.99', 'IDW', '9,813']
['198', 'King Conan Hour of the Dragon', '2', '$3.50', 'Dark Horse', '9,808']
['199', 'Invincible Universe', '3', '$2.99', 'Image', '9,778']
['200', 'Arrow', '8', '$3.99', 'DC', '9,671']
['201', 'Transformers Robots In Disguise', '18', '$3.99', 'IDW', '9,495']
['202', 'Judge Dredd', '8', '$3.99', 'IDW', '9,469']
['203', 'Aphrodite IX', '2', '$2.99', 'Image', '9,414']
['204', 'Transformers More Than Meets Eye', '18', '$3.99', 'IDW', '9,394']
['205', 'Massive', '13', '$3.50', 'Dark Horse', '9,371']
['206', 'Mega Man', '26', '$2.99', 'Archie', '9,290']
['207', 'Alpha Big Time', '5', '$2.99', 'Marvel', '9,278']
['208', 'Transformers Regeneration One', '92', '$3.99', 'IDW', '9,206']
['209', 'Mara', '5', '$2.99', 'Image', '9,177']
['210', 'Dream Merchant', '2', '$3.50', 'Image', '8,930']
['211', 'Marvel Backlist Reading Chronology', '1', '$1.99', 'Marvel', '8,837']
['212', 'Black Bat', '2', '$3.99', 'Dynamic Forces', '8,682']
['213', 'Garth Ennis Red Team', '3', '$3.99', 'Dynamic Forces', '8,645']
