['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Walking Dead', '115', '$2.99', 'Image', '310,584']
['2', 'Batman', '24', '$6.99', 'DC', '124,652']
['3', 'Infinity', '4', '$3.99', 'Marvel', '113,003']
['4', 'Forever Evil', '2', '$3.99', 'DC', '112,944']
['5', 'Infinity', '5', '$3.99', 'Marvel', '106,567']
['6', 'Justice League', '24', '$3.99', 'DC', '98,491']
['7', 'Superman Wonder Woman', '1', '$3.99', 'DC', '94,859']
['8', 'Sandman Overture', '1*', '$4.99', 'DC', '93,301']
['9', 'Superior Spider-Man', '20', '$3.99', 'Marvel', '85,309']
['10', 'Superior Spider-Man', '19', '$3.99', 'Marvel', '83,671']
['11', 'Batman Superman', '4', '$3.99', 'DC', '82,990']
['12', 'All New X-Men', '17', '$3.99', 'Marvel', '82,843']
['13', 'Justice League of America', '8', '$3.99', 'DC', '77,305']
['14', 'Uncanny X-Men', '13', '$3.99', 'Marvel', '75,202']
['15', 'X-Men Battle of Atom', '2', '$3.99', 'Marvel', '73,894']
['16', 'X-Men', '6', '$3.99', 'Marvel', '71,990']
['17', 'Avengers', '21', '$3.99', 'Marvel', '71,751']
['18', 'Avengers', '22', '$3.99', 'Marvel', '70,735']
['19', 'Guardians of Galaxy', '7', '$3.99', 'Marvel', '68,647']
['20', 'Guardians of Galaxy', '8', '$3.99', 'Marvel', '63,494']
['21', 'Damian Son of Batman', '1', '$3.99', 'DC', '63,453']
['22', 'New Avengers', '11', '$3.99', 'Marvel', '63,231']
['23', 'Uncanny Avengers', '13', '$3.99', 'Marvel', '60,597']
['24', 'Detective Comics', '24', '$3.99', 'DC', '59,310']
['25', 'Wolverine and X-Men', '37', '$3.99', 'Marvel', '57,434']
['26', 'Green Lantern', '24', '$2.99', 'DC', '57,109']
['27', 'All New X-Men Special', '1', '$4.99', 'Marvel', '56,925']
['28', 'The Star Wars', '2', '$3.99', 'Dark Horse', '56,165']
['29', 'Mighty Avengers', '2', '$3.99', 'Marvel', '54,862']
['30', 'Saga', '15', '$2.99', 'Image', '54,816']
['31', 'Batman and Two Face', '24', '$2.99', 'DC', '52,060']
['32', 'Forever Evil Arkham War', '1', '$2.99', 'DC', '52,004']
['33', 'Green Lantern Annual', '2', '$4.99', 'DC', '47,861']
['34', 'Deadpool', '18', '$2.99', 'Marvel', '47,096']
['35', 'Thor God of Thunder', '14', '$3.99', 'Marvel', '46,008']
['36', 'Pretty Deadly', '1*', '$3.50', 'Image', '45,833']
['37', 'Justice League Dark', '24', '$3.99', 'DC', '45,401']
['38', 'Batman The Dark Knight', '24', '$2.99', 'DC', '43,382']
['39', 'Indestructible Hulk Special', '1', '$4.99', 'Marvel', '42,970']
['40', 'Aquaman', '24', '$2.99', 'DC', '42,248']
['41', 'Velvet', '1*', '$3.50', 'Image', '41,897']
['42', 'Afterlife With Archie', '1', '$2.99', 'Archie', '41,533']
['43', 'Indestructible Hulk', '14', '$3.99', 'Marvel', '40,963']
['44', 'Superior Spider-Man Team Up Special', '1', '$4.99', 'Marvel', '40,796']
['45', 'Walking Dead Tyreese Special', '\n', '$2.99', 'Image', '40,572']
['46', 'Hawkeye', '13', '$2.99', 'Marvel', '40,476']
['47', 'Kick-Ass 3', '4', '$2.99', 'Marvel', '40,412']
['48', 'Hunger', '3', '$3.99', 'Marvel', '39,915']
['49', 'Nightwing', '24', '$2.99', 'DC', '39,853']
['50', 'Walking Dead 10th Anniversary Edition', '1', '$5.99', 'Image', '39,780']
['51', 'Action Comics', '24', '$3.99', 'DC', '39,620']
['52', 'Superman', '24', '$2.99', 'DC', '39,580']
['53', 'Iron Man', '17', '$3.99', 'Marvel', '39,047']
['54', 'Deadpool Kills Deadpool', '4', '$2.99', 'Marvel', '38,912']
['55', 'Captain America', '12', '$3.99', 'Marvel', '38,684']
['56', 'Earth 2', '16', '$2.99', 'DC', '38,389']
['57', 'Marvel Knights Spider-Man', '1', '$3.99', 'Marvel', '38,379']
['58', 'Flash', '24', '$2.99', 'DC', '38,190']
['59', 'Cataclysm', '0.1', '$3.99', 'Marvel', '37,589']
['60', 'Batman Black & White', '2', '$4.99', 'DC', '37,523']
['61', 'Green Lantern Corps', '24', '$2.99', 'DC', '37,312']
['62', 'Hunger', '4', '$3.99', 'Marvel', '36,775']
['63', 'Batgirl', '24', '$2.99', 'DC', '36,666']
['64', 'Forever Evil Rogues Rebellion', '1', '$2.99', 'DC', '36,545']
['65', 'Savage Wolverine', '9', '$3.99', 'Marvel', '36,451']
['66', 'Superior Spider-Man Team Up', '4', '$3.99', 'Marvel', '36,296']
['67', 'Nightwing Annual', '1', '$4.99', 'DC', '36,108']
['68', 'Star Wars', '10', '$2.99', 'Dark Horse', '36,019']
['69', 'Iron Man', '16', '$3.99', 'Marvel', '35,924']
['70', 'Green Lantern New Guardians', '24', '$2.99', 'DC', '35,417']
['71', 'Aquaman Annual', '1', '$4.99', 'DC', '35,403']
['72', 'Catwoman', '24', '$2.99', 'DC', '35,134']
['73', 'Daredevil', '32', '$2.99', 'Marvel', '34,957']
['74', 'Action Comics Annual', '2', '$4.99', 'DC', '34,668']
['75', 'Wolverine', '10', '$3.99', 'Marvel', '34,651']
['76', 'Teen Titans', '24', '$2.99', 'DC', '34,536']
['77', 'Wonder Woman', '24', '$2.99', 'DC', '34,308']
['78', 'Savage Wolverine', '10', '$3.99', 'Marvel', '33,627']
['79', 'Superior Carnage', '4', '$3.99', 'Marvel', '33,159']
['80', 'Uncanny X-Force', '12', '$3.99', 'Marvel', '32,559']
['81', 'Captain America Living Legend', '1', '$3.99', 'Marvel', '32,495']
['82', 'Nova', '9', '$3.99', 'Marvel', '32,323']
['83', 'Forever Evil Argus', '1', '$2.99', 'DC', '32,146']
['84', 'Fantastic Four', '13', '$2.99', 'Marvel', '31,561']
['85', 'Ultimate Comics Spider-Man', '28', '$3.99', 'Marvel', '31,462']
['86', 'Red Lanterns', '24', '$2.99', 'DC', '30,771']
['87', 'Cable and X-Force', '15', '$3.99', 'Marvel', '30,658']
['88', 'Uncanny X-Force', '13', '$3.99', 'Marvel', '30,567']
['89', 'Superior Spider-Man Team Up', '5', '$3.99', 'Marvel', '30,424']
['90', 'Batman 66', '4', '$3.99', 'DC', '30,099']
['91', 'Thunderbolts', '16', '$2.99', 'Marvel', '29,334']
['92', 'Secret Avengers', '10', '$3.99', 'Marvel', '29,134']
['93', 'Avengers Assemble', '20', '$3.99', 'Marvel', '28,886']
['94', 'Infinity Hunt', '2', '$3.99', 'Marvel', '28,694']
['95', 'Thunderbolts', '17', '$2.99', 'Marvel', '28,324']
['96', 'Suicide Squad', '24', '$2.99', 'DC', '27,762']
['97', 'Red Hood and the Outlaws', '24', '$2.99', 'DC', '27,128']
['98', 'Teen Titans Annual', '2', '$4.99', 'DC', '26,957']
['99', 'Superior Foes of Spider-Man Now', '4', '$2.99', 'Marvel', '26,884']
['100', 'Avengers Ai', '4', '$2.99', 'Marvel', '25,770']
['101', 'Young Avengers', '11', '$2.99', 'Marvel', '25,754']
['102', 'Trinity of Sin Pandora', '4', '$2.99', 'DC', '25,708']
['103', 'Batwoman', '24', '$2.99', 'DC', '25,609']
['104', 'Captain America Living Legend', '2', '$3.99', 'Marvel', '25,546']
['105', 'Injustice Gods Among Us', '10', '$3.99', 'DC', '24,788']
['106', 'Green Arrow', '24', '$2.99', 'DC', '24,620']
['107', 'FF', '13', '$2.99', 'Marvel', '23,997']
['108', 'Lazarus', '4', '$2.99', 'Image', '23,701']
['109', 'My Little Pony Friendship Is Magic', '12', '$3.99', 'IDW', '23,686']
['110', 'Samurai Jack', '1', '$3.99', 'IDW', '23,661']
['111', 'Infinity Hunt', '3', '$3.99', 'Marvel', '23,645']
['112', 'Supergirl', '24', '$2.99', 'DC', '23,321']
['113', 'Infinity Heist', '2', '$3.99', 'Marvel', '23,248']
['114', 'Avengers AI', '5', '$2.99', 'Marvel', '23,146']
['115', 'DC Vs Masters of the Universe', '2', '$2.99', 'DC', '23,037']
