['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Batman', '616', '$2.25', 'DC', '141,988']
['2', 'Ultimate X-Men', '34', '$2.25', 'Marvel', '110,949']
['3', 'Ultimate Spider-Man', '42', '$2.25', 'Marvel', '100,328']
['4', 'Wolverine', '2', '$2.25', 'Marvel', '100,044']
['5', 'New X-Men', '142', '$2.25', 'Marvel', '98,071']
['6', 'Uncanny X-Men', '425', '$2.25', 'Marvel', '91,710']
['7', 'Uncanny X-Men', '426', '$2.25', 'Marvel', '89,878']
['8', 'Incredible Hulk', '56', '$2.25', 'Marvel', '68,651']
['9', 'Transformers Generation One Vol. 2', '3', '$2.95', 'Dreamwave', '67,331']
['10', 'Venom', '2', '$2.25', 'Marvel', '67,075']
['11', 'Spider-Man & Wolverine', '1', '$2.99', 'Marvel', '66,848']
['12', 'X-Treme X-Men', '27', '$2.99', 'Marvel', '64,036']
['13', 'Born', '1', '$3.50', 'Marvel', '63,667']
['14', 'Daredevil', '48', '$2.99', 'Marvel', '59,976']
['15', 'JLA', '82', '$2.25', 'DC', '58,584']
['16', 'Avengers', '68', '$2.25', 'Marvel', '57,690']
['17', 'Fantastic Four', '70', '$2.25', 'Marvel', '53,160']
['18', 'Marvel Universe The End', '6', '$2.99', 'Marvel', '50,093']
['19', 'Peter Parker Spider-Man', '57', '$2.25', 'Marvel', '48,773']
['20', 'Outsiders', '1', '$2.50', 'DC', '47,750']
['21', 'Green Arrow', '27', '$2.50', 'DC', '47,197']
['22', 'Captain America', '14', '$2.99', 'Marvel', '45,720']
['23', 'New Mutants', '2', '$2.50', 'Marvel', '45,649']
['24', 'JSA', '49', '$2.50', 'DC', '43,817']
['25', 'G.I. Joe', '18', '$2.95', 'Image', '41,219']
['26', 'Kingpin', '1', '$2.50', 'Marvel', '40,850']
['27', 'Batman/Superman/Wonder Woman Trinity', '1', '$6.95', 'DC', '39,941']
['28', 'Punisher', '28', '$2.99', 'Marvel', '39,501']
['29', 'Exiles', '28', '$2.99', 'Marvel', '39,118']
['30', 'Dark Days', '1', '$3.99', 'IDW', '38,819']
['31', 'Planetary/Batman Night On Earth', '', '$5.95', 'DC', '38,734']
['32', 'JSA All Stars', '2', '$2.50', 'DC', '38,195']
['33', 'Mystique', '3', '$2.99', 'Marvel', '38,010']
['34', 'Wolverine Snikt', '2', '$2.99', 'Marvel', '37,698']
['35', 'Detective Comics', '783', '$2.75', 'DC', '37,669']
['36', 'Hulk Nightmerica', '1', '$2.99', 'Marvel', '37,414']
['37', 'Authority Vol. 2', '2', '$2.95', 'DC', '37,158']
['38', 'Transformers Armada', '12', '$2.95', 'Dreamwave', '36,974']
['39', 'Green Lantern', '166', '$2.25', 'DC', '36,036']
['40', 'Titans/Young Justice Graduation Day', '3', '$2.50', 'DC', '35,838']
['41', 'X-Men Unlimited', '48', '$2.50', 'Marvel', '34,375']
['42', 'Thundercats Dogs of War', '1', '$2.95', 'DC', '34,191']
['43', 'Truth Red White Black', '6', '$3.50', 'Marvel', '33,935']
['44', 'Thundercats Return', '5', '$2.95', 'DC', '33,722']
['45', 'Superman', '194', '$2.25', 'DC', '33,623']
['46', 'Thor', '65', '$2.99', 'Marvel', '33,509']
['47', 'Astro City Local Heroes', '3', '$2.95', 'DC', '33,239']
['48', 'Superman Red Son', '2', '$5.95', 'DC', '32,757']
['49', 'Flash', '199', '$2.25', 'DC', '32,515']
['50', 'Teenage Mutant Ninja Turtles\nAnimated', '1', '$2.95', 'Dreamwave', '32,331']
['51', 'Iron Man', '69', '$2.99', 'Marvel', '32,032']
['52', 'Hulk Movie Adaptation', '', '$3.50', 'Marvel', '31,947']
['53', 'Action Comics', '804', '$2.25', 'DC', '31,550']
['54', 'Aquaman', '7', '$2.50', 'DC', '30,669']
['55', 'Batgirl Year One', '7', '$2.95', 'DC', '30,343']
['56', 'Batgirl', '41', '$2.50', 'DC', '29,746']
['57', 'Nightwing', '82', '$2.25', 'DC', '29,604']
['58', 'Hawkman', '16', '$2.50', 'DC', '29,533']
['59', 'Batman Gotham Knights', '42', '$2.75', 'DC', '29,462']
['60', 'Adventures of Superman', '617', '$2.25', 'DC', '29,235']
['61', 'Inhumans', '2', '$2.50', 'Marvel', '28,696']
['62', 'Namor', '3', '$2.25', 'Marvel', '28,554']
['63', 'Captain Marvel', '11', '$2.99', 'Marvel', '28,071']
['64', 'Arkham Asylum Living Hell', '2', '$2.50', 'DC', '27,901']
['65', 'Paradise X', '11', '$2.99', 'Marvel', '27,688']
['66', 'Alias', '23', '$2.99', 'Marvel', '27,475']
['67', 'Wolverine Doop', '2', '$2.99', 'Marvel', '27,446']
['68', 'Lobo Unbound', '1', '$2.95', 'DC', '27,375']
['69', 'X-Men Ronin', '5', '$2.99', 'Marvel', '26,907']
['70', 'JLA Scary Monsters', '4', '$2.50', 'DC', '26,878']
['71', 'Magdalena Vampirella*', '', '$2.99', 'Image', '26,878']
['72', 'Birds of Prey', '56', '$2.50', 'DC', '26,850']
['73', 'Powers', '32', '$2.95', 'Image', '26,821']
['74', 'Superman & Batman\nGenerations III', '6', '$2.95', 'DC', '26,651']
['75', 'Darkness Vol. 2', '4', '$2.99', 'Image', '26,608']
['76', 'Elektra', '24', '$2.99', 'Marvel', '26,069']
['77', 'Batman Legends of the Dark Knight', '168', '$2.50', 'DC', '26,055']
['78', 'Y The Last Man', '12', '$2.95', 'DC', '26,012']
['79', 'Agent X', '11', '$2.99', 'Marvel', '25,870']
['80', 'Wonder Woman', '193', '$2.25', 'DC', '25,643']
['81', 'Human Torch', '3', '$2.50', 'Marvel', '25,331']
['82', 'Domino', '2', '$2.50', 'Marvel', '25,316']
['83', 'Fables', '14', '$2.50', 'DC', '25,274']
['84', 'Eternal', '1', '$2.99', 'Marvel', '25,217']
['85', 'Agent X', '12', '$2.99', 'Marvel', '24,393']
['86', 'Terra Obscura', '1', '$2.95', 'DC', '23,485']
['87', 'Spider-Girl', '61', '$2.99', 'Marvel', '23,471']
