['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Secret Invasion', '8', '$3.99', 'Marvel', '152,408']
['2', 'Final Crisis', '5', '$3.99', 'DC', '109,166']
['3', 'Secret Invasion Dark Reign', '', '$3.99', 'Marvel', '102,913']
['4', 'New Avengers', '47', '$2.99', 'Marvel', '95,689']
['5', 'New Avengers', '48', '$2.99', 'Marvel', '93,895']
['6', 'Batman', '682', '$2.99', 'DC', '93,456']
['7', 'Batman', '683', '$2.99', 'DC', '90,260']
['8', 'Hulk', '9', '$2.99', 'Marvel', '87,774']
['9', 'Mighty Avengers', '20', '$2.99', 'Marvel', '86,073']
['10', 'Ultimatum', '2', '$3.99', 'Marvel', '85,615']
['11', 'Wolverine', '70', '$2.99', 'Marvel', '83,344']
['12', 'Uncanny X-Men', '505', '$2.99', 'Marvel', '82,260']
['13', 'Batman', '684', '$2.99', 'DC', '79,942']
['14', 'Justice League of America', '27', '$2.99', 'DC', '75,793']
['15', 'Thor', '12', '$2.99', 'Marvel', '73,774']
['16', 'Justice League of America', '28', '$2.99', 'DC', '72,718']
['17', 'Buffy The Vampire Slayer', '20', '$2.99', 'Dark Horse', '71,886']
['18', 'Captain America', '45', '$2.99', 'Marvel', '71,176']
['19', 'Amazing Spider-Man', '579', '$2.99', 'Marvel', '69,774']
['20', 'Justice Society of America', '21', '$2.99', 'DC', '69,653']
['21', 'Amazing Spider-Man', '581', '$2.99', 'Marvel', '68,896']
['22', 'Dark Reign New Nation', '', '$3.99', 'Marvel', '68,475']
['23', 'Justice Society of America', '22', '$2.99', 'DC', '67,606']
['24', 'Detective Comics', '851', '$2.99', 'DC', '64,952']
['25', 'Green Lantern', '36', '$2.99', 'DC', '64,746']
['26', 'Secret Invasion Requiem', '1', '$3.99', 'Marvel', '63,456']
['27', 'Amazing Spider-Man', '580', '$2.99', 'Marvel', '62,970']
['28', 'X-Men Legacy', '219', '$2.99', 'Marvel', '60,578']
['29', 'X-Force', '10', '$2.99', 'Marvel', '58,793']
['30', 'Astonishing X-Men Ghost Boxes', '2', '$3.99', 'Marvel', '57,868']
['31', 'Action Comics', '872', '$2.99', 'DC', '57,167']
['32', 'Invincible Iron Man', '8', '$2.99', 'Marvel', '56,700']
['33', 'Batman Cacophony', '2', '$3.99', 'DC', '55,690']
['34', 'Superman', '683', '$2.99', 'DC', '55,279']
['35', 'Fantastic Four', '562', '$2.99', 'Marvel', '54,055']
['36', 'Dark Tower Treachery', '4', '$3.99', 'Marvel', '53,728']
['37', 'Avengers Initiative', '19', '$2.99', 'Marvel', '52,550']
['38', 'Avengers Invaders', '7', '$2.99', 'Marvel', '52,186']
['39', 'Avengers Initiative', '20', '$2.99', 'Marvel', '51,223']
['40', 'Ultimate Spider-Man', '129', '$2.99', 'Marvel', '51,064']
['41', 'Kick Ass', '5', '$2.99', 'Marvel', '50,522']
['42', 'Final Crisis Revelations', '4', '$3.99', 'DC', '49,980']
['43', 'War Machine', '1', '$2.99', 'Marvel', '49,746']
['44', 'Final Crisis Secret Files', '1', '$3.99', 'DC', '49,270']
['45', 'Stand Captain Trips', '4', '$3.99', 'Marvel', '49,204']
['46', 'X-Infernus', '1', '$3.99', 'Marvel', '48,410']
['47', 'Deadpool', '5', '$2.99', 'Marvel', '46,849']
['48', 'Superman Batman', '54', '$2.99', 'DC', '45,962']
['49', 'Supergirl', '36', '$2.99', 'DC', '45,485']
['50', 'Wolverine Origins', '31', '$2.99', 'Marvel', '45,036']
['51', 'Ultimate X-Men', '99', '$2.99', 'Marvel', '44,354']
['52', 'Daredevil', '114', '$2.99', 'Marvel', '44,345']
['53', 'Green Lantern Corps', '31', '$2.99', 'DC', '44,027']
