['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Justice League', '4', '$3.99', 'DC', '142,248']
['2', 'Batman', '4', '$2.99', 'DC', '133,781']
['3', 'Action Comics', '4', '$3.99', 'DC', '112,839']
['4', 'Green Lantern', '4', '$2.99', 'DC', '104,199']
['5', 'Avengers X-Sanction', '1', '$3.99', 'Marvel', '93,380']
['6', 'Detective Comics', '4*', '$2.99', 'DC', '89,429']
['7', 'Defenders', '1', '$3.99', 'Marvel', '85,969']
['8', 'Flash', '4', '$2.99', 'DC', '77,336']
['9', 'Batman The Dark Knight', '4*', '$2.99', 'DC', '70,820']
['10', 'Superman', '4*', '$2.99', 'DC', '68,879']
['11', 'Batman And Robin', '4*', '$2.99', 'DC', '68,400']
['12', 'Uncanny X-Men', '3', '$3.99', 'Marvel', '64,112']
['13', 'Avenging Spider-Man', '2', '$3.99', 'Marvel', '60,682']
['14', 'Aquaman', '4*', '$2.99', 'DC', '58,465']
['15', 'Wolverine And X-Men', '3', '$3.99', 'Marvel', '58,438']
['16', 'Wonder Woman', '4', '$2.99', 'DC', '57,675']
['17', 'Avengers', '20', '$3.99', 'Marvel', '57,145']
['18', 'Uncanny X-Force', '19', '$3.99', 'Marvel', '55,333']
['19', 'Teen Titans', '4', '$2.99', 'DC', '54,929']
['20', 'Amazing Spider-Man', '675', '$3.99', 'Marvel', '54,652']
['21', 'Uncanny X-Force', '18', '$3.99', 'Marvel', '54,274']
['22', 'Amazing Spider-Man', '676', '$3.99', 'Marvel', '54,001']
['23', 'Batgirl', '4*', '$2.99', 'DC', '53,975']
['24', 'Green Lantern New Guardians', '4', '$2.99', 'DC', '53,305']
['25', 'New Avengers', '19', '$3.99', 'Marvel', '52,915']
['26', 'Batwoman', '4', '$2.99', 'DC', '52,757']
['27', 'Nightwing', '4*', '$2.99', 'DC', '51,668']
['28', 'Green Lantern Corps', '4*', '$2.99', 'DC', '51,462']
['29', 'Fantastic Four', '601', '$2.99', 'Marvel', '51,080']
['30', 'Ultimate Comics Spider-Man', '5', '$3.99', 'Marvel', '48,308']
['31', 'Captain America', '6', '$3.99', 'Marvel', '47,753']
['32', 'Captain America', '5', '$3.99', 'Marvel', '47,333']
['33', 'Incredible Hulk', '3', '$3.99', 'Marvel', '46,446']
['34', 'Kick-Ass 2', '6', '$2.99', 'Marvel', '45,390']
['35', 'Red Lanterns', '4*', '$2.99', 'DC', '45,244']
['36', 'FF', '13', '$2.99', 'Marvel', '44,970']
['37', 'Swamp Thing', '4', '$2.99', 'DC', '44,660']
['38', 'Batman Incorporated Leviathan\nStrikes', '1', '$6.99', 'DC', '43,048']
['39', 'Catwoman', '4*', '$2.99', 'DC', '41,023']
['40', 'Justice League Dark', '4*', '$2.99', 'DC', '40,275']
['41', 'Red Hood And The Outlaws', '4*', '$2.99', 'DC', '39,850']
['42', 'Supergirl', '4*', '$2.99', 'DC', '39,762']
['43', 'Justice League International', '4*', '$2.99', 'DC', '39,656']
['44', 'X-Men', '22', '$3.99', 'Marvel', '39,121']
['45', 'Daredevil', '7', '$2.99', 'Marvel', '38,824']
['46', 'Animal Man', '4*', '$2.99', 'DC', '38,367']
['47', 'Secret Avengers', '20', '$3.99', 'Marvel', '38,202']
['48', 'Mighty Thor', '9', '$3.99', 'Marvel', '38,000']
['49', 'X-Men Legacy', '260', '$2.99', 'Marvel', '37,946']
['50', 'Carnage Usa', '1', '$3.99', 'Marvel', '37,620']
['51', 'Wolverine', '20', '$3.99', 'Marvel', '37,360']
['52', 'Ultimate Comics X-Men', '4', '$3.99', 'Marvel', '37,115']
['53', 'Ultimate Comics Ultimates', '5', '$3.99', 'Marvel', '36,396']
['54', 'Superboy', '4*', '$2.99', 'DC', '36,002']
['55', 'Invincible Iron Man', '511', '$3.99', 'Marvel', '35,402']
['56', 'Ultimate Comics X-Men', '5', '$3.99', 'Marvel', '35,153']
['57', 'Green Arrow', '4*', '$2.99', 'DC', '33,404']
['58', 'Walking Dead', '92', '$2.99', 'Image', '31,496']
['59', 'Fear Itself Fearless', '4', '$2.99', 'Marvel', '31,491']
['60', 'Astonishing X-Men', '45', '$3.99', 'Marvel', '31,392']
['61', 'Btvs Season 9 Freefall', '4', '$2.99', 'Dark Horse', '31,157']
['62', 'Suicide Squad', '4*', '$2.99', 'DC', '31,095']
['63', 'Birds of Prey', '4*', '$2.99', 'DC', '31,014']
['64', 'Stormwatch', '4', '$2.99', 'DC', '30,987']
['65', 'Avengers Childrens Crusade', '8', '$3.99', 'Marvel', '29,601']
['66', 'Venom', '10', '$2.99', 'Marvel', '29,465']
['67', 'Fear Itself Fearless', '5', '$2.99', 'Marvel', '29,343']
['68', 'Venom', '11', '$2.99', 'Marvel', '28,658']
['69', 'Captain America And Bucky', '625', '$2.99', 'Marvel', '28,652']
['70', 'All Star Western', '4*', '$3.99', 'DC', '26,414']
['71', 'Deadpool', '47', '$2.99', 'Marvel', '25,910']
['72', 'New Mutants', '35', '$2.99', 'Marvel', '25,564']
['73', 'Deadpool', '48', '$2.99', 'Marvel', '25,458']
['74', 'Savage Hawkman', '4*', '$2.99', 'DC', '25,437']
['75', 'Demon Knights', '4*', '$2.99', 'DC', '25,298']
['76', 'Huntress', '3', '$2.99', 'DC', '25,215']
['77', 'Legion of Super Heroes', '4*', '$2.99', 'DC', '25,049']
['78', 'Moon Knight', '8', '$3.99', 'Marvel', '24,626']
['79', 'Journey Into Mystery', '632', '$2.99', 'Marvel', '24,159']
['80', 'Batwing', '4*', '$2.99', 'DC', '24,053']
['81', 'Punisher', '6', '$2.99', 'Marvel', '23,971']
['82', 'Deathstroke', '4*', '$2.99', 'DC', '23,730']
['83', 'X-Factor', '229', '$2.99', 'Marvel', '23,667']
['84', 'X-Factor', '228', '$2.99', 'Marvel', '23,461']
['85', 'Hulk', '45', '$2.99', 'Marvel', '23,273']
['86', 'Batman Odyssey Vol. 2', '3', '$3.99', 'DC', '23,089']
['87', 'Fury of Firestorm The Nuclear Men', '4*', '$2.99', 'DC', '23,049']
['88', 'Hulk', '46', '$2.99', 'Marvel', '22,974']
['89', 'Avengers Academy', '23', '$2.99', 'Marvel', '22,422']
['90', 'Frankenstein Agent of Shade', '4*', '$2.99', 'DC', '22,331']
['91', 'X-23', '18', '$2.99', 'Marvel', '21,999']
['92', 'Dc Universe Presents', '4*', '$2.99', 'DC', '21,958']
['93', 'Battle Scars', '2', '$2.99', 'Marvel', '21,702']
['94', 'Legion Lost', '4*', '$2.99', 'DC', '21,618']
['95', 'Lady Mechanika', '3', '$2.99', 'Aspen', '21,358']
['96', 'X-23', '19', '$2.99', 'Marvel', '21,348']
['97', 'Thunderbolts', '167', '$2.99', 'Marvel', '21,167']
['98', 'Ultimate Comics Fallout', '4', '$3.99', 'Marvel', '20,877']
['99', 'Resurrection Man', '4*', '$2.99', 'DC', '20,754']
['100', 'Grifter', '4*', '$2.99', 'DC', '20,237']
['101', 'Legion Secret Origin', '3', '$2.99', 'DC', '20,033']
['102', 'Teenage Mutant Ninja Turtles Ongoing', '5', '$3.99', 'IDW', '19,689']
['103', 'I Vampire', '4*', '$2.99', 'DC', '19,441']
['104', 'Blue Beetle', '4*', '$2.99', 'DC', '19,267']
['105', 'Magneto Not A Hero', '2', '$2.99', 'Marvel', '19,262']
['106', 'Generation Hope', '14', '$2.99', 'Marvel', '19,234']
['107', 'Penguin Pain And Prejudice', '3', '$2.99', 'DC', '19,131']
['108', 'Shade', '3', '$2.99', 'DC', '18,922']
['109', 'Teenage Mutant Ninja Turtles Micro\nSeries', '1', '$3.99', 'IDW', '18,686']
['110', 'Voodoo', '4*', '$2.99', 'DC', '18,633']
['111', 'Shield', '4', '$2.99', 'Marvel', '18,475']
['112', 'Alpha Flight', '7', '$2.99', 'Marvel', '18,416']
['113', 'Angel & Faith', '5', '$2.99', 'Dark Horse', '18,356']
['114', 'Hawk And Dove', '4*', '$2.99', 'DC', '18,014']
['115', 'Captain Atom', '4*', '$2.99', 'DC', '17,917']
['116', 'Daken Dark Wolverine', '18', '$2.99', 'Marvel', '17,806']
['117', 'Ray', '1', '$2.99', 'DC', '17,779']
['118', 'Wolverine Best There Is', '12', '$3.99', 'Marvel', '17,772']
['119', 'Annihilators Earthfall', '4', '$3.99', 'Marvel', '17,612']
['120', 'Fables', '112', '$3.99', 'DC', '17,602']
['121', 'X-Club', '1', '$2.99', 'Marvel', '17,552']
['122', 'Archie', '628', '$2.99', 'Archie', '17,286']
['123', 'Punishermax', '20', '$3.99', 'Marvel', '17,191']
['124', 'Boys', '61', '$3.99', 'Dynamic Forces', '17,024']
['125', 'Ghost Rider', '7', '$2.99', 'Marvel', '16,846']
