['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Astonishing X-Men', '4', '$2.99', 'Marvel', '145,546']
['2', 'Superman', '208', '$2.50', 'DC', '129,259']
['3', 'Identity Crisis', '3', '$3.95', 'DC', '124,604']
['4', 'X-Men End Bk 1 Dreamers &\nDemons', '1', '$2.99', 'Marvel', '109,590']
['5', 'Ultimate X-Men', '50', '$2.25', 'Marvel', '103,156']
['6', 'Ultimate Nightmare', '1', '$2.25', 'Marvel', '102,657']
['7', 'X-Men End Bk 1 Dreamers &\nDemons', '2', '$2.99', 'Marvel', '98,580']
['8', 'Ultimate Spider-Man', '63', '$2.25', 'Marvel', '96,281']
['9', 'Uncanny X-Men', '447', '$2.25', 'Marvel', '95,840']
['10', 'Ultimate Spider-Man', '64', '$2.25', 'Marvel', '94,684']
['11', 'X-Men', '160', '$2.25', 'Marvel', '91,792']
['12', 'Ultimate Fantastic Four', '10', '$2.25', 'Marvel', '90,672']
['13', 'Amazing Spider-Man', '511', '$2.25', 'Marvel', '88,120']
['14', 'Marvel Knights Spider-Man', '5', '$2.99', 'Marvel', '75,563']
['15', 'Batman', '631', '$2.25', 'DC', '72,289']
['16', 'Ultimate Elektra', '1', '$2.25', 'Marvel', '68,342']
['17', 'X-Force', '1', '$2.99', 'Marvel', '66,621']
['18', 'Wolverine', '18', '$2.25', 'Marvel', '65,306']
['19', 'Teen Titans', '14', '$2.50', 'DC', '63,896']
['20', 'Supreme Power', '12', '$2.99', 'Marvel', '61,800']
['21', 'JLA', '103', '$2.25', 'DC', '61,720']
['22', 'JLA', '104', '$2.25', 'DC', '60,751']
['23', 'Excalibur', '4', '$2.99', 'Marvel', '56,154']
['24', 'Spectacular Spider-Man', '18', '$2.25', 'Marvel', '52,272']
['25', 'Daredevil', '63', '$2.99', 'Marvel', '52,091']
['26', 'New X-Men', '4', '$2.99', 'Marvel', '51,903']
['27', 'Detective Comics', '797', '$2.95', 'DC', '50,696']
['28', 'Fantastic Four', '517', '$2.99', 'Marvel', '50,248']
['29', 'Conan', '7', '$2.99', 'Dark Horse', '47,053']
['30', 'Venom Vs Carnage', '2', '$2.99', 'Marvel', '46,518']
['31', 'Robin', '129', '$2.25', 'DC', '45,643']
['32', 'Justice League Elite', '2', '$2.50', 'DC', '45,571']
['33', 'Punisher', '10', '$2.99', 'Marvel', '45,397']
['34', 'Soulfire', '1', '$2.99', 'Aspen', '45,159']
['35', 'Batman Gotham Knights', '56', '$2.50', 'DC', '44,978']
['36', 'Nightwing', '96', '$2.25', 'DC', '44,559']
['37', 'Doctor Spectrum', '1', '$2.99', 'Marvel', '44,219']
['38', 'Incredible Hulk', '75', '$3.50', 'Marvel', '44,067']
['39', 'Action Comics', '818', '$2.50', 'DC', '43,258']
['40', 'Invaders', '1', '$2.99', 'Marvel', '42,578']
['41', 'Incredible Hulk', '76', '$3.50', 'Marvel', '42,499']
['42', 'Batman Legends of the Dark Knight', '182', '$2.50', 'DC', '42,224']
['43', 'Flash', '213', '$2.25', 'DC', '41,364']
['44', 'JSA', '64', '$2.50', 'DC', '41,313']
['45', 'Wolverine/Punisher', '5', '$2.99', 'Marvel', '40,829']
['46', 'Rogue', '2', '$2.99', 'Marvel', '39,911']
['47', 'Marvel Knights 4', '9', '$2.99', 'Marvel', '39,744']
['48', 'Batgirl', '55', '$2.50', 'DC', '39,470']
['49', 'Adventures of Superman', '631', '$2.50', 'DC', '38,848']
['50', 'Captain America', '30', '$2.99', 'Marvel', '38,465']
['51', 'Exiles', '50', '$2.99', 'Marvel', '37,959']
['52', 'Amazing Fantasy', '2', '$2.99', 'Marvel', '37,048']
['53', 'Catwoman', '34', '$2.50', 'DC', '37,034']
['54', 'Exiles', '51', '$2.99', 'Marvel', '36,947']
['55', 'Thor', '83', '$2.99', 'Marvel', '36,520']
['56', 'Green Lantern', '180', '$2.25', 'DC', '36,426']
['57', 'Transformers Generation One Vol. 3', '7', '$2.95', 'Dreamwave', '34,756']
['58', 'Spawn', '137', '$2.50', 'Image', '34,735']
['59', 'Avengers', '500 Directors Cut', '$4.99', 'Marvel', '34,417']
['60', 'Amazing Fantasy', '3', '$2.99', 'Marvel', '33,918']
['61', 'X-Men Unlimited', '4', '$2.99', 'Marvel', '33,896']
['62', 'Powers', '3', '$2.95', 'Marvel', '33,629']
['63', 'Avengers/Thunderbolts', '6', '$2.99', 'Marvel', '33,513']
