['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Batman The Dark Knight', '1', '$3.99', 'DC', '89,985']
['2', 'Green Lantern', '60', '$2.99', 'DC', '76,360']
['3', 'Brightest Day', '15', '$2.99', 'DC', '75,450']
['4', 'Brightest Day', '16', '$2.99', 'DC', '74,871']
['5', 'Green Lantern', '61', '$2.99', 'DC', '72,203']
['6', 'Batman Incorporated', '2', '$3.99', 'DC', '71,544']
['7', 'Batman and Robin', '18', '$2.99', 'DC', '68,814']
['8', 'New Avengers', '7', '$3.99', 'Marvel', '67,840']
['9', 'Avengers', '8', '$3.99', 'Marvel', '67,056']
['10', 'Batman', '705', '$2.99', 'DC', '63,262']
['11', 'Wolverine Best There Is', '1', '$3.99', 'Marvel', '57,348']
['12', 'Flash', '7', '$2.99', 'DC', '56,304']
['13', 'Amazing Spider-Man', '650', '$3.99', 'Marvel', '55,996']
['14', 'Uncanny X-Men', '531', '$3.99', 'Marvel', '55,770']
['15', 'Uncanny X-Force', '3', '$3.99', 'Marvel', '55,520']
['16', 'Green Lantern Corps', '55', '$2.99', 'DC', '54,387']
['17', 'Secret Avengers', '8', '$3.99', 'Marvel', '54,048']
['18', 'Flash', '8', '$2.99', 'DC', '53,975']
['19', 'X-Men', '6', '$3.99', 'Marvel', '53,005']
['20', 'Wolverine', '4', '$3.99', 'Marvel', '52,812']
['21', 'Justice League of America', '52', '$3.99', 'DC', '48,501']
['22', 'Nemesis', '4', '$2.99', 'Marvel', '46,072']
['23', 'Thor', '618', '$3.99', 'Marvel', '45,142']
['24', 'Shadowland', '5', '$3.99', 'Marvel', '44,261']
['25', 'Green Lantern Emerald Warriors', '5', '$3.99', 'DC', '44,077']
['26', 'Superman', '706', '$2.99', 'DC', '43,027']
['27', 'Captain America', '613', '$3.99', 'Marvel', '42,871']
['28', 'Invincible Iron Man', '33', '$3.99', 'Marvel', '41,890']
['29', 'X-Men Legacy', '243', '$2.99', 'Marvel', '41,797']
['30', 'Batman Annual', '28', '$4.99', 'DC', '41,484']
['31', 'Daredevil', '512', '$2.99', 'Marvel', '40,317']
['32', 'Buffy Vampire Slayer', '39', '$2.99', 'Dark Horse', '40,010']
['33', 'Green Lantern Larfleeze Christmas\nSpecial', '1', '$3.99', 'DC', '39,673']
['34', 'Generation Hope', '2', '$2.99', 'Marvel', '38,984']
['35', 'Fantastic Four', '586', '$2.99', 'Marvel', '38,108']
['36', 'Detective Comics', '872', '$3.99', 'DC', '37,961']
['37', 'Green Arrow', '7', '$2.99', 'DC', '36,835']
['38', 'Wonder Woman', '605', '$2.99', 'DC', '35,495']
['39', 'Incredible Hulks', '618', '$3.99', 'Marvel', '34,868']
['40', 'Hulk', '28', '$3.99', 'Marvel', '34,755']
['41', 'Ultimate Comics Avengers 3', '5', '$3.99', 'Marvel', '34,483']
['42', 'Ultimate Comics Spider-Man', '151', '$3.99', 'Marvel', '33,707']
['43', 'Detective Comics Annual', '12', '$4.99', 'DC', '33,522']
['44', 'Black Panther Man Without Fear', '513', '$2.99', 'Marvel', '33,124']
['45', 'Birds of Prey', '7', '$2.99', 'DC', '33,114']
['46', 'Astonishing X-Men Xenogenesis', '4', '$3.99', 'Marvel', '33,100']
['47', 'Carnage', '2', '$3.99', 'Marvel', '32,794']
['48', 'Incredible Hulks', '619', '$3.99', 'Marvel', '32,657']
['49', 'Action Comics', '896', '$3.99', 'DC', '32,357']
['50', 'Superior', '3', '$2.99', 'Marvel', '31,952']
['51', 'Justice League Generation Lost', '15', '$2.99', 'DC', '31,871']
['52', 'Superboy', '2', '$2.99', 'DC', '31,761']
['53', 'Justice Society of America', '46', '$2.99', 'DC', '31,497']
['54', 'Justice League Generation Lost', '16', '$2.99', 'DC', '31,048']
['55', 'Red Robin', '18', '$2.99', 'DC', '30,873']
['56', 'Daken Dark Wolverine', '4', '$2.99', 'Marvel', '30,726']
['57', 'Superman Batman', '79', '$2.99', 'DC', '30,586']
['58', 'Deadpool', '30', '$2.99', 'Marvel', '30,488']
['59', 'Heroes For Hire', '1', '$3.99', 'Marvel', '30,375']
['60', 'X-23', '4', '$2.99', 'Marvel', '29,703']
['61', 'Ultimate Comics Thor', '3', '$3.99', 'Marvel', '28,074']
['62', 'Thunderbolts', '151', '$2.99', 'Marvel', '27,943']
['63', 'Avengers Academy', '7', '$2.99', 'Marvel', '27,774']
['64', 'Ultimate Comics Doom', '1', '$3.99', 'Marvel', '27,469']
['65', 'Shield', '5', '$2.99', 'Marvel', '27,133']
['66', 'Action Comics Annual', '13', '$4.99', 'DC', '27,031']
['67', 'X-Factor', '212', '$2.99', 'Marvel', '26,443']
['68', 'Shadowland After Fall', '1', '$3.99', 'Marvel', '26,435']
['69', 'Chaos War', '4', '$3.99', 'Marvel', '26,313']
['70', 'Teen Titans', '90', '$2.99', 'DC', '25,997']
['71', 'Astonishing Spider-Man Wolverine', '4', '$3.99', 'Marvel', '25,850']
['72', 'Batgirl', '16', '$2.99', 'DC', '25,225']
['73', 'Legion of Super Heroes', '8', '$3.99', 'DC', '25,063']
['74', 'Batman 80 Page Giant 2010', '1', '$5.99', 'DC', '24,582']
['75', 'New Mutants', '20', '$2.99', 'Marvel', '24,416']
['76', 'Adventure Comics', '521', '$3.99', 'DC', '23,787']
['77', 'Secret Warriors', '23', '$2.99', 'Marvel', '23,078']
['78', 'Fables', '100', '$9.99', 'DC', '23,014']
['79', 'Supergirl', '59', '$2.99', 'DC', '22,606']
['80', 'Titans', '30', '$2.99', 'DC', '22,483']
['81', 'Time Masters Vanishing Point', '5', '$3.99', 'DC', '22,312']
['82', 'DC Universe Legacies', '8', '$3.99', 'DC', '21,886']
['83', 'Batman Streets of Gotham', '18', '$3.99', 'DC', '21,684']
['84', 'Spider-Girl', '2', '$2.99', 'Marvel', '21,606']
['85', 'Gotham City Sirens', '18', '$2.99', 'DC', '21,344']
['86', 'True Blood', '6', '$3.99', 'IDW', '21,297']
['87', 'Deadpoolmax', '3', '$3.99', 'Marvel', '20,990']
['88', 'What If 200', '', '$4.99', 'Marvel', '20,436']
['89', 'Chaos War X-Men', '1', '$3.99', 'Marvel', '20,156']
['90', 'Lady Mechanika', '1 Cvr A', '$2.99', 'Aspen', '20,034']
['91', 'What If Wolverine Father', '', '$3.99', 'Marvel', '19,867']
['92', 'Dark Tower Gunslinger Little\nSisters Eluria', '1', '$3.99', 'Marvel', '19,807']
['93', 'Star Wars Legacy War', '1', '$3.50', 'Dark Horse', '19,785']
['94', 'Secret Six', '28', '$2.99', 'DC', '19,587']
['95', 'Boys', '49', '$3.99', 'Dynamic Forces', '19,582']
['96', 'Thor For Asgard', '5', '$3.99', 'Marvel', '19,463']
['97', 'Hellboy Sleeping & Dead', '1', '$3.50', 'Dark Horse', '19,360']
['98', 'Zatanna', '8', '$2.99', 'DC', '19,321']
['99', 'American Vampire', '9', '$3.99', 'DC', '19,019']
['100', 'What If Spider-Man', '', '$3.99', 'Marvel', '18,810']
['101', 'JSA All Stars', '13', '$3.99', 'DC', '18,395']
['102', 'Widowmaker', '1', '$3.99', 'Marvel', '18,245']
['103', 'First Wave', '5', '$3.99', 'DC', '18,241']
['104', 'Batman Orphans', '1', '$3.99', 'DC', '18,164']
['105', 'What If Dark Reign', '', '$3.99', 'Marvel', '17,902']
['106', 'American Vampire', '10', '$3.99', 'DC', '17,761']
['107', 'Namor First Mutant', '5', '$2.99', 'Marvel', '17,730']
['108', 'What If Iron Man Demon In An Armor', '', '$3.99', 'Marvel', '17,616']
['109', 'Chaos War Dead Avengers', '2', '$3.99', 'Marvel', '17,111']
['110', 'Power Girl', '19', '$2.99', 'DC', '16,763']
['111', 'Deadpool Corps', '9', '$2.99', 'Marvel', '16,735']
['112', 'Batman Orphans', '2', '$3.99', 'DC', '16,705']
['113', 'Osborn', '2', '$3.99', 'Marvel', '16,704']
['114', 'Booster Gold', '39', '$2.99', 'DC', '16,686']
['115', 'Punisher In Blood', '2', '$3.99', 'Marvel', '16,608']
['116', 'Incognito Bad Influences', '2', '$3.50', 'Marvel', '16,368']
['117', 'Haunt', '12', '$2.99', 'Image', '16,175']
['118', 'Invaders Now', '4', '$3.99', 'Marvel', '16,106']
['119', 'Conan The Road of Kings', '1', '$3.50', 'Dark Horse', '16,099']
['120', 'Green Lantern Plastic Man Weapon\nMass Deception', '1', '$4.99', 'DC', '16,082']
['121', 'Widowmaker', '2', '$3.99', 'Marvel', '16,050']
['122', 'Iron Man Thor', '2', '$3.99', 'Marvel', '15,977']
['123', 'X-Men To Serve And Protect', '2', '$3.99', 'Marvel', '15,976']
['124', 'Chaos War Thor', '2', '$3.99', 'Marvel', '15,910']
['125', 'Lady Death', '0', '$3.99', 'Avatar', '15,665']
['126', 'Deadpool Team-Up', '886', '$2.99', 'Marvel', '15,626']
['127', 'Invincible', '76', '$2.99', 'Image', '15,577']
['128', 'Chaos War Ares', '1', '$3.99', 'Marvel', '15,232']
['129', 'Star Wars Old Republic', '6 Blood Of Empire Pt 3', '$2.99', 'Dark Horse', '14,862']
['130', 'Boys Highland Laddie', '5', '$3.99', 'Dynamic Forces', '14,855']
['131', 'Green Hornet', '11', '$3.99', 'Dynamic Forces', '14,771']
['132', 'Warlord of Mars', '3', '$3.99', 'Dynamic Forces', '14,710']
['133', 'She-Hulks', '2', '$2.99', 'Marvel', '14,673']
['134', 'Loki', '2', '$3.99', 'Marvel', '14,672']
['135', 'Chaos War God Squad', '1', '$3.99', 'Marvel', '14,627']
['136', 'Captain America Man Out of Time', '2', '$3.99', 'Marvel', '14,582']
['137', 'Thor Wolves North', '1', '$3.99', 'Marvel', '14,532']
['138', 'Angel', '40', '$3.99', 'IDW', '14,182']
['139', 'Deadpool Pulp', '4', '$3.99', 'Marvel', '14,085']
['140', 'Star Wars Knight Errant Aflame', '3', '$2.99', 'Dark Horse', '13,963']
['141', 'Teen Titans Cold Case', '1', '$4.99', 'DC', '13,819']
['142', 'Heroic Age X-Men', '1', '$3.99', 'Marvel', '13,789']
['143', 'DCU Holiday Special 2010', '1', '$4.99', 'DC', '13,679']
['144', 'Star Wars Invasion Rescues', '6', '$2.99', 'Dark Horse', '13,547']
['145', 'Batman Confidential', '51', '$2.99', 'DC', '13,495']
['146', 'John Byrne Next Men', '1', '$3.99', 'IDW', '13,204']
['147', 'Outsiders', '35', '$2.99', 'DC', '13,133']
['148', 'JLA The 99', '3', '$3.99', 'DC', '12,819']
['149', 'Thor First Thunder', '4', '$3.99', 'Marvel', '12,620']
['150', 'Iron Man Legacy', '9', '$2.99', 'Marvel', '12,483']
['151', 'Chew', '16', '$2.99', 'Image', '12,473']
['152', 'Taskmaster', '4', '$3.99', 'Marvel', '12,350']
['153', 'Knight & Squire', '3', '$2.99', 'DC', '12,142']
['154', 'Guild Vork', '1', '$3.50', 'Dark Horse', '12,105']
['155', 'Izombie', '8', '$2.99', 'DC', '12,038']
['156', 'Stan Lee Starborn', '1', '$3.99', 'Boom', '11,764']
['157', 'Thunderstrike', '2', '$3.99', 'Marvel', '11,754']
['158', 'Unwritten', '20', '$2.99', 'DC', '11,684']
['159', 'Dungeons And Dragons', '2', '$3.99', 'IDW', '11,623']
['160', 'Captain America Korvac Saga', '1', '$2.99', 'Marvel', '11,576']
