['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Origin II', '1', '$4.99', 'Marvel', '131,724']
['2', 'Avengers', '24', '$4.99', 'Marvel', '127,466']
['3', 'Batman', '26', '$3.99', 'DC', '119,443']
['4', 'Forever Evil', '4', '$3.99', 'DC', '99,351']
['5', 'Superman Unchained', '5', '$3.99', 'DC', '96,322']
['6', 'Justice League', '25', '$3.99', 'DC', '94,004']
['7', 'Harley Quinn', '1', '$2.99', 'DC', '92,153']
['8', 'Justice League', '26', '$3.99', 'DC', '90,592']
['9', 'Inhumanity', '1', '$3.99', 'Marvel', '77,519']
['10', 'Superior Spider-Man', '23', '$3.99', 'Marvel', '77,105']
['11', 'Superior Spider-Man', '24', '$3.99', 'Marvel', '76,131']
['12', 'Batman Superman', '6', '$3.99', 'DC', '68,857']
['13', 'All New X-Men', '20', '$3.99', 'Marvel', '68,189']
['14', 'Walking Dead', '118', '$2.99', 'Image', '68,020']
['15', 'Amazing Spider-Man', '700.1', '$3.99', 'Marvel', '65,775']
['16', 'Justice League of America', '10', '$3.99', 'DC', '65,678']
['17', 'Uncanny X-Men', '15.INH', '$3.99', 'Marvel', '62,692']
['18', 'Amazing Spider-Man', '700.2', '$3.99', 'Marvel', '61,233']
['19', 'Amazing X-Men', '2', '$3.99', 'Marvel', '60,870']
['20', 'Amazing Spider-Man', '700.3', '$3.99', 'Marvel', '60,513']
['21', 'Amazing Spider-Man', '700.4', '$3.99', 'Marvel', '59,142']
['22', 'Amazing Spider-Man', '700.5', '$3.99', 'Marvel', '59,083']
['23', 'Justice League 3000', '1', '$2.99', 'DC', '57,726']
['24', 'Guardians of Galaxy', '9', '$3.99', 'Marvel', '57,665']
['25', 'Uncanny Avengers', '15', '$3.99', 'Marvel', '57,035']
['26', 'New Avengers', '13.INH', '$3.99', 'Marvel', '56,624']
['27', 'Detective Comics', '26', '$3.99', 'DC', '56,538']
['28', 'Guardians of Galaxy', '10', '$3.99', 'Marvel', '53,527']
['29', 'Saga', '17', '$2.99', 'Image', '53,264']
['30', 'X-Men', '8', '$3.99', 'Marvel', '53,201']
['31', 'Green Lantern', '26', '$2.99', 'DC', '51,420']
['32', 'Superman Wonder Woman', '3', '$3.99', 'DC', '51,357']
['33', 'Damian Son of Batman', '3', '$3.99', 'DC', '47,389']
['34', 'Avengers Annual 2013', '1', '$4.99', 'Marvel', '47,349']
['35', 'The Star Wars (Lucas Draft)', '4', '$3.99', 'Dark Horse', '47,292']
['36', 'Batman And Two Face', '26', '$2.99', 'DC', '46,611']
['37', 'Deadpool', '20', '$2.99', 'Marvel', '43,653']
['38', 'Deadpool', '21', '$2.99', 'Marvel', '43,066']
['39', 'The Star Wars (Lucas Draft)', '0', '$3.99', 'Dark Horse', '40,531']
['40', 'Batman The Dark Knight', '26', '$2.99', 'DC', '39,980']
['41', 'Forever Evil Arkham War', '3', '$2.99', 'DC', '39,919']
['42', 'Thor God of Thunder', '16', '$3.99', 'Marvel', '39,597']
['43', 'Wolverine And X-Men', '39', '$3.99', 'Marvel', '39,063']
['44', 'Aquaman', '26', '$2.99', 'DC', '38,841']
['45', 'Nightwing', '26', '$2.99', 'DC', '38,452']
['46', 'Action Comics', '26', '$3.99', 'DC', '37,489']
['47', 'Earth 2', '18', '$2.99', 'DC', '37,130']
['48', 'Superman', '26', '$2.99', 'DC', '36,877']
['49', 'Flash', '26', '$2.99', 'DC', '36,601']
['50', 'Justice League Dark', '26', '$3.99', 'DC', '36,353']
['51', 'Mighty Avengers', '4.INH', '$3.99', 'Marvel', '35,740']
['52', 'Indestructible Hulk', '17.INH', '$3.99', 'Marvel', '35,679']
['53', 'Batgirl', '26', '$2.99', 'DC', '34,885']
['54', 'Captain America', '14', '$3.99', 'Marvel', '34,532']
['55', 'Cataclysm Ultimates Last Stand', '2', '$3.99', 'Marvel', '33,348']
['56', 'Star Wars', '12', '$2.99', 'Dark Horse', '33,093']
['57', 'Green Lantern Corps', '26', '$2.99', 'DC', '32,797']
['58', 'Wonder Woman', '26', '$2.99', 'DC', '32,773']
['59', 'Iron Man', '19', '$3.99', 'Marvel', '32,537']
['60', 'Daredevil', '34', '$2.99', 'Marvel', '32,331']
['61', 'Wolverine', '12', '$3.99', 'Marvel', '32,274']
['62', 'East of West', '8', '$3.50', 'Image', '31,059']
['63', 'Indestructible Hulk Annual', '1', '$4.99', 'Marvel', '30,846']
['64', 'Batman Black & White', '4', '$4.99', 'DC', '30,577']
['65', 'Green Lantern New Guardians', '26', '$2.99', 'DC', '30,489']
['66', 'Cataclysm Ultimate Spider-Man', '2', '$3.99', 'Marvel', '30,293']
['67', 'Teen Titans', '26', '$2.99', 'DC', '29,149']
['68', 'Nova', '11', '$3.99', 'Marvel', '27,982']
['69', 'Cable And X-Force', '17', '$3.99', 'Marvel', '27,712']
['70', 'Fantastic Four', '15', '$2.99', 'Marvel', '27,610']
['71', 'Uncanny X-Force', '15', '$3.99', 'Marvel', '27,567']
['72', 'Savage Wolverine', '13', '$3.99', 'Marvel', '27,490']
['73', 'Forever Evil Rogues Rebellion', '3', '$2.99', 'DC', '27,363']
['74', 'Legenderry A Steampunk Adv', '1*', '$3.99', 'Dynamic Forces', '27,174']
['75', 'Catwoman', '26', '$2.99', 'DC', '26,482']
['76', 'Red Lanterns', '26', '$2.99', 'DC', '26,242']
['77', 'Inhumanity Awakening', '1', '$3.99', 'Marvel', '25,582']
['78', 'Velvet', '2*', '$2.99', 'Image', '25,549']
['79', 'Superior Spider-Man Team Up', '7', '$3.99', 'Marvel', '25,514']
['80', 'Red Hood And The Outlaws', '26', '$2.99', 'DC', '25,382']
['81', 'Suicide Squad', '26', '$2.99', 'DC', '25,346']
['82', 'Thunderbolts', '19', '$2.99', 'Marvel', '24,959']
['83', 'Cataclysm Ultimates', '2', '$3.99', 'Marvel', '24,819']
['84', 'Green Arrow', '26', '$2.99', 'DC', '24,687']
['85', 'Batman 66', '6', '$3.99', 'DC', '24,374']
['86', 'Superior Spider-Man Team Up', '8', '$3.99', 'Marvel', '24,296']
['87', 'Avengers Assemble', '22.INH', '$3.99', 'Marvel', '24,168']
['88', 'Secret Avengers', '12', '$3.99', 'Marvel', '23,863']
['89', 'Batwoman', '26', '$2.99', 'DC', '23,311']
['90', 'Secret Avengers', '13', '$3.99', 'Marvel', '23,172']
['91', 'Young Avengers', '13', '$2.99', 'Marvel', '23,019']
['92', 'My Little Pony Friendship Is Magic', '14', '$3.99', 'IDW', '22,990']
['93', 'Marvel Knights Spider-Man', '3', '$3.99', 'Marvel', '22,878']
