['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Uncanny X-Men', '357', '$1.99', 'Marvel', '142,959']
['2', 'X-Men', '77', '$1.99', 'Marvel', '135,240']
['3', 'Thor', '1', '$2.99', 'Marvel', '134,677']
['4', 'Spawn', '74', '$1.95', 'Image', '130,507']
['5', 'Avengers', '6', '$1.99', 'Marvel', '112,322']
['6', 'Wolverine', '126', '$1.99', 'Marvel', '107,630']
['7', 'Fantastic Four', '7', '$1.99', 'Marvel', '102,259']
['8', 'JLA', '20', '$1.95', 'DC', '99,895']
['9', 'Captain America', '7', '$1.99', 'Marvel', '91,880']
['10', 'Iron Man', '6', '$1.99', 'Marvel', '89,752']
['11', 'Green Lantern', '100', '$2.95', 'DC', '82,449']
['12', 'Witchblade', '23', '$2.50', 'Image', '82,303']
['13', 'Darkness', '15', '$2.50', 'Image', '79,804']
['14', 'Spirit Of Tao', '1', '$2.50', 'Image', '74,845']
['15', 'Crimson', '1', '$2.50', 'Image', '71,010']
['16', 'Curse Of Spawn', '21', '$1.95', 'Image', '70,855']
['17', 'Generation X', '40', '$1.99', 'Marvel', '67,939']
['18', 'JLA Year One', '7', '$1.95', 'DC', '66,879']
['19', 'Incredible Hulk', '466', '$1.99', 'Marvel', '66,327']
['20', 'Amazing Spider-Man', '436', '$1.99', 'Marvel', '66,041']
['21', 'X-Force', '79', '$1.99', 'Marvel', '65,494']
['22', 'Tales Of The Darkness', '2', '$2.95', 'Image', '64,199']
['23', 'X-Factor', '147', '$1.99', 'Marvel', '63,607']
['24', 'Battle Chasers', '2', '$2.50', 'Image', '63,050']
['25', 'X-Man', '40', '$1.99', 'Marvel', '61,614']
['26', 'Peter Parker Spider-Man', '93', '$1.99', 'Marvel', '61,047']
['27', 'Cable', '56', '$1.99', 'Marvel', '59,145']
['28', 'Spectacular Spider-Man', '259', '$1.99', 'Marvel', '58,588']
['29', 'Sensational Spider-Man', '29', '$1.99', 'Marvel', '56,595']
['30', 'Ascension', '7', '$2.50', 'Image', '56,500']
['31', 'Gen 13', '29', '$2.50', 'Image', '55,080']
['32', 'JLA 80 Page Giant', '1', '$4.95', 'DC', '54,804']
['33', 'Superman', '136', '$1.95', 'DC', '54,598']
['34', 'Action Comics', '746', '$1.95', 'DC', '53,157']
['35', 'Adventures Of Superman', '559', '$1.95', 'DC', '52,851']
['36', 'Kiss The Psycho Circus', '10', '$2.25', 'Image', '52,851']
['37', 'Superman Man Of Steel', '81', '$1.95', 'DC', '52,791']
['38', 'Thunderbolts', '16', '$1.99', 'Marvel', '50,321']
['39', 'Batman', '556', '$1.95', 'DC', '50,191']
['40', 'JLA Tomorrow Woman', '1', '$1.95', 'DC', '49,674']
['41', 'Excalibur', '122', '$1.99', 'Marvel', '49,298']
['42', '300', '1', '$2.95', 'Dark Horse', '48,986']
['43', 'Detective Comics', '723', '$1.95', 'DC', '48,530']
['44', 'Astro City Vol. 2', '15', '$2.50', 'Image', '47,616']
['45', 'Batman Batgirl', '1', '$1.95', 'DC', '46,763']
['46', 'Nightwing', '22', '$1.95', 'DC', '45,317']
['47', 'Alpha Flight', '12', '$2.99', 'Marvel', '44,138']
['48', 'Preacher', '39', '$2.50', 'DC', '42,708']
['49', 'Deadpool', '18', '$1.99', 'Marvel', '41,834']
['50', 'Superman Lois Lane', '1', '$1.95', 'DC', '41,317']
['51', 'Robin', '55', '$1.95', 'DC', '41,056']
['52', 'Star Wars Crimson Empire', '6', '$2.95', 'Dark Horse', '40,599']
['53', 'Flash', '139', '$1.95', 'DC', '40,379']
['54', 'Batman Shadow Of The Bat', '76', '$1.95', 'DC', '39,415']
['55', 'Marvel Universe', '2', '$1.99', 'Marvel', '39,064']
['56', 'Young Justice The Secret', '1', '$1.95', 'DC', '38,953']
['57', 'Jim Lees C23', '2', '$2.50', 'Image', '38,873']
['58', 'Wonder Woman Donna Troy', '1', '$1.95', 'DC', '37,588']
['59', 'Crimson Chromium Ed', '1', '$4.50', 'Image', '37,493']
['60', 'Nightwing And Huntress', '3', '$1.95', 'DC', '37,402']
['61', 'Wonder Woman', '135', '$1.95', 'DC', '37,207']
['62', 'X-Files', '40', '$2.95', 'Topps', '37,056']
['63', 'Catwoman', '59', '$1.95', 'DC', '36,825']
['64', 'Batman Legends Of The Dark Knight', '108', '$1.95', 'DC', '36,644']
['65', 'Supergirl', '23', '$1.95', 'DC', '36,624']
['66', 'Tenth', '9', '$2.50', 'Image', '35,877']
['67', 'Lady Death', '5', '$2.95', 'Chaos', '34,526']
['68', 'Birds Of Prey The Ravens', '1', '$1.95', 'DC', '34,351']
['69', 'Marvel Annual\n98/Spider-Man & Devil Dinosaur', '$2.99', 'Marvel', '33,884']
['70', 'Starman The Mist', '1', '$1.95', 'DC', '33,824']
['71', 'Green Lantern Secret Files', '1', '$4.95', 'DC', '33,728']
['72', 'Iron Fist', '1', '$2.50', 'Marvel', '33,241']
['73', 'Coven', '8', '$2.50', 'Awesome', '33,161']
['74', 'Gen 12', '4', '$2.50', 'Image', '32,840']
['75', 'What If?', '110', '$1.99', 'Marvel', '32,499']
['76', 'Star Wars Shadows Of The Empire\nEvolution', '4', '$2.95', 'Dark Horse', '32,273']
['77', 'Marvel Annual 98/Deadpool &\nDeath', '', '$2.99', 'Marvel', '32,233']
['78', 'Green Arrow', '134', '$2.50', 'DC', '31,806']
['79', 'Heroes For Hire', '13', '$1.99', 'Marvel', '31,580']
['80', 'Legends Of The DC Universe', '6', '$1.95', 'DC', '30,988']
['81', 'Batman Chronicles', '13', '$2.95', 'DC', '29,989']
['82', 'Starman', '44', '$2.25', 'DC', '29,462']
['83', 'Silver Surfer', '141', '$1.99', 'Marvel', '29,407']
['84', 'Avengers Rough Cut', '1', '$2.99', 'Marvel', '29,020']
['85', 'Xena Warrior Princess Blood Lines', '1', '$2.95', 'Topps', '28,358']
['86', 'Gen 13 Bootleg', '18', '$2.50', 'Image', '28,132']
['87', 'Ka Zar', '15', '$1.99', 'Marvel', '27,966']
['88', 'Xena Warrior Princess Orpheus', '3', '$2.95', 'Topps', '27,540']
['89', 'Teen Titans', '22', '$1.95', 'DC', '27,414']
['90', 'Aquaman', '46', '$1.95', 'DC', '27,409']
['91', 'Green Lantern 1963 Annual', '1', '$4.95', 'DC', '27,249']
['92', 'WilDCats', '49', '$2.50', 'Image', '27,168']
['93', 'Azrael', '43', '$1.95', 'DC', '26,988']
['94', 'Star Wars X-Wing Rogue Squadron\nMasquerade', '3', '$2.95', 'Dark Horse', '26,817']
['95', 'Daredevil', '377', '$1.99', 'Marvel', '26,456']
['96', 'Batman Gordon Of Gotham', '2', '$1.95', 'DC', '25,522']
['97', 'Superboy', '53', '$1.95', 'DC', '25,176']
['98', 'Hitman', '28', '$2.25', 'DC', '24,649']
['99', 'Maverick', '11', '$1.99', 'Marvel', '24,448']
['100', 'DV8', '18', '$2.50', 'Image', '24,127']
['101', 'Books of Magic', '50', '$2.50', 'DC', '23,630']
['102', 'Batman: Gotham Adventures', '2', '$1.95', 'DC', '23,253']
['103', 'Legion of Superheroes', '106', '$2.25', 'DC', '23,243']
['104', 'Youngblood', '4', '$2.50', 'Awesome', '22,882']
['105', 'Legionnaires', '62', '$2.25', 'DC', '22,837']
['106', 'Savage Dragon', '49', '$2.50', 'Image', '22,340']
['107', 'Stormwatch', '7', '$2.50', 'Image', '22,114']
['108', 'Dreaming', '26', '$2.50', 'DC', '21,201']
['109', 'Menace', '2', '$2.50', 'Awesome', '21,166']
['110', 'HarDCore Station', '1', '$2.50', 'DC', '21,100']
['111', 'Shi', '12', '$2.95', 'Crusade', '21,100']
['112', 'Shi', '11', '$2.95', 'Crusade', '21,060']
['113', 'Fury Agent 13', '2', '$2.99', 'Marvel', '20,869']
['114', 'Scarlet Crush', '4', '$2.50', 'Awesome', '20,859']
['115', 'Quicksilver', '9', '$1.99', 'Marvel', '20,844']
