['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Fear Itself', '1', '$3.99', 'Marvel', '128,595']
['2', 'Mighty Thor', '1', '$3.99', 'Marvel', '82,071']
['3', 'Green Lantern', '65', '$2.99', 'DC', '75,780']
['4', 'Brightest Day', '23', '$2.99', 'DC', '70,289']
['5', 'FF', '2', '$2.99', 'Marvel', '69,790']
['6', 'Brightest Day', '24', '$4.99', 'DC', '69,742']
['7', 'Avengers', '12', '$3.99', 'Marvel', '63,441']
['8', 'Batman Incorporated', '5', '$2.99', 'DC', '62,204']
['9', 'New Avengers', '11', '$3.99', 'Marvel', '61,778']
['10', 'Amazing Spider-Man', '658', '$3.99', 'Marvel', '61,687']
['11', 'Avengers', '12.1', '$2.99', 'Marvel', '60,455']
['12', 'Green Lantern Corps', '59', '$2.99', 'DC', '60,162']
['13', 'Action Comics', '900', '$5.99', 'DC', '60,152']
['14', 'Batman And Robin', '22', '$2.99', 'DC', '59,076']
['15', 'Amazing Spider-Man', '659', '$3.99', 'Marvel', '58,258']
['16', 'Uncanny X-Men', '535', '$3.99', 'Marvel', '56,795']
['17', 'Batman', '709', '$2.99', 'DC', '56,578']
['18', 'Flash', '10', '$2.99', 'DC', '54,953']
['19', 'Flash', '11', '$2.99', 'DC', '54,633']
['20', 'Uncanny X-Force', '7', '$3.99', 'Marvel', '54,292']
['21', 'Uncanny X-Men', '536', '$3.99', 'Marvel', '53,502']
['22', 'Uncanny X-Men', '534.1', '$2.99', 'Marvel', '53,473']
['23', 'X-Men Legacy', '247', '$2.99', 'Marvel', '51,970']
['24', 'Green Lantern Emerald Warriors', '9', '$2.99', 'DC', '51,784']
['25', 'Uncanny X-Force', '8', '$3.99', 'Marvel', '50,908']
['26', 'Ultimate Comics Spider-Man', '157', '$3.99', 'Marvel', '50,896']
['27', 'Secret Avengers', '12', '$3.99', 'Marvel', '50,641']
['28', 'X-Men', '10', '$3.99', 'Marvel', '50,553']
['29', 'Justice League of America', '56', '$2.99', 'DC', '47,179']
['30', 'Wolverine', '8', '$3.99', 'Marvel', '47,010']
['31', 'Secret Avengers', '12.1', '$2.99', 'Marvel', '46,161']
['32', 'Captain America', '617', '$3.99', 'Marvel', '45,400']
['33', 'Invincible Iron Man', '503', '$3.99', 'Marvel', '45,314']
['34', 'Journey Into Mystery', '622', '$3.99', 'Marvel', '43,925']
['35', 'Ultimate Avengers Vs New Ultimates', '3', '$3.99', 'Marvel', '43,822']
['36', 'Amazing Spider-Man Annual', '38', '$3.99', 'Marvel', '42,040']
['37', 'Venom', '2', '$2.99', 'Marvel', '41,006']
['38', 'Detective Comics', '876', '$2.99', 'DC', '40,133']
['39', 'Superman', '710', '$2.99', 'DC', '39,644']
['40', 'Herc', '1', '$3.99', 'Marvel', '38,774']
['41', 'New Mutants', '24', '$2.99', 'Marvel', '38,701']
['42', 'Superman Batman Annual', '5', '$4.99', 'DC', '33,962']
['43', 'Age of X Universe', '2', '$3.99', 'Marvel', '33,640']
['44', 'Green Arrow', '11', '$2.99', 'DC', '32,669']
['45', 'Fear Itself Home Front', '1', '$3.99', 'Marvel', '32,601']
['46', 'Justice Society of America', '50', '$4.99', 'DC', '32,251']
['47', 'Avengers Childrens Crusade', '5', '$3.99', 'Marvel', '31,945']
['48', 'Walking Dead', '84', '$2.99', 'Image', '31,930']
['49', 'Red Robin', '22', '$2.99', 'DC', '31,786']
['50', 'Wonder Woman', '610', '$2.99', 'DC', '31,002']
['51', 'Incredible Hulks', '627', '$2.99', 'Marvel', '30,788']
['52', 'Justice League Generation Lost', '23', '$2.99', 'DC', '30,736']
['53', 'Hulk', '32', '$2.99', 'Marvel', '30,652']
['54', 'Justice League Generation Lost', '24', '$4.99', 'DC', '30,643']
['55', 'Superboy', '6', '$2.99', 'DC', '30,490']
['56', 'Birds of Prey', '11', '$2.99', 'DC', '30,270']
['57', 'Incredible Hulks', '626', '$2.99', 'Marvel', '29,782']
['58', 'Carnage', '4', '$3.99', 'Marvel', '29,466']
['59', 'X-23', '9', '$2.99', 'Marvel', '28,562']
['60', 'Deadpool', '35', '$2.99', 'Marvel', '28,517']
['61', 'Superman Batman', '83', '$2.99', 'DC', '28,403']
['62', 'Deadpool', '36', '$2.99', 'Marvel', '28,173']
['63', 'Daken Dark Wolverine', '8', '$2.99', 'Marvel', '26,925']
['64', 'Batman Beyond', '4', '$2.99', 'DC', '26,722']
['65', 'Ultimate Comics Captain America', '4', '$3.99', 'Marvel', '26,332']
