['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Ultimate War', '1', '$2.25', 'Marvel', '131,829']
['2', 'Ultimate War', '2', '$2.25', 'Marvel', '124,458']
['3', 'Batman', '610', '$2.25', 'DC', '117,380']
['4', 'Ultimates', '9 (Res)', '$2.25', 'Marvel', '109,222']
['5', 'Ultimate Spider-Man', '33', '$2.25', 'Marvel', '106,639']
['6', 'New X-Men', '135', '$2.25', 'Marvel', '103,153']
['7', 'Amazing Spider-Man', '48', '$2.25', 'Marvel', '100,700']
['8', 'Ultimate Spider-Man', '32', '$2.25', 'Marvel', '98,869']
['9', 'Uncanny X-Men', '416', '$2.25', 'Marvel', '94,702']
['10', 'Ultimate X-Men', '26', '$2.25', 'Marvel', '94,291']
['11', 'Transformers War Within', '3', '$2.95', 'Dreamwave', '78,727']
['12', 'Transformers Armada', '6', '$2.95', 'Dreamwave', '72,811']
['13', 'Ultimate Daredevil & Elektra', '2', '$2.25', 'Marvel', '72,693']
['14', 'Ultimate Daredevil & Elektra', '3', '$2.25', 'Marvel', '71,191']
['15', 'Wolverine', '184', '$2.25', 'Marvel', '69,324']
['16', 'Masters of the Universe', '2', '$2.95', 'Image', '67,000']
['17', 'JLA', '76', '$2.25', 'DC', '66,038']
['18', 'Truth', '2', '$3.50', 'Marvel', '65,322']
['19', 'Captain America', '7 (Res)', '$2.99', 'Marvel', '61,589']
['20', 'Thundercats', '5', '$2.95', 'DC', '61,425']
['21', 'Avengers', '61', '$2.25', 'Marvel', '59,547']
['22', 'Avengers', '62', '$2.25', 'Marvel', '59,159']
['23', 'G.I. Joe', '13', '$2.95', 'Image', '58,901']
['24', 'Daredevil', '40', '$2.99', 'Marvel', '58,244']
['25', 'Green Arrow', '20', '$2.50', 'DC', '57,657']
['26', 'Robotech', '1', '$2.95', 'DC', '56,882']
['27', 'Spider-Man Peter Parker', '51', '$2.25', 'Marvel', '56,824']
['28', 'X-Treme X-Men X-Pose', '2', '$2.99', 'Marvel', '54,734']
['29', 'League Of Extraordinary Gentlemen\nVol. II', '5', '$3.50', 'DC', '54,523']
['30', 'Fantastic Four', '64', '$2.25', 'Marvel', '53,866']
['31', 'Incredible Hulk', '48', '$2.25', 'Marvel', '52,210']
['32', 'Robotech', '0', '$2.50', 'DC', '51,365']
['33', 'G.I. Joe Frontline', '3', '$2.95', 'Image', '50,743']
['34', 'Aquaman', '1', '$2.50', 'DC', '48,396']
['35', 'Punisher', '20', '$2.99', 'Marvel', '46,682']
['36', 'JSA', '43', '$2.50', 'DC', '44,252']
['37', 'Detective Comics', '777', '$2.75', 'DC', '43,841']
