['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Blackest Night ', '7', '$3.99', 'DC', '130,613']
['2', 'Siege ', '2', '$3.99', 'Marvel', '108,429']
['3', 'Green Lantern ', '51', '$2.99', 'DC', '95,509']
['4', 'Batman And Robin ', '8', '$2.99', 'DC', '87,302']
['5', 'Batman And Robin ', '9', '$2.99', 'DC', '84,562']
['6', 'Dark Avengers ', '14', '$3.99', 'Marvel', '76,639']
['7', 'New Avengers ', '62', '$3.99', 'Marvel', '76,405']
['8', 'Green Lantern Corps ', '45', '$2.99', 'DC', '75,404']
['9', 'Flash Rebirth ', '6', '$2.99', 'DC', '70,824']
['10', 'Uncanny X-Men ', '521', '$2.99', 'Marvel', '67,049']
['11', 'Thor ', '607', '$2.99', 'Marvel', '66,973']
['12', 'Blackest Night: The Flash ', '3', '$2.99', 'DC', '65,348']
['13', 'Captain America ', '603', '$3.99', 'Marvel', '63,568']
['14', 'Batman ', '696', '$2.99', 'DC', '61,290']
['15', 'Amazing Spider-Man ', '620', '$2.99', 'Marvel', '59,860']
['16', 'Ultimate Comics X ', '1', '$3.99', 'Marvel', '59,159']
['17', 'Blackest Night Wonder Woman ', '3', '$2.99', 'DC', '58,700']
['18', 'Justice League of America ', '42', '$3.99', 'DC', '57,522']
['19', 'Amazing Spider-Man ', '621', '$2.99', 'Marvel', '55,350']
['20', 'Blackest Night JSA ', '3', '$2.99', 'DC', '54,906']
['21', 'Dark Wolverine ', '83', '$2.99', 'Marvel', '53,958']
['22', 'Amazing Spider-Man ', '622', '$3.99', 'Marvel', '53,929']
['23', 'Adventure Comics with Black Lantern\nSuperboy ', '7', '$3.99', 'DC', '53,721']
['24', 'Hulk ', '20', '$3.99', 'Marvel', '51,962']
['25', 'X-Men Legacy ', '233', '$2.99', 'Marvel', '51,344']
['26', 'Invincible Iron Man ', '23', '$2.99', 'Marvel', '50,027']
['27', 'X-Force ', '24', '$2.99', 'Marvel', '49,790']
['28', 'Buffy the Vampire Slayer ', '32', '$2.99', 'Dark Horse', '47,975']
['29', 'Siege Embedded ', '2', '$3.99', 'Marvel', '46,003']
['30', 'Incredible Hulk ', '607', '$3.99', 'Marvel', '45,870']
['31', 'Deadpool ', '19', '$2.99', 'Marvel', '44,580']
['32', 'Deadpool ', '20', '$2.99', 'Marvel', '43,347']
['33', 'Doomwar ', '1', '$3.99', 'Marvel', '43,241']
['34', 'Ultimate Comics Spider-Man ', '7', '$3.99', 'Marvel', '42,176']
['35', 'Black Lantern Green Arrow ', '30', '$3.99', 'DC', '42,014']
['36', 'Avengers Initiative ', '33', '$2.99', 'Marvel', '39,968']
['37', 'Fall of Hulks Red Hulk ', '2', '$3.99', 'Marvel', '39,259']
['38', 'Justice Society of America ', '36', '$2.99', 'DC', '39,060']
['39', 'Daredevil ', '505', '$2.99', 'Marvel', '38,693']
['40', 'Secret Six ', '18', '$2.99', 'DC', '37,876']
['41', 'Fantastic Four ', '576', '$2.99', 'Marvel', '37,526']
['42', 'Red Robin ', '9', '$2.99', 'DC', '36,466']
['43', 'Question ', '37', '$2.99', 'DC', '35,940']
['44', 'Dark X-Men ', '4', '$3.99', 'Marvel', '35,007']
['45', 'Deadpool Merc with a Mouth ', '8', '$2.99', 'Marvel', '34,281']
['46', 'Thunderbolts ', '141', '$2.99', 'Marvel', '33,948']
['47', 'Justice Society of America Annual ', '2', '$4.99', 'DC', '33,518']
['48', 'Supergirl ', '50', '$4.99', 'DC', '33,338']
