['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'FF', '1', '$3.99', 'Marvel', '114,472']
['2', 'Green Lantern', '64', '$2.99', 'DC', '76,898']
['3', 'Green Lantern', '63', '$2.99', 'DC', '75,632']
['4', 'Batman The Dark Knight', '2', '$2.99', 'DC', '71,108']
['5', 'Brightest Day', '21', '$2.99', 'DC', '70,204']
['6', 'Brightest Day', '22', '$2.99', 'DC', '69,824']
['7', 'Batman Incorporated', '3', '$2.99', 'DC', '66,772']
['8', 'Avengers', '11', '$3.99', 'Marvel', '66,618']
['9', 'Batman Incorporated', '4', '$2.99', 'DC', '65,315']
['10', 'Fear Itself Book of The Skull', '1', '$3.99', 'Marvel', '62,714']
['11', 'Kick-Ass 2', '2', '$2.99', 'Marvel', '62,235']
['12', 'Green Lantern Corps', '58', '$2.99', 'DC', '60,100']
['13', 'New Avengers', '10', '$3.99', 'Marvel', '59,929']
['14', 'Batman And Robin', '21', '$2.99', 'DC', '59,818']
['15', 'Amazing Spider-Man', '656', '$3.99', 'Marvel', '59,626']
['16', 'Godzilla Kingdom of Monsters', '1', '$3.99', 'IDW', '58,879']
['17', 'Amazing Spider-Man', '657', '$3.99', 'Marvel', '58,704']
['18', 'Batman', '708', '$2.99', 'DC', '58,594']
['19', 'Uncanny X-Men', '534', '$3.99', 'Marvel', '55,731']
['20', 'Venom', '1', '$3.99', 'Marvel', '53,981']
['21', 'Secret Avengers', '11', '$3.99', 'Marvel', '51,353']
['22', 'Green Lantern Emerald Warriors', '8', '$2.99', 'DC', '51,322']
['23', 'Uncanny X-Force', '6', '$3.99', 'Marvel', '51,248']
['24', 'X-Men', '9', '$3.99', 'Marvel', '51,179']
['25', 'Uncanny X-Force', '5.1', '$2.99', 'Marvel', '50,732']
['26', 'Justice League of America', '55', '$2.99', 'DC', '50,533']
['27', 'X-Men Legacy', '246', '$2.99', 'Marvel', '47,893']
['28', 'Wolverine', '7', '$3.99', 'Marvel', '47,337']
['29', 'Ultimate Comics Spider-Man', '156', '$3.99', 'Marvel', '44,920']
['30', 'Captain America', '616', '$4.99', 'Marvel', '44,394']
['31', 'Ultimate Avengers Vs New Ultimates', '2', '$3.99', 'Marvel', '44,116']
['32', 'Ultimate Comics Spider-Man', '155', '$3.99', 'Marvel', '44,067']
['33', 'Invincible Iron Man', '502', '$3.99', 'Marvel', '43,899']
['34', 'Captain America', '615.1', '$2.99', 'Marvel', '43,117']
['35', 'Thor', '621', '$3.99', 'Marvel', '42,104']
['36', 'Uncanny X-Men Annual', '3', '$3.99', 'Marvel', '41,720']
['37', 'Thor', '620.1', '$2.99', 'Marvel', '41,605']
['38', 'Detective Comics', '875', '$2.99', 'DC', '40,047']
['39', 'Superman', '709', '$2.99', 'DC', '39,846']
