['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Fear Itself', '2', '$3.99', 'Marvel', '96,318']
['2', 'Flashpoint', '1', '$3.99', 'DC', '86,981']
['3', 'Green Lantern', '66', '$2.99', 'DC', '75,371']
['4', 'Avengers', '13', '$3.99', 'Marvel', '68,086']
['5', 'FF', '3', '$2.99', 'Marvel', '66,885']
['6', 'Green Lantern Corps', '60', '$2.99', 'DC', '60,964']
['7', 'FF', '4', '$2.99', 'Marvel', '60,571']
['8', 'Batman Incorporated', '6', '$2.99', 'DC', '60,480']
['9', 'New Avengers', '12', '$3.99', 'Marvel', '60,328']
['10', 'Amazing Spider-Man', '661', '$3.99', 'Marvel', '59,087']
['11', 'Amazing Spider-Man', '660', '$3.99', 'Marvel', '58,249']
['12', 'Batman And Robin', '23', '$2.99', 'DC', '57,525']
['13', 'Amazing Spider-Man', '662', '$3.99', 'Marvel', '55,883']
['14', 'Batman', '710', '$2.99', 'DC', '55,086']
['15', 'Flash', '12', '$2.99', 'DC', '54,914']
['16', 'Uncanny X-Men', '537', '$3.99', 'Marvel', '53,716']
['17', 'Green Lantern Emerald Warriors', '10', '$2.99', 'DC', '52,971']
['18', 'X-Men Giant-Size', '1', '$4.99', 'Marvel', '52,103']
['19', 'Secret Avengers', '13', '$3.99', 'Marvel', '51,936']
['20', 'Uncanny X-Force', '9', '$3.99', 'Marvel', '51,726']
['21', 'Uncanny X-Force', '10', '$3.99', 'Marvel', '50,676']
['22', 'Mighty Thor', '2', '$3.99', 'Marvel', '50,473']
['23', 'Moon Knight', '1', '$3.99', 'Marvel', '49,018']
['24', 'Ultimate Comics Spider-Man', '158', '$3.99', 'Marvel', '47,941']
['25', 'Justice League of America', '57', '$2.99', 'DC', '46,729']
['26', 'X-Men', '11', '$3.99', 'Marvel', '46,519']
['27', 'X-Men Legacy', '248', '$2.99', 'Marvel', '46,083']
['28', 'X-Men Legacy', '249', '$2.99', 'Marvel', '45,063']
['29', 'Invincible Iron Man', '504', '$3.99', 'Marvel', '44,791']
['30', 'Captain America', '618', '$3.99', 'Marvel', '44,748']
['31', 'Wolverine', '9', '$3.99', 'Marvel', '44,635']
['32', 'Action Comics', '901', '$2.99', 'DC', '44,143']
['33', 'Ultimate Avengers Vs New Ultimates', '4', '$3.99', 'Marvel', '43,707']
['34', 'Venom', '3', '$2.99', 'Marvel', '40,634']
['35', 'Detective Comics', '877', '$2.99', 'DC', '39,609']
['36', 'Journey Into Mystery', '623', '$2.99', 'Marvel', '39,003']
['37', 'Astonishing X-Men', '37', '$3.99', 'Marvel', '38,513']
['38', 'Superman', '711', '$2.99', 'DC', '38,471']
['39', 'Astonishing X-Men', '38', '$3.99', 'Marvel', '37,580']
['40', 'Walking Dead', '85', '$2.99', 'Image', '37,552']
['41', 'Batman Arkham City', '1', '$2.99', 'DC', '36,597']
['42', 'Kirby Genesis', '0', '$1.00', 'Dynamic Forces', '36,429']
['43', 'X-Men Prelude to Schism', '1', '$2.99', 'Marvel', '34,796']
['44', 'New Mutants', '25', '$3.99', 'Marvel', '34,724']
['45', 'Fear Itself Spider-Man', '1', '$2.99', 'Marvel', '34,551']
['46', 'Batman Gates of Gotham', '1', '$2.99', 'DC', '32,432']
['47', 'Hulk', '33', '$2.99', 'Marvel', '32,273']
['48', 'Green Arrow', '12', '$2.99', 'DC', '31,742']
['49', 'X-Men Prelude To Schism', '2', '$2.99', 'Marvel', '31,311']
['50', 'Birds of Prey', '12', '$2.99', 'DC', '29,690']
['51', 'Red Robin', '23', '$2.99', 'DC', '29,097']
['52', 'Incredible Hulks', '628', '$2.99', 'Marvel', '28,822']
['53', 'Fear Itself Home Front', '2', '$3.99', 'Marvel', '28,605']
['54', 'Justice Society of America', '51', '$2.99', 'DC', '28,256']
['55', 'Incredible Hulks', '629', '$2.99', 'Marvel', '28,103']
['56', 'Deadpool', '37', '$2.99', 'Marvel', '28,002']
['57', 'Superman Batman', '84', '$2.99', 'DC', '27,991']
['58', 'Deadpool Annual', '1', '$3.99', 'Marvel', '27,592']
['59', 'Daken Dark Wolverine', '9', '$2.99', 'Marvel', '26,294']
['60', 'Daredevil Reborn', '4', '$3.99', 'Marvel', '26,179']
['61', 'X-23', '10', '$2.99', 'Marvel', '26,157']
['62', 'Alpha Flight', '0.1', '$2.99', 'Marvel', '25,775']
['63', 'Batman Beyond', '5', '$2.99', 'DC', '25,413']
['64', 'Thunderbolts', '157', '$2.99', 'Marvel', '25,063']
['65', 'Avengers Academy', '13', '$2.99', 'Marvel', '24,840']
['66', 'X-Factor', '219', '$2.99', 'Marvel', '24,766']
['67', 'Teen Titans', '95', '$2.99', 'DC', '24,738']
['68', 'Fear Itself Youth In Revolt', '1', '$2.99', 'Marvel', '24,709']
['69', 'Superboy', '7', '$2.99', 'DC', '24,622']
['70', 'Daken Dark Wolverine', '9.1', '$2.99', 'Marvel', '24,599']
['71', 'Batgirl', '21', '$2.99', 'DC', '24,043']
['72', 'Astonishing Spider-Man Wolverine', '6', '$3.99', 'Marvel', '23,603']
['73', 'Avengers Academy', '14', '$2.99', 'Marvel', '23,537']
['74', 'Booster Gold', '44', '$2.99', 'DC', '23,332']
['75', 'Annihilators', '3', '$4.99', 'Marvel', '23,145']
['76', 'Legion Of Super Heroes', '13', '$2.99', 'DC', '23,105']
['77', 'Wolverine Best There Is', '6', '$3.99', 'Marvel', '22,695']
['78', 'Adventure Comics', '526', '$2.99', 'DC', '22,271']
['79', 'Secret Warriors', '27', '$2.99', 'Marvel', '22,104']
['80', 'Silver Surfer', '4', '$2.99', 'Marvel', '21,918']
['81', 'Gotham City Sirens', '23', '$2.99', 'DC', '21,488']
['82', 'Supergirl', '64', '$2.99', 'DC', '21,411']
['83', 'Black Panther Man Without Fear', '518', '$2.99', 'Marvel', '20,906']
['84', 'Titans', '35', '$2.99', 'DC', '20,553']
['85', 'Generation Hope', '7', '$2.99', 'Marvel', '20,375']
['86', 'Iron Man 2.0', '5', '$2.99', 'Marvel', '20,320']
['87', 'DC Universe Online Legends', '7', '$2.99', 'DC', '20,064']
['88', 'Heroes For Hire', '6', '$2.99', 'Marvel', '20,057']
['89', 'Rocketeer Adventures', '1', '$3.99', 'IDW', '19,927']
['90', 'Secret Six', '33', '$2.99', 'DC', '19,733']
['91', 'DC Universe Online Legends', '8', '$2.99', 'DC', '19,471']
['92', 'Star Wars Jedi Dark Side', '1', '$2.99', 'Dark Horse', '18,949']
['93', 'Herc', '3', '$2.99', 'Marvel', '18,755']
['94', 'Fables', '105', '$2.99', 'DC', '18,749']
['95', 'Hellboy Being Human One Shot', '\n', '$3.50', 'Dark Horse', '18,688']
['96', 'Boys', '54', '$3.99', 'Dynamic Forces', '18,671']
['97', 'Heroes For Hire', '7', '$2.99', 'Marvel', '18,671']
['98', 'Avengers Academy Giant-Size', '1', '$7.99', 'Marvel', '18,543']
['99', 'Punishermax', '13', '$3.99', 'Marvel', '18,448']
['100', 'Zatanna', '13', '$2.99', 'DC', '18,259']
['101', 'Star Wars Legacy War', '6', '$3.50', 'Dark Horse', '17,944']
['102', 'Star Wars Darth Vader &\nLost Command', '5', '$3.50', 'Dark Horse', '17,526']
['103', 'Herc', '2', '$2.99', 'Marvel', '17,385']
['104', 'Power Girl', '24', '$2.99', 'DC', '17,208']
['105', 'Astonishing Thor', '4', '$3.99', 'Marvel', '17,008']
['106', 'Deadpoolmax', '8', '$3.99', 'Marvel', '16,428']
['107', 'JSA All Stars', '18', '$2.99', 'DC', '16,384']
['108', 'American Vampire', '15', '$2.99', 'DC', '15,876']
['109', 'Namor First Mutant Annual', '1', '$3.99', 'Marvel', '15,259']
['110', 'Marvel Zombies Supreme', '4', '$3.99', 'Marvel', '15,191']
['111', 'Spawn', '207', '$2.99', 'Image', '14,796']
['112', 'Vampirella', '5', '$3.99', 'Dynamic Forces', '14,702']
['113', 'Stand No Mans Land', '4', '$3.99', 'Marvel', '14,696']
['114', 'Godzilla Kingdom Of Monsters', '3', '$3.99', 'IDW', '14,588']
['115', 'Warlord Of Mars Dejah Thoris', '3', '$3.99', 'Dynamic Forces', '14,215']
['116', 'G.I. Joe Vol. 2 Ongoing', '1', '$3.99', 'IDW', '13,703']
['117', 'Captain America First Vengeance', '1', '$2.99', 'Marvel', '13,689']
['118', 'Vampirella Scarlet Legion', '1', '$3.99', 'Dynamic Forces', '13,625']
['119', 'True Blood Tainted Love', '4', '$3.99', 'IDW', '13,617']
['120', 'Garth Ennis Jennifer Blood', '3', '$3.99', 'Dynamic Forces', '13,502']
['121', 'Walking Dead Survivors Guide', '2', '$2.99', 'Image', '13,419']
['122', 'Cinderella Fables Are Forever', '4', '$2.99', 'DC', '13,377']
['123', 'Onslaught Unleashed', '4', '$3.99', 'Marvel', '13,295']
['124', 'Action Comics', '900', '$5.99', 'DC', '12,852']
['125', 'Outsiders', '39', '$2.99', 'DC', '12,840']
['126', 'Conan Road Of Kings', '5', '$3.50', 'Dark Horse', '12,672']
['127', 'Skaar King Of Savage Land', '3', '$2.99', 'Marvel', '12,661']
['128', 'Mega Man', '1', '$2.99', 'Archie', '12,586']
['129', 'Spider-Girl', '7', '$2.99', 'Marvel', '12,563']
['130', 'Chew', '27', '$2.99', 'Image', '12,561']
['131', 'Snake Eyes', '1', '$3.99', 'IDW', '12,197']
['132', 'Captain America First Vengeance', '2', '$2.99', 'Marvel', '12,116']
['133', 'King Conan Scarlet Citadel', '4', '$3.50', 'Dark Horse', '12,040']
['134', 'Namor First Mutant', '10', '$2.99', 'Marvel', '12,027']
['135', 'Cobra Ongoing', '1', '$3.99', 'IDW', '11,949']
['136', 'BPRD Dead Remembered', '2', '$3.50', 'Dark Horse', '11,714']
['137', 'Unwritten', '25', '$2.99', 'DC', '11,137']
['138', 'Hawkeye: Blind Spot', '4', '$2.99', 'Marvel', '11,126']
['139', 'Image Firsts Invincible', '1', '$1.00', 'Image', '11,106']
['140', 'Ruse', '3', '$2.99', 'Marvel', '10,749']
['141', 'Artifacts', '7', '$3.99', 'Image', '10,667']
['142', 'Witchblade', '144', '$4.99', 'Image', '10,662']
['143', 'Izombie', '13', '$2.99', 'DC', '10,567']
['144', 'Wolverine Hercules Myths Monsters\nAnd Mutants', '3', '$2.99', 'Marvel', '10,477']
['145', 'Hellraiser', '2', '$3.99', 'Boom', '10,366']
['146', 'Jonah Hex', '67', '$2.99', 'DC', '10,288']
['147', 'G.I. Joe A Real American Hero', '166', '$3.99', 'IDW', '10,117']
['148', 'Transformers Ongoing', '19', '$3.99', 'IDW', '10,089']
['149', 'Irredeemable', '25', '$3.99', 'Boom', '10,082']
['150', 'Rebels', '28', '$2.99', 'DC', '10,000']
['151', 'Strange Adventures', '1', '$7.99', 'DC', '9,999']
['152', 'Super Dinosaur', '2', '$2.99', 'Image', '9,945']
['153', 'Young Justice', '4', '$2.99', 'DC', '9,729']
['154', 'Crossed Psychopath', '2', '$3.99', 'Avatar', '9,692']
['155', 'Lady Death', '5', '$3.99', 'Avatar', '9,656']
['156', 'Captain America Hail Hydra', '5', '$2.99', 'Marvel', '9,637']
['157', 'Sigil', '3', '$2.99', 'Marvel', '9,595']
['158', 'Hellblazer', '279', '$2.99', 'DC', '9,454']
['159', 'Thunder Agents', '7', '$2.99', 'DC', '9,453']
['160', 'Dungeons And Dragons', '7', '$3.99', 'IDW', '9,427']
['161', 'GFT Dream Eater Crossover (Pt 1)', '1', '$5.99', 'Zenescope', '9,304']
['162', 'Doom Patrol', '22', '$2.99', 'DC', '9,299']
['163', 'GFT Myths & Legends', '4', '$2.99', 'Zenescope', '9,224']
['164', 'Witchfinder Lost & Gone\nForever', '4', '$2.99', 'Dark Horse', '9,168']
['165', 'Weird Worlds', '5', '$3.99', 'DC', '9,043']
['166', 'Power Man And Iron Fist', '5', '$2.99', 'Marvel', '8,892']
['167', 'Mouse Guard Black Axe', '2', '$3.50', 'Archaia', '8,760']
