['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Batman', '619', '$2.25', 'DC', '235,122']
['2', 'JLA Avengers', '1', '$5.95', 'Marvel', '191,014']
['3', 'Marvel 1602', '2', '$3.50', 'Marvel', '133,503']
['4', 'Ultimate Six', '1', '$2.99', 'Marvel', '132,703']
['5', 'Ultimate X-Men', '37', '$2.25', 'Marvel', '109,238']
['6', 'New X-Men', '146', '$2.25', 'Marvel', '106,181']
['7', 'Ultimate Spider-Man', '46', '$2.99', 'Marvel', '106,017']
['8', 'Superman/Batman', '2', '$2.95', 'DC', '105,076']
['9', 'New X-Men', '145', '$2.25', 'Marvel', '101,879']
['10', 'Uncanny X-Men', '430', '$2.25', 'Marvel', '94,707']
['11', 'Uncanny X-Men', '431', '$2.25', 'Marvel', '92,873']
['12', 'Amazing Spider-Man', '58', '$2.25', 'Marvel', '92,826']
['13', 'Wolverine', '5', '$2.25', 'Marvel', '82,199']
['14', 'Supreme Power', '2', '$2.99', 'Marvel', '77,943']
['15', 'Spectacular Spider-Man', '4', '$2.25', 'Marvel', '74,957']
['16', 'Transformers/G.I. Joe', '1', '$2.95', 'Dreamwave', '74,228']
['17', 'Teen Titans', '3', '$2.50', 'DC', '67,010']
['18', 'X-Treme X-Men', '31', '$2.99', 'Marvel', '64,588']
['19', 'G.I. Joe/Transformers', '3', '$2.95', 'Image', '60,779']
['20', 'Daredevil', '51', '$2.99', 'Marvel', '59,980']
['21', 'JLA', '86', '$2.25', 'DC', '59,839']
['22', 'JLA', '87', '$2.25', 'DC', '59,016']
['23', 'Incredible Hulk', '60', '$2.25', 'Marvel', '58,922']
['24', 'Daredevil', '52', '$2.99', 'Marvel', '58,898']
['25', 'Incredible Hulk', '61', '$2.25', 'Marvel', '57,629']
['26', 'League of Extraordinary Gentlemen\nVol. II', '6', '$3.50', 'DC', '57,276']
['27', 'Fantastic Four', '504', '$2.25', 'Marvel', '54,196']
['28', 'Born', '3', '$3.50', 'Marvel', '51,539']
['29', 'Spider-Man & Wolverine', '4', '$2.99', 'Marvel', '50,622']
['30', 'Born', '4', '$3.50', 'Marvel', '49,893']
['31', 'Venom', '4', '$2.25', 'Marvel', '47,166']
['32', 'Outsiders', '4', '$2.50', 'DC', '47,072']
['33', 'JSA', '52', '$2.50', 'DC', '43,991']
['34', 'Emma Frost', '3', '$2.50', 'Marvel', '43,639']
['35', 'JLA Z', '1', '$2.50', 'DC', '43,592']
['36', 'Captain America', '17', '$2.99', 'Marvel', '43,545']
['37', 'Captain America', '18', '$2.99', 'Marvel', '42,957']
['38', 'Exiles', '33', '$2.99', 'Marvel', '41,875']
['39', 'Superman Birthright', '3', '$2.95', 'DC', '41,805']
['40', 'New Mutants', '4', '$2.25', 'Marvel', '41,687']
['41', 'Exiles', '34', '$2.99', 'Marvel', '41,170']
['42', 'Green Arrow', '30', '$2.50', 'DC', '40,676']
['43', 'Formerly Known at the Justice League', '3', '$2.50', 'DC', '40,371']
['44', 'Mystique', '6', '$2.99', 'Marvel', '38,842']
['45', 'Street Fighter', '1', '$2.95', 'Image', '38,419']
['46', 'Spawn', '128', '$2.50', 'Image', '38,301']
['47', 'Detective Comics', '786', '$2.75', 'DC', '37,996']
['48', 'Punisher', '32', '$2.99', 'Marvel', '37,455']
['49', 'Punisher', '31', '$2.99', 'Marvel', '37,220']
['50', 'Thor Vikings', '3', '$3.50', 'Marvel', '35,268']
['51', 'Flash', '202', '$2.25', 'DC', '34,798']
['52', 'Superman', '197', '$2.25', 'DC', '33,623']
['53', 'Green Lantern', '169', '$2.25', 'DC', '33,340']
['54', 'JSA All Stars', '5', '$2.50', 'DC', '33,270']
['55', 'Wolverine Snikt', '4', '$2.99', 'Marvel', '32,870']
['56', 'Thor', '68', '$2.99', 'Marvel', '32,541']
['57', 'Batman Death & Maidens', '2', '$2.95', 'DC', '32,141']
['58', 'Action Comics', '807', '$2.25', 'DC', '31,036']
['59', 'Transformers Armada', '15', '$2.95', 'Dreamwave', '30,683']
['60', 'Iron Man', '72', '$2.99', 'Marvel', '30,613']
['61', 'Trouble', '3', '$2.99', 'Marvel', '30,237']
['62', 'Nightwing', '85', '$2.25', 'DC', '29,461']
['63', 'Birds of Prey', '59', '$2.50', 'DC', '29,461']
['64', 'Hawkman', '19', '$2.50', 'DC', '29,155']
['65', 'Authority Vol. 2', '5', '$2.95', 'DC', '28,967']
['66', 'Batman Gotham Knights', '45', '$2.75', 'DC', '28,826']
['67', 'Adventures of Superman', '620', '$2.25', 'DC', '28,262']
['68', 'Kingpin', '4', '$2.50', 'Marvel', '28,215']
['69', 'Thundercats Dogs of War', '4', '$2.95', 'DC', '28,121']
['70', 'Batgirl', '44', '$2.50', 'DC', '27,956']
['71', 'Alias', '26', '$2.99', 'Marvel', '27,768']
['72', 'Wonder Woman', '196', '$2.25', 'DC', '27,697']
['73', 'Weapon X', '12', '$2.99', 'Marvel', '27,063']
['74', 'Aquaman', '10', '$2.50', 'DC', '26,522']
['75', 'Arkham Asylum Living Hell', '5', '$2.50', 'DC', '26,216']
['76', 'Fables', '17', '$2.50', 'DC', '26,005']
['77', 'Superman & Batman\nGenerations IIi', '9', '$2.95', 'DC', '25,981']
['78', 'Captain Marvel', '14', '$2.99', 'Marvel', '25,769']
['79', 'Crimson Dynamo', '1', '$2.50', 'Marvel', '25,605']
['80', 'Batman Legends of the Dark Knight', '171', '$2.50', 'DC', '25,440']
['81', 'Dark Days', '3', '$3.99', 'Idea and Design Works', '25,111']
['82', 'Namor', '6', '$2.25', 'Marvel', '24,735']
['83', 'Transformers More Than Meets Eye\nOfficial Gd', '6', '$5.25', 'Dreamwave', '24,594']
['84', 'Transformers More Than Meets Eye\nOfficial Gd', '5', '$5.25', 'Dreamwave', '24,359']
['85', 'G.I. Joe Frontline', '14', '$2.95', 'Image', '24,265']
