['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'X-Men', '59', '$1.95', 'Marvel', '202,024']
['2', 'Uncanny X-Men', '339', '$1.95', 'Marvel', '200,127']
['3', 'Wolverine', '108', '$1.95', 'Marvel', '179,775']
['4', 'Spawn the Impaler', '1', '$2.95', 'Image', '172,838']
['5', 'Spawn', '55', '$1.95', 'Image', '162,896']
['6', 'Fantastic Four (Vol. 2)', '2', '$1.95', 'Marvel', '162,475']
['7', 'DC/Marvel: All Access', '1', '$2.95', 'DC', '150,664']
['8', 'Iron Man (Vol. 2)', '2', '$1.95', 'Marvel', '139,986']
['9', 'Generation X', '22', '$1.95', 'Marvel', '137,175']
['10', 'Curse of the Spawn: Dark Future\nPart 2 Blood Lust', '1', '$1.95', 'Image', '136,955']
['11', 'Captain America (Vol. 2)', '2', '$1.95', 'Marvel', '131,863']
['12', 'Avengers (Vol. 2)', '2', '$1.95', 'Marvel', '130,961']
['13', 'X-Man', '22', '$1.95', 'Marvel', '130,441']
['14', 'X-Force', '61', '$1.95', 'Marvel', '125,752']
['15', 'Spider-Man', '75', '$2.95', 'Marvel', '124,664']
['16', 'X-Men Unlimited', '13', '$2.95', 'Marvel', '122,694']
['17', 'Gen13', '14', '$2.50', 'Image', '121,937']
['18', 'X-Factor', '129', '$1.95', 'Marvel', '119,680']
['19', 'Cable', '38', '$1.95', 'Marvel', '119,162']
['20', 'Magneto', '2', '$1.95', 'Marvel', '116,973']
['21', 'Amazing Spider-Man', '418', '$1.50', 'Marvel', '112,113']
['22', 'X-Men: Rise of the Apocalypse', '3', '$1.95', 'Marvel', '105,266']
['23', 'Mystique & Sabretooth', '1', '$1.95', 'Marvel', '102,851']
['24', 'Excalibur', '104', '$1.95', 'Marvel', '100,793']
['25', 'Spectacular Spider-Man', '241', '$1.50', 'Marvel', '99,661']
['26', 'Sensational Spider-Man', '11', '$1.95', 'Marvel', '97,569']
['27', 'X.S.E.', '2', '$1.95', 'Marvel', '96,662']
['28', 'Witchblade', '10', '$2.50', 'Top Cow', '92,391']
['29', 'Lady Death: The Crucible', '1', '$3.50', 'Chaos', '91,719']
['30', 'Tales of the Witchblade', '1', '$2.95', 'Top Cow', '87,245']
['31', 'Incredible Hulk', '448', '$1.50', 'Marvel', '86,843']
['32', 'Green Lantern (Enhanced)', '81', '$3.95', 'DC', '72,269']
['33', 'Elektra', '2', '$1.95', 'Marvel', '71,317']
['34', 'Star Wars: Shadows of the Empire', '6', '$2.95', 'Dark Horse', '70,988']
['35', 'X-Files', '23', '$2.95', 'Topps', '70,750']
['36', 'Batman', '537', '$1.95', 'DC', '70,014']
['37', 'Darkchylde/Glory', '1', '$2.95', 'Extreme', '68,852']
['38', 'Supergirl', '4', '$1.95', 'DC', '67,312']
['39', 'WildC.A.T.S', '33', '$2.50', 'Image', '66,276']
['40', 'Darkchylde/Avengelyne', '1', '$2.99', 'Maximum', '65,120']
['41', 'Star Wars: Golden Age of the Sith', '1', '$2.95', 'Dark Horse', '65,078']
['42', 'Detective Comics', '704', '$1.95', 'DC', '64,168']
['43', 'Batman: The Long Halloween', '1', '$4.95', 'DC', '63,230']
['44', 'Venom: Tooth & Claw', '1', '$1.95', 'Marvel', '63,132']
['45', 'Superman', '118', '$1.95', 'DC', '62,705']
['46', 'Nightwing', '3', '$1.95', 'DC', '56,677']
['47', 'X-Files Season One', '4', '$3.95', 'Topps', '56,236']
['48', 'Journey into Mystery', '504', '$1.50', 'Marvel', '55,408']
['49', 'Crypt of Dawn', '1', '$2.95', 'Sirius', '54,576']
['50', 'Batman: Shadow of the Bat', '57', '$1.95', 'DC', '53,960']
['51', 'Spider-Man Unlimited', '14', '$2.95', 'Marvel', '53,545']
['52', 'Spider-Man: Redemption', '4', '$1.50', 'Marvel', '53,541']
['53', 'Abominations', '1', '$1.50', 'Marvel', '53,506']
['54', 'Superman/WW: Whom the Gods Would Destroy', '1', '$4.95', 'DC', '53,372']
['55', 'Batman: Legends of the Dark Knight', '89', '$1.95', 'DC', '51,580']
['56', 'Robin', '36', '$1.95', 'DC', '51,230']
['57', 'Preacher', '20', '$2.50', 'DC', '51,202']
['58', 'Preacher Special: The Story of You\nKnow Who', '1', '$4.95', 'DC', '49,745']
['59', 'Batman: Death of Innocents', '1', '$3.95', 'DC', '49,241']
