['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', "Superman (Collector's Edition)", '123', '$1.95', 'DC', '213,481']
['2', 'Uncanny X-Men', '344', '$1.95', 'Marvel', '175,306']
['3', 'X-Men', '64', '$1.95', 'Marvel', '172,821']
['4', 'Fantastic Four', '7', '$1.95', 'Marvel', '153,457']
['5', 'Spawn', '60', '$1.95', 'Image', '140,759']
['6', 'Wolverine', '113', '$1.95', 'Marvel', '137,261']
['7', 'Iron Man', '7', '$1.95', 'Marvel', '133,706']
['8', 'Avengers', '7', '$1.95', 'Marvel', '118,560']
['9', "X-Men '97", '', '$2.99', 'Marvel', '115,704']
['10', 'Generation X', '27', '$1.95', 'Marvel', '111,830']
['11', 'Captain America', '7', '$1.95', 'Marvel', '109,134']
['12', 'X-Man', '27', '$1.95', 'Marvel', '104,349']
['13', 'Adventures of Superman', '546', '$1.95', 'DC', '100,614']
['14', 'X-Factor', '134', '$1.95', 'Marvel', '98,816']
['15', 'X-Force', '66', '$1.95', 'Marvel', '98,421']
['16', 'Curse of the Spawn', '7', '$1.95', 'Image', '98,257']
['17', 'Action Comics', '733', '$1.95', 'DC', '96,929']
['18', 'Witchblade', '13', '$2.50', 'Image', '90,928']
['19', 'Cable', '43', '$1.95', 'Marvel', '90,306']
['20', 'Superman: The Man of Steel', '67', '$1.95', 'DC', '88,415']
['21', 'Darkness', '4', '$2.50', 'Image', '87,835']
['22', 'JLA', '5', '$1.95', 'DC', '87,637']
['23', 'Excalibur', '109', '$1.95', 'Marvel', '80,026']
['24', 'Amazing Spider-Man', '423', '$1.95', 'Marvel', '79,818']
['25', 'Incredible Hulk', '453', '$1.95', 'Marvel', '75,794']
['26', 'Beast', '1', '$2.50', 'Marvel', '75,703']
['27', 'Arcanum', '1', '$2.50', 'Image', '74,415']
['28', 'Spider-Man', '80', '$1.95', 'Marvel', '74,207']
['29', 'Batman vs. Aliens', '1', '$4.95', 'Dark Horse', '73,763']
['30', 'Spectacular Spider-Man', '246', '$1.95', 'Marvel', '69,097']
['31', 'Sensational Spider-Man', '16', '$1.95', 'Marvel', '65,824']
['32', 'Gen13: Bootleg', '5', '$2.50', 'Image', '64,496']
['33', 'Deadpool', '5', '$1.95', 'Marvel', '64,157']
['34', 'Batman', '542', '$1.95', 'DC', '59,829']
['35', 'Thunderbolts', '2', '$1.95', 'Marvel', '59,589']
['36', 'Sin City: Sex & Violence', '', '$2.95', 'Dark Horse', '56,335']
['37', 'X-Files', '28', '$2.95', 'Topps', '55,832']
['38', 'Detective Comics', '709', '$1.95', 'DC', '54,450']
['39', 'Darkchylde', '5', '$2.50', 'Image', '54,235']
['40', "Incredible Hulk '97", '', '$2.99', 'Marvel', '53,999']
['41', 'Supergirl', '9', '$1.95', 'DC', '53,325']
['42', 'WildC.A.T.S', '36', '$2.50', 'Image', '53,236']
['43', 'Batman: The Long Halloween', '6', '$2.95', 'DC', '52,697']
['44', 'Ka-Zar', '1', '$1.95', 'Marvel', '50,727']
['45', 'Superman (Newsstand Edition)', '123', '$1.95', 'DC', '49,963']
['46', 'Preacher', '25', '$2.50', 'DC', '49,532']
['47', 'Elektra', '7', '$1.95', 'Marvel', '48,552']
['48', 'Pitt', '13', '$1.95', 'Full Bleed', '48,072']
['49', 'Spider-Man Unlimited', '16', '$2.99', 'Marvel', '47,299']
['50', 'Batman: Legends of the Dark Knight', '94', '$1.95', 'DC', '46,690']
['51', 'DV8', '6', '$2.50', 'Image', '46,517']
['52', 'Green Lantern', '86', '$1.75', 'DC', '45,757']
['53', 'Azrael/Ash', '', '$4.95', 'DC', '45,554']
['54', 'Batman: Shadow of the Bat', '62', '$1.95', 'DC', '44,608']
['55', 'Nightwing', '8', '$1.95', 'DC', '44,220']
['56', "Kurt Busiek's Astro City Vol. 2", '8', '$2.50', 'Image', '44,208']
['57', 'Batman/Wildcat', '2', '$2.25', 'DC', '43,579']
['58', 'Untold Tales of Spider-Man', '21', '$0.99', 'Marvel', '42,216']
['59', 'Spider-Man/Badrock', '1', '$2.99', 'Maximum', '42,084']
['60', 'Catwoman', '45', '$1.95', 'DC', '41,276']
['61', 'Robin', '41', '$1.95', 'DC', '40,929']
['62', 'Flash', '125', '$1.75', 'DC', '40,516']
['63', 'Spider-Man/Badrock', '2', '$2.99', 'Maximum', '40,480']
['64', 'Tenth', '2', '$2.50', 'Image', '39,170']
['65', 'Silver Surfer', '128', '$1.95', 'Marvel', '38,866']
['66', 'Unknown Soldier', '2', '$2.50', 'DC', '38,033']
['67', 'Savant Garde', '1', '$2.50', 'Image', '37,788']
['68', 'Cyberforce', '32', '$2.50', 'Image', '37,596']
['69', 'Star Wars: A New Hope Special\nEdition', '3', '$2.95', 'Dark Horse', '37,507']
['70', 'Adventures in the DC Universe', '1', '$1.75', 'DC', '37,076']
['71', 'Wonder Woman', '121', '$1.95', 'DC', '36,926']
['72', 'Daredevil', '364', '$1.95', 'Marvel', '35,905']
['73', 'Venom: On Trial', '3', '$1.95', 'Marvel', '35,828']
['74', 'Dreaming', '12', '$2.50', 'DC', '34,515']
['75', 'Journey into Mystery', '509', '$1.95', 'Marvel', '34,157']
['76', 'Azrael', '29', '$1.95', 'DC', '34,090']
['77', 'Code of Honor', '4', '$5.95', 'Marvel', '33,904']
['78', 'Hellshock', '3', '$2.50', 'Image', '33,145']
['79', 'Maxx', '29', '$1.95', 'Image', '32,972']
['80', "Classic Star Wars: Han Solo at\nStar's End", '1', '$2.95', 'Dark Horse', '32,810']
['81', 'Suspira: The Great Working', '1', '$2.95', 'Chaos', '32,559']
['82', 'Wetworks', '27', '$2.50', 'Image', '32,152']
['83', 'Teen Titans', '8', '$1.95', 'DC', '31,961']
['84', 'Adventures in the DC Universe', '2', '$1.75', 'DC', '31,865']
['85', 'Resurrection Man', '1', '$2.50', 'DC', '31,691']
['86', 'Impulse', '25', '$1.75', 'DC', '31,015']
['87', 'Anarky', '1', '$2.50', 'DC', '30,818']
['88', 'Superboy', '39', '$1.95', 'DC', '30,459']
['89', 'Aquaman', '32', '$1.75', 'DC', '30,303']
['90', 'Hitman', '14', '$2.25', 'DC', '29,765']
['91', 'What If?', '97', '$1.95', 'Marvel', '29,476']
['92', 'Starman', '30', '$2.25', 'DC', '29,454']
['93', 'Shi Rekishi', '2', '$2.95', 'Crusade', '29,406']
['94', 'Bone', '28', '$2.95', 'Cartoon', '29,101']
['95', 'Chastity', '2', '$2.95', 'Chaos', '28,945']
['96', 'Savage Dragon', '37', '$2.50', 'Image', '28,149']
['97', 'Star Trek: Voyager', '7', '$1.95', 'Marvel', '27,837']
['98', 'Books of Magic', '36', '$2.50', 'DC', '27,731']
