['92', 'Ruse', '12', '$2.95', 'Crossgen', '21,686']
['93', 'Ruse', '13', '$2.95', 'Crossgen', '21,565']
['94', 'Harley Quinn', '25', '$2.50', 'DC', '21,407']
['95', 'Star Wars Republic', '47', '$2.99', 'Dark Horse', '21,371']
['96', 'Fables', '6', '$2.50', 'DC', '21,214']
['97', 'Liberty Meadows', '28', '$2.95', 'Image', '21,008']
['98', 'Black Panther', '50', '$2.50', 'Marvel', '20,778']
['99', 'Tomb Raider Journeys', '7', '$2.99', 'Image', '20,706']
['100', 'Out There', '14', '$2.95', 'DC', '20,283']
['101', 'Way of the Rat', '6', '$2.95', 'Crossgen', '19,871']
['102', 'Tom Strongs Terrific Tales', '5', '$2.95', 'DC', '19,787']
['103', 'Path', '7', '$2.95', 'Crossgen', '19,545']
['104', 'Path', '8', '$2.95', 'Crossgen', '19,508']
['105', 'Hellblazer', '177 (Res)', '$2.75', 'DC', '19,327']
['106', 'Stormwatch Team Achilles', '4', '$2.95', 'DC', '18,988']
['107', 'Gotham Girls', '3', '$2.25', 'DC', '18,964']
['108', 'Promethea', '23', '$3.50', 'DC', '18,928']
['109', 'Wildcats Version 3.0', '3', '$2.95', 'DC', '18,892']
['110', 'Apache Skies', '4', '$2.99', 'Marvel', '18,420']
['111', 'Hood', '6', '$2.99', 'Marvel', '18,178']
['112', 'Green Lantern Evils Might', '3', '$5.95', 'DC', '18,142']
['113', 'Buffy the Vampire Slayer', '50', '$3.50', 'Dark Horse', '17,465']
['114', 'Spectre', '22', '$2.75', 'DC', '17,090']
['115', 'Scion', '29', '$2.95', 'Crossgen', '16,799']
['116', 'Elektra Glimpse & Echo', '4', '$2.99', 'Marvel', '16,545']
['117', 'Doom Patrol', '13', '$2.50', 'DC', '16,533']
['118', 'B-Sides', '2', '$2.99', 'Marvel', '16,110']
['119', 'Power Company', '9', '$2.75', 'DC', '15,989']
['120', 'Justice League Adventures', '12', '$2.25', 'DC', '15,953']
['121', 'Simpsons Comics', '75', '$2.50', 'Bongo', '15,832']
['122', 'Buffy the\nVampire Slayer Tales of the Slayers Broken\nBottle Of Djinn', '$3.50', 'Dark Horse', '15,747']
['123', 'Y The Last Man', '4', '$2.95', 'DC', '15,529']
['124', 'Route 666', '5', '$2.95', 'Crossgen', '15,239']
['125', 'Negation Lawbringer', '1', '$2.95', 'Crossgen', '15,082']
['126', 'Azrael Agent of the Bat', '95', '$2.95', 'DC', '15,034']
['127', 'Lucifer', '31', '$2.50', 'DC', '14,949']
['128', 'Athena Inc', '4', '$2.95', 'Image', '14,417']
['129', '21 Down', '2', '$2.95', 'DC', '14,356']
['130', 'Crux', '19', '$2.95', 'Crossgen', '14,344']
['131', 'Negation', '11', '$2.95', 'Crossgen', '14,235']
['132', 'Mystic', '29', '$2.95', 'Crossgen', '14,078']
['133', 'Sigil', '29', '$2.95', 'Crossgen', '13,909']
['134', 'Limbo City', '2', '$2.95', 'Dreamwave', '13,885']
['135', 'First', '24', '$2.95', 'Crossgen', '13,679']
['136', 'Fate of the Blade', '3', '$2.95', 'Dreamwave', '13,655']
['137', 'Meridian', '28', '$2.95', 'Crossgen', '13,558']
['138', 'Meridian', '29', '$2.95', 'Crossgen', '13,534']
['139', 'Arkanium', '2', '$2.95', 'Dreamwave', '13,485']
['140', 'Hellspawn', '18', '$2.50', 'Image', '13,473']
['141', 'Savage Dragon', '104', '$2.95', 'Image', '13,195']
['142', 'Hunter Age Of Magic', '16', '$2.75', 'DC', '13,123']
['143', 'Strangers In Paradise Vol. III', '54', '$2.95', 'Abstract', '12,965']
['144', 'Batman Gotham Adventures', '55', '$2.25', 'DC', '12,651']
['145', 'Lady Death Halloween Special', '1', '$2.99', 'Chaos', '12,445']
['146', 'Codename Knockout', '18', '$2.75', 'DC', '12,445']
['147', 'Grendel Red White & Black', '2', '$4.99', 'Dark Horse', '12,409']
['148', 'Point Blank', '3', '$2.95', 'DC', '11,768']
['149', 'Automatic Kafka', '4', '$2.95', 'DC', '11,587']
['150', 'Black Sun', '2', '$2.95', 'DC', '11,514']
['151', 'Mage Knight Stolen Destiny', '1', '$3.50', 'IDW', '11,369']
['152', 'Resistance', '2', '$2.95', 'DC', '11,296']
['153', 'Noble Causes Family Secrets', '1', '$2.95', 'Image', '11,091']
['154', 'Vampi', '24 Reg Ed', '$2.99', 'Harris', '11,054']
['155', 'Fight For Tomorrow', '2', '$2.50', 'DC', '11,018']
['156', 'Vampirella', '14 Reg Ed', '$2.99', 'Harris', '10,861']
['157', 'Lady Death Dark Alliance', '5', '$2.99', 'Chaos', '10,825']
['158', 'Radioactive Man', '106', '$2.50', 'Bongo', '10,813']
['159', 'Witchblade', '1/2', '$2.99', 'Image', '10,595']
['160', 'Purgatori Trick Or Treat', '1', '$2.99', 'Chaos', '10,474']
['161', 'Powerpuff Girls', '31', '$2.25', 'DC', '9,869']
['162', 'Midnight Mass', '7', '$2.50', 'DC', '9,784']
['163', 'Lab Rats', '7', '$2.50', 'DC', '9,264']
['164', '100 Percent', '5', '$5.95', 'DC', '8,829']
['165', 'Teenage Mutant Ninja Turtles', '6', '$2.95', 'Mirage', '8,769']
['166', '3 Little Kittens', '2', '$2.95', 'Broadsword', '8,744']
['167', 'Oh My Goddess', '91', '$2.99', 'Dark Horse', '8,236']
['168', 'Usagi Yojimbo', '61', '$2.99', 'Dark Horse', '8,128']
['169', 'Crusades', '20', '$2.95', 'DC', '8,103']
['170', 'Vertigo Pop Tokyo', '4', '$2.95', 'DC', '8,067']
['171', 'Superpatriot Americas Fighting Force', '4', '$2.95', 'Image', '7,861']
['172', 'Knights of the Dinner Table', '72', '$3.99', 'Kenzer', '7,765']
['173', 'Evil Ernie Horror', '1', '$4.50', 'Chaos', '7,257']
['174', 'Dragonball Z Part 5', '10', '$2.95', 'Viz', '6,954']
['175', 'Girl Genius', '8', '$3.95', 'Studio Foglio', '6,942']
['176', '30 Days Of Night', '3', '$3.99', 'IDW', '6,918']
['177', 'Scooby-Doo', '65', '$2.25', 'DC', '6,809']
['178', 'Cerebus', '283', '$2.25', 'Aardvark-Vanaheim', '6,785']
['179', 'Paradigm', '2', '$3.50', 'Image', '6,749']
