['92', 'JLA Destiny', '2', '$5.95', 'DC', '24,221']
['93', 'Marvel Knights Double Shot', '4 (Res)', '$2.99', 'Marvel', '24,159']
['94', 'Superman Aliens II Godwar', '2', '$2.99', 'Dark Horse', '24,136']
['95', 'Marvel Knights Vol. 2', '5', '$2.99', 'Marvel', '24,046']
['96', 'Thing Freakshow', '2', '$2.99', 'Marvel', '23,984']
['97', 'Blade', '5', '$2.99', 'Marvel', '22,958']
['98', 'Harley Quinn', '22', '$2.25', 'DC', '22,547']
['99', 'Hood', '3', '$2.99', 'Marvel', '22,085']
['100', 'Elektra Glimpse & Echo', '1', '$3.50', 'Marvel', '21,600']
['101', 'Star Wars', '44', '$2.99', 'Dark Horse', '21,369']
['102', 'Beautiful Killer', '1', '$2.99', 'Wizard', '21,092']
['103', 'Muties', '6', '$2.50', 'Marvel', '20,918']
['104', 'Morlocks', '4', '$2.50', 'Marvel', '20,664']
['105', 'Black Panther', '47', '$2.50', 'Marvel', '20,546']
['106', 'Lone Wolf 2100', '3', '$2.99', 'Dark Horse', '20,489']
['107', 'Supergirl', '72', '$2.25', 'DC', '20,478']
['108', 'Hellblazer', '176', '$2.50', 'DC', '20,348']
['109', 'Way of the Rat', '3', '$2.95', 'Crossgen', '20,303']
['110', 'Warlands Age Of Ice', '7', '$2.95', 'Dreamwave', '20,208']
['111', 'Fables', '3', '$2.50', 'DC', '19,469']
['112', 'Power Company', '6', '$2.50', 'DC', '18,889']
['113', 'Deadline', '4', '$2.99', 'Marvel', '18,832']
['114', '100 Bullets', '38', '$2.50', 'DC', '18,719']
['115', 'Spectre', '19', '$2.50', 'DC', '18,641']
['116', 'Route 666', '2', '$2.95', 'Crossgen', '18,392']
['117', 'Doom Patrol', '10', '$2.50', 'DC', '18,195']
['118', 'Justice League Adventures', '9', '$1.99', 'DC', '18,015']
['119', 'Transmetropolitan', '58', '$2.50', 'DC', '17,925']
['120', 'Scion', '26', '$2.95', 'Crossgen', '17,632']
['121', 'Buffy the Vampire Slayer Willow\n& Tara Wilderness', '1', '$2.99', 'Dark Horse', '17,530']
['122', 'High Roads', '4', '$2.95', 'DC', '17,451']
['123', 'Buffy the Vampire Slayer', '47', '$2.99', 'Dark Horse', '17,417']
['124', 'Automatic Kafka', '1', '$2.95', 'DC', '16,899']
['125', 'Flash Time Flies', '', '$5.95', 'DC', '16,617']
['126', 'Hip Flask Unnatural Selection', '', '$2.99', 'Active Images', '16,566']
['127', 'X-Men Evolution', '9', '$2.25', 'Marvel', '16,324']
['128', 'Azrael Agent of the Bat', '92', '$2.50', 'DC', '16,217']
['129', 'Shidima', '5', '$2.95', 'Dreamwave', '16,200']
['130', 'Suicide Squad', '11', '$2.50', 'DC', '15,862']
['131', 'Crux', '16', '$2.95', 'Crossgen', '15,428']
['132', 'Simpsons Comics', '72', '$2.50', 'Bongo', '15,360']
['133', 'Y The Last Man', '1', '$2.95', 'DC', '15,287']
['134', 'Lucifer', '28', '$2.50', 'DC', '15,275']
['135', 'Bone', '49', '$2.95', 'Cartoon', '15,270']
['136', 'Mystic', '26', '$2.95', 'Crossgen', '15,072']
['137', 'Negation', '8', '$2.95', 'Crossgen', '14,988']
['138', 'Sigil', '26', '$2.95', 'Crossgen', '14,768']
['139', 'Impulse', '88', '$2.50', 'DC', '14,548']
['140', 'First', '21', '$2.95', 'Crossgen', '14,537']
['141', 'Lady Death Dark Alliance', '2', '$2.99', 'Chaos', '13,804']
['142', 'Mutant Earth', '2', '$2.95', 'Image', '13,410']
['143', 'Hunter Age Of Magic', '13', '$2.50', 'DC', '13,398']
['144', 'Strangers In Paradise Vol. III', '52', '$2.95', 'Abstract', '13,201']
['145', 'Savage Dragon', '101', '$2.95', 'Image', '13,184']
['146', 'Batman Gotham Adventures', '52', '$1.99', 'DC', '13,167']
['147', 'Codename Knockout', '15', '$2.50', 'DC', '13,071']
['148', 'Lab Rats', '4', '$2.50', 'DC', '13,049']
['149', 'Tenth Nightwalker', '4', '$2.99', 'Dark Horse', '12,919']
['150', 'Shazam Family Annual', '1', '$5.95', 'DC', '12,840']
['151', 'Leave It To Chance', '13', '$4.95', 'Image', '12,784']
['152', 'Powerpuff Girls Movie Comic', '', '$2.95', 'DC', '12,508']
['153', 'Darkminds Macropolis', '4', '$2.95', 'Dreamwave', '12,344']
['154', 'Deadman', '8', '$2.50', 'DC', '11,995']
['155', 'Vampirella', '11 Reg Ed', '$2.99', 'Harris', '11,944']
['156', 'Haven Broken City', '8', '$2.50', 'DC', '11,820']
['157', 'Vampi', '21 Reg Ed', '$2.99', 'Harris', '11,814']
['158', 'Vertigo Pop Tokyo', '1', '$2.95', 'DC', '11,719']
['159', 'Samurai Jack Special', '1', '$3.95', 'DC', '11,364']
['160', 'American Century', '17', '$2.50', 'DC', '11,183']
['161', 'Establishment', '11', '$2.50', 'DC', '10,986']
['162', 'Cat W/Really Big Head', '', '$2.95', 'Slave Labor', '10,868']
['163', 'Guardian Angel', '2', '$2.95', 'Image', '10,326']
['164', 'Tarot Witch of the Black Rose', '15', '$2.95', 'Broadsword', '10,236']
['165', 'Static X', '1', '$5.99', 'Chaos', '10,084']
['166', 'Midnight Mass', '4', '$2.50', 'DC', '10,056']
['167', 'Fused', '3', '$2.95', 'Image', '9,425']
['168', '100 Percent', '2', '$5.95', 'DC', '9,363']
['169', 'Shi Poisoned Paradise', '2', '$3.50', 'Avatar', '9,182']
['170', 'Sci Spy', '6', '$2.50', 'DC', '9,171']
['171', 'Superpatriot Americas Fighting Force', '1', '$2.95', 'Image', '9,143']
['172', 'Noble Causes', '4*', '$2.95', 'Image', '8,962']
['173', 'Oh My Goddess! Part XII', '1', '$3.50', 'Dark Horse', '8,731']
['174', 'Crusades', '17', '$2.50', 'DC', '8,703']
['175', '10th Muse Vol. 2', '1*', '$3.50', 'Avatar', '8,585']
['176', 'Herobear & Decoy Field Trip', '1', '$2.95', 'Penny Farthing', '8,562']
['177', 'Usagi Yojimbo', '59', '$2.99', 'Dark Horse', '8,365']
['178', 'Ken Lashleys Legends', '1', '$2.95', 'DHJ', '7,858']
['179', 'Knights of the Dinner Table', '69', '$2.99', 'Kenzer', '7,835']
['180', 'Queen & Country', '10', '$2.95', 'Oni', '7,683']
['181', 'Blade of the Immortal', '70', '$2.99', 'Dark Horse', '7,390']
['182', 'Stray Bullets', '27', '$3.50', 'El Capitan', '7,350']
['183', 'Scooby-Doo', '62', '$1.99', 'DC', '7,221']
['184', 'Dragonball Z Part 5', '7', '$2.95', 'Viz', '7,136']
