['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Superman', '204', '$2.50', 'DC', '231,424']
['2', 'Superman/Batman', '9', '$2.95', 'DC', '145,080']
['3', 'Marvel Knights Spider-Man', '1', '$2.99', 'Marvel', '137,322']
['4', 'Marvel 1602', '8', '$3.99', 'Marvel', '103,219']
['5', 'Ultimate Fantastic Four', '5', '$2.25', 'Marvel', '102,654']
['6', 'New X-Men', '155', '$2.25', 'Marvel', '100,094']
['7', 'New X-Men', '156', '$2.25', 'Marvel', '98,790']
['8', 'Ultimate X-Men', '44', '$2.25', 'Marvel', '96,270']
['9', 'Wolverine End', '3', '$2.99', 'Marvel', '93,136']
['10', 'Ultimate Six', '7', '$2.25', 'Marvel', '91,668']
['11', 'Ultimate Spider-Man', '56', '$2.25', 'Marvel', '91,590']
['12', 'Ultimate Spider-Man', '57', '$2.25', 'Marvel', '90,789']
['13', 'Uncanny X-Men', '442', '$2.25', 'Marvel', '86,980']
['14', 'Uncanny X-Men', '443', '$2.25', 'Marvel', '86,007']
['15', 'Amazing Spider-Man', '506 (#65)', '$2.25', 'Marvel', '83,156']
['16', 'Batman', '626', '$2.25', 'DC', '78,523']
['17', 'Wolverine', '13', '$2.25', 'Marvel', '71,064']
['18', 'JLA', '96', '$2.25', 'DC', '70,380']
['19', 'Wolverine', '14', '$2.25', 'Marvel', '69,878']
['20', 'Teen Titans', '10', '$2.50', 'DC', '68,362']
['21', 'JLA', '97', '$2.25', 'DC', '68,174']
['22', 'Daredevil Father', '1', '$3.50', 'Marvel', '66,054']
['23', 'Punisher End', '1', '$4.50', 'Marvel', '65,795']
['24', 'Supreme Power', '9', '$2.99', 'Marvel', '64,287']
['25', 'Action Comics', '814', '$2.50', 'DC', '56,717']
['26', 'Avengers', '81', '$2.25', 'Marvel', '54,990']
['27', 'Adventures of Superman', '627', '$2.50', 'DC', '54,958']
['28', 'Daredevil', '59', '$2.99', 'Marvel', '54,401']
['29', 'Fantastic Four', '512', '$2.25', 'Marvel', '52,956']
['30', 'Spectacular Spider-Man', '13', '$2.25', 'Marvel', '52,838']
['31', 'X-Treme X-Men', '45', '$2.99', 'Marvel', '51,566']
['32', 'X-Treme X-Men', '46', '$2.99', 'Marvel', '51,378']
['33', 'Wolverine/Punisher', '2', '$2.99', 'Marvel', '51,158']
['34', 'Conan', '3', '$2.99', 'Dark Horse', '48,590']
['35', 'Flash', '209', '$2.25', 'DC', '47,546']
['36', 'Incredible Hulk', '71', '$2.25', 'Marvel', '46,839']
['37', 'Incredible Hulk', '70', '$2.25', 'Marvel', '46,164']
['38', 'Marvel Knights 4', '4', '$2.99', 'Marvel', '45,928']
['39', 'Marvel Knights 4', '5', '$2.99', 'Marvel', '45,229']
['40', 'Avengers/Thunderbolts', '2', '$2.99', 'Marvel', '44,719']
['41', 'Superman/Batman', '8', '$2.95', 'DC', '43,439']
['42', 'Outsiders', '11', '$2.50', 'DC', '43,133']
['43', 'Transformers Generation One Vol. 3', '4', '$2.95', 'Dreamwave', '43,086']
['44', 'JSA', '60', '$2.50', 'DC', '42,827']
['45', 'X-Men Unlimited', '2', '$2.99', 'Marvel', '42,599']
['46', 'Avengers/Thunderbolts', '3', '$2.99', 'Marvel', '40,761']
['47', 'Cable Deadpool', '2 (Res)', '$2.99', 'Marvel', '39,474']
['48', 'Captain America', '25', '$2.99', 'Marvel', '38,586']
['49', 'Exiles', '45', '$2.99', 'Marvel', '37,880']
['50', 'Batman Gotham Knights', '52', '$2.95', 'DC', '36,953']
['51', 'Captain America & Falcon', '2', '$2.99', 'Marvel', '36,765']
['52', 'Alpha Flight', '2', '$2.99', 'Marvel', '36,553']
['53', 'Superman Birthright', '9', '$2.95', 'DC', '35,202']
['54', 'Spawn', '134', '$2.50', 'Image', '35,100']
['55', 'Detective Comics', '793', '$2.95', 'DC', '34,802']
['56', 'Green Lantern', '176', '$2.25', 'DC', '34,676']
['57', 'Punisher', '5', '$2.99', 'Marvel', '34,236']
['58', 'New Mutants', '11', '$2.99', 'Marvel', '34,150']
['59', 'Green Arrow', '37', '$2.50', 'DC', '34,126']
['60', 'New Mutants', '12', '$2.99', 'Marvel', '33,482']
['61', 'New Mutants', '13', '$2.99', 'Marvel', '32,995']
['62', 'Robin', '125', '$2.25', 'DC', '32,925']
['63', 'Emma Frost', '10', '$2.99', 'Marvel', '32,626']
['64', 'Birds of Prey', '66', '$2.50', 'DC', '31,527']
['65', 'Transformers War Within Vol. 2', '6', '$2.95', 'Dreamwave', '31,111']
['66', 'Thor', '77', '$2.99', 'Marvel', '30,820']
['67', 'She-Hulk', '2', '$2.99', 'Marvel', '30,781']
['68', 'Wonder Woman', '203', '$2.25', 'DC', '30,420']
['69', 'Marvel Age Spider-Man', '2', '$2.25', 'Marvel', '30,365']
['70', 'Mystique', '13', '$2.99', 'Marvel', '29,760']
['71', 'Thanos', '9', '$2.99', 'Marvel', '29,705']
['72', 'Marvel Age Fantastic Four', '1', '$2.25', 'Marvel', '29,643']
['73', 'Nightwing', '92', '$2.25', 'DC', '29,556']
['74', 'Iron Man', '79', '$2.99', 'Marvel', '29,140']
['75', 'Iron Man', '80', '$2.99', 'Marvel', '28,810']
['76', 'Iron Fist', '2', '$2.99', 'Marvel', '28,433']
['77', 'Hawkman', '27', '$2.50', 'DC', '28,394']
['78', 'Arrowsmith Astro City', '', '$2.95', 'DC', '27,962']
['79', 'G.I. Joe Reloaded', '2', '$2.95', "Devil's Due", '27,884']
['80', 'Batman Harley & Ivy', '1', '$2.50', 'DC', '27,884']
['81', 'Venom', '13', '$2.99', 'Marvel', '27,538']
['82', 'Y The Last Man', '21', '$2.95', 'DC', '26,721']
['83', 'Wanted Dossier One-Shot', '', '$2.99', 'Image', '26,337']
['84', 'Swamp Thing', '2', '$2.95', 'DC', '26,015']
['85', 'Transformers Energon', '22', '$2.95', 'Dreamwave', '25,991']
['86', 'X-Statix', '21', '$2.99', 'Marvel', '25,913']
