['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', "Superman: The\nWedding Album Collector's Edition", '$4.95', 'DC', '227,686']
['90', "Superman:\nWedding Album Collector's Ed. Next Day", '$4.95', 'DC', '39,603']
['91', 'Wetworks', '23', '$2.50', 'Image', '39,474']
['92', 'Azrael', '25', '$1.95', 'DC', '38,986']
['93', 'Teen Titans', '4', '$1.95', 'DC', '38,925']
['94', 'Daredevil', '360', '$1.50', 'Marvel', '38,036']
['95', 'Silver Surfer', '124', '$1.50', 'Marvel', '37,925']
['96', 'Shadowman', '1', '$2.50', 'Acclaim', '37,257']
['97', 'Maxx', '28', '$1.95', 'Image', '36,973']
['98', 'Professor X and the X-Men', '15', '$0.99', 'Marvel', '36,943']
['99', 'Marvel Fanfare', '5', '$0.99', 'Marvel', '36,511']
['100', 'Star Trek: Voyager', '3', '$1.95', 'Marvel', '36,398']
['101', 'Superboy', '35', '$1.95', 'DC', '36,390']
['102', 'Wonder Woman Plus', '1', '$2.95', 'DC', '36,132']
['103', 'Avengelyne/Warrior Nun Areala', '1', '$2.99', 'Maximum', '36,051']
['104', 'Superboy Plus', '1', '$2.95', 'DC', '35,949']
['105', 'Star Trek: Deep Space Nine', '3', '$1.95', 'Marvel', '35,350']
['106', 'Star Fleet Academy', '2', '$1.95', 'Marvel', '35,142']
['107', 'Weapon Zero', '9', '$2.50', 'Top Cow', '34,723']
['108', 'Crow: Wild Justice', '2', '$2.95', 'Kitchen Sink', '34,167']
['109', 'Aquaman', '28', '$1.75', 'DC', '33,930']
['110', "Batman: Gordon's Law", '2', '$1.95', 'DC', '33,875']
['111', 'Impulse', '21', '$1.75', 'DC', '33,543']
['112', 'Hitman', '10', '$2.25', 'DC', '33,482']
['113', 'Ash/22 Brides', '1', '$2.95', 'Event', '33,475']
['114', 'Savage Dragon', '33', '$2.50', 'Image', '33,299']
['115', 'Daily Bugle', '2', '$2.50', 'Marvel', '33,203']
['116', 'Ghost Rider', '81', '$1.50', 'Marvel', '32,753']
['117', 'Bone', '27', '$2.95', 'Image', '32,649']
['118', 'Superman Adventures', '3', '$1.75', 'DC', '32,350']
['119', 'Ultragirl', '1', '$1.50', 'Marvel', '32,057']
['120', 'Avengelyne', '7', '$2.99', 'Maximum', '31,991']
['121', '101 Ways to End the Clone Saga', '', '$2.50', 'Marvel', '31,684']
['122', '2099 World of Tomorrow', '5', '$2.50', 'Marvel', '31,393']
['123', 'House of Secrets', '4', '$2.50', 'DC', '30,934']
['124', 'Backlash', '26', '$2.50', 'Image', '30,778']
['125', 'Punisher', '15', '$1.50', 'Marvel', '30,752']
['126', 'Valkyrie', '', '$2.95', 'Marvel', '30,728']
['127', 'Ninjak', '1', '$2.50', 'Acclaim', '30,337']
