['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'X-Men', '1', '$3.99', 'Marvel', '140,332']
['2', 'Brightest Day', '6', '$2.99', 'DC', '94,684']
['3', 'Batman Return of Bruce Wayne', '4', '$3.99', 'DC', '88,020']
['4', 'Avengers', '3', '$3.99', 'Marvel', '87,410']
['5', 'Batman and Robin', '13', '$2.99', 'DC', '85,804']
['6', 'Green Lantern', '56', '$2.99', 'DC', '84,164']
['7', 'New Avengers', '2', '$3.99', 'Marvel', '83,397']
['8', 'Brightest Day', '5', '$2.99', 'DC', '77,796']
['9', 'Batman', '701', '$2.99', 'DC', '76,398']
['10', 'Secret Avengers', '3', '$3.99', 'Marvel', '72,293']
['11', 'Amazing Spider-Man', '638', '$3.99', 'Marvel', '68,271']
['12', 'Green Lantern Corps', '50', '$2.99', 'DC', '67,035']
['13', 'Uncanny X-Men', '526', '$3.99', 'Marvel', '66,723']
['14', 'X-Men Second Coming', '2', '$3.99', 'Marvel', '65,863']
['15', 'Flash', '4', '$2.99', 'DC', '64,832']
['16', 'Batman Odyssey', '1', '$3.99', 'DC', '61,827']
['17', 'X-Force', '28', '$2.99', 'Marvel', '61,680']
['18', 'Justice League of America', '47', '$3.99', 'DC', '60,368']
['19', 'Amazing Spider-Man', '637', '$3.99', 'Marvel', '56,031']
['20', 'Amazing Spider-Man', '636', '$3.99', 'Marvel', '56,011']
['21', 'Shadowland', '1', '$3.99', 'Marvel', '54,911']
['22', 'Superman', '701', '$2.99', 'DC', '54,506']
['23', 'Thor', '612', '$3.99', 'Marvel', '53,373']
['24', 'X-Men Legacy', '238', '$2.99', 'Marvel', '53,313']
['25', 'Steve Rogers Super-Soldier', '1', '$3.99', 'Marvel', '52,727']
['26', 'Justice Society of America', '41', '$2.99', 'DC', '48,858']
['27', 'Invincible Iron Man', '28', '$2.99', 'Marvel', '48,690']
['28', 'Ultimate Comics New Ultimates', '3', '$3.99', 'Marvel', '47,840']
['29', 'Ultimate Comics Avengers 2', '5', '$3.99', 'Marvel', '46,886']
['30', 'Uncanny X-Men Heroic Age', '1', '$3.99', 'Marvel', '44,658']
['31', 'Green Arrow', '2', '$2.99', 'DC', '44,118']
['32', 'Birds of Prey', '3', '$2.99', 'DC', '43,420']
['33', 'Dark Wolverine', '88', '$2.99', 'Marvel', '42,522']
['34', 'Avengers Childrens Crusade', '1', '$3.99', 'Marvel', '41,808']
['35', 'X-Force Sex and Violence', '1', '$3.99', 'Marvel', '41,426']
['36', 'Detective Comics', '867', '$3.99', 'DC', '40,371']
['37', 'Justice League Generation Lost', '5', '$2.99', 'DC', '40,370']
['38', 'Wonder Woman', '601', '$2.99', 'DC', '39,672']
['39', 'Justice League Generation Lost', '6', '$2.99', 'DC', '39,190']
['40', 'Daredevil', '508', '$2.99', 'Marvel', '38,438']
['41', 'Avengers Academy', '2', '$2.99', 'Marvel', '38,061']
['42', 'Ultimate Comics Spider-Man', '12', '$3.99', 'Marvel', '37,879']
['43', 'Deadpool', '25', '$3.99', 'Marvel', '36,828']
['44', 'Wolverine Origins', '50', '$3.99', 'Marvel', '36,401']
['45', 'Legion of Super Heroes', '3', '$3.99', 'DC', '36,360']
['46', 'Red Robin', '14', '$2.99', 'DC', '35,652']
['47', 'Fantastic Four', '581', '$2.99', 'Marvel', '35,505']
['48', 'New Mutants', '15', '$2.99', 'Marvel', '35,426']
['49', 'Action Comics', '891', '$3.99', 'DC', '35,328']
['50', 'Brightest Day the Atom Special', '1', '$2.99', 'DC', '35,203']
['51', 'Astonishing Spider-Man Wolverine', '2', '$3.99', 'Marvel', '34,704']
['52', 'Time Masters Vanishing Point', '1', '$3.99', 'DC', '34,509']
['53', 'X-Men Hellbound', '3', '$3.99', 'Marvel', '33,783']
['54', 'Ultimate Comics Mystery', '1', '$3.99', 'Marvel', '33,676']
['55', 'Batman Widening Gyre', '6', '$4.99', 'DC', '33,391']
['56', 'X-Factor', '207', '$2.99', 'Marvel', '32,082']
['57', 'Scarlet', '1', '$3.95', 'Marvel', '32,015']
['58', 'Thanos Imperative', '2', '$3.99', 'Marvel', '31,888']
['59', 'X-Men Origins Deadpool', '1', '$3.99', 'Marvel', '31,522']
['60', 'Titans', '25', '$2.99', 'DC', '31,505']
['61', 'Thunderbolts', '146', '$2.99', 'Marvel', '31,501']
['62', 'Batman Beyond', '2', '$2.99', 'DC', '31,397']
['63', 'Adventure Comics', '516', '$3.99', 'DC', '30,897']
['64', 'Superman Batman', '74', '$2.99', 'DC', '30,847']
['65', 'True Blood', '1', '$3.99', 'IDW', '30,296']
['66', 'Wolverine Weapon X', '15', '$3.99', 'Marvel', '29,555']
['67', 'X-Women', '1', '$4.99', 'Marvel', '29,032']
['68', 'Walking Dead', '75', '$3.99', 'Image', '28,667']
['69', 'Fantastic Four Annual', '32', '$4.99', 'Marvel', '28,464']
['70', 'Deadpool Merc With A Mouth', '13', '$3.99', 'Marvel', '28,454']
['71', 'Batgirl', '12', '$2.99', 'DC', '28,011']
['72', 'Zatanna', '3', '$2.99', 'DC', '27,792']
['73', 'World War Hulks Wolverine Vs.\nCaptain America ', '1', '$3.99', 'Marvel', '26,986']
['74', 'Supergirl', '54', '$2.99', 'DC', '26,941']
['75', 'World War Hulks Spider-Man Vs. Thor\n      ', '1', '$3.99', 'Marvel', '26,928']
['76', 'Dc Universe Legacies', '3', '$3.99', 'DC', '26,708']
['77', 'Red Hood Lost Days', '2', '$2.99', 'DC', '26,560']
['78', 'First Wave', '3', '$3.99', 'DC', '25,920']
['79', 'World War Hulks Wolverine Vs.\nCaptain America ', '2', '$3.99', 'Marvel', '25,588']
['80', 'Walking Dead', '74', '$2.99', 'Image', '25,468']
['81', 'Gotham City Sirens', '14', '$2.99', 'DC', '25,315']
['82', 'World War Hulks Spider-Man Vs. Thor\n      ', '2', '$3.99', 'Marvel', '25,295']
['83', 'Franken-Castle', '19', '$2.99', 'Marvel', '24,947']
['84', 'Lady Deadpool', '1', '$3.99', 'Marvel', '24,910']
['85', 'American Vampire', '5', '$3.99', 'DC', '24,857']
['86', 'Batman Streets of Gotham', '14', '$3.99', 'DC', '24,767']
['87', 'Deadpool Corps', '4', '$2.99', 'Marvel', '24,476']
['88', 'Teen Titans', '85', '$3.99', 'DC', '24,248']
['89', 'JSA All Stars', '8', '$3.99', 'DC', '23,478']
['90', 'Dark Tower Gunslinger Journey\nBegins', '3', '$3.99', 'Marvel', '22,744']
['91', 'Doctor Solar Man of Atom', '1', '$3.50', 'Dark Horse', '22,630']
['92', 'Deadpool Team-Up', '891', '$2.99', 'Marvel', '22,439']
['93', 'Brave and the Bold', '35', '$2.99', 'DC', '22,071']
['94', 'Kevin Smith Green Hornet', '6', '$3.99', 'Dynamite', '22,024']
['95', 'Marvel Zombies 5', '5', '$3.99', 'Marvel', '21,720']
['96', 'Secret Six', '23', '$2.99', 'DC', '21,554']
['97', 'Punishermax', '9', '$3.99', 'Marvel', '21,453']
['98', 'Age of Heroes', '3', '$3.99', 'Marvel', '21,307']
['99', 'Boys', '44', '$3.99', 'Dynamite', '21,270']
['100', 'Hawkeye & Mockingbird', '2', '$2.99', 'Marvel', '20,531']
['101', 'Star Wars: The Old Republic', '1', '$2.99', 'Dark Horse', '20,529']
['102', 'Hellboy The Storm', '1', '$2.99', 'Dark Horse', '20,404']
['103', 'Iron Man Legacy', '4', '$2.99', 'Marvel', '20,142']
['104', 'Thor Mighty Avenger', '1', '$2.99', 'Marvel', '20,076']
['105', 'Power Girl', '14', '$2.99', 'DC', '19,739']
['106', 'Booster Gold', '34', '$2.99', 'DC', '19,592']
['107', 'Haunt', '8', '$2.99', 'Image', '19,242']
['108', 'Stand Hardcases', '2', '$3.99', 'Marvel', '19,194']
['109', 'Vengeance of Moon Knight', '10', '$2.99', 'Marvel', '19,143']
['110', 'Artifacts', '1', '$3.99', 'Image', '18,711']
['111', 'Black Widow', '4', '$2.99', 'Marvel', '18,665']
['112', 'Amazing Spider-Man Presents Black\nCat', '2', '$3.99', 'Marvel', '18,154']
['113', 'Spawn', '198', '$2.99', 'Image', '17,985']
['114', 'Marvelman Familys Finest', '1', '$3.99', 'Marvel', '17,739']
['115', 'Spider-Man Fantastic Four', '1', '$3.99', 'Marvel', '17,324']
['116', 'Outsiders', '31', '$2.99', 'DC', '17,173']
['117', 'Avengers Origin', '4', '$3.99', 'Marvel', '17,141']
['118', 'Marvelman Classic Primer', '1', '$3.99', 'Marvel', '16,943']
['119', 'Izombie', '3', '$2.99', 'DC', '16,898']
['120', 'Angel', '35', '$3.99', 'IDW', '16,664']
['121', 'Web of Spider-Man', '10', '$3.99', 'Marvel', '16,469']
['122', 'Conan the Cimmerian', '22', '$2.99', 'Dark Horse', '16,240']
['123', 'Young Allies', '2', '$2.99', 'Marvel', '16,209']
['124', 'X-Files 30 Days of Night', '1', '$3.99', 'DC', '16,109']
['125', 'G.I. Joe A Real American Hero', '156', '$3.99', 'IDW', '15,795']
['126', 'Star Wars Invasion Rescues', '3', '$2.99', 'Dark Horse', '15,736']
['127', 'Heroic Age Prince of Power', '3', '$3.99', 'Marvel', '15,667']
['128', 'Batman Confidential', '46', '$2.99', 'DC', '14,718']
['129', 'Doc Savage', '4', '$3.99', 'DC', '14,621']
['130', 'Amazing Spider-Man Presents\nAmerican Son ', '3', '$3.99', 'Marvel', '14,458']
['131', 'Atlas', '3', '$2.99', 'Marvel', '14,365']
['132', 'Thor Mighty Avenger', '2', '$2.99', 'Marvel', '14,315']
